Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																					
Дата голосования: 18.09.2016																																																					
																																																					
Наименование Избирательной комиссии:    Куртамышская																																																					
																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																					
																																																					
		Сумма	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	25139	2121	1880	1102	883	1026	1256	1981	1506	1946	338	297	141	482	709	335	449	406	767	153	397	399	266	158	132	130	547	286	892	285	187	199	447	145	338	682	149	82	560	782	89	91	118									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	24700	2000	1800	1000	850	1000	1150	1900	1500	1900	350	300	150	500	750	300	450	400	800	160	400	400	250	160	140	140	550	300	900	300	180	200	450	150	350	650	160	80	550	800	100	100	130									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9680	642	609	374	328	355	491	631	489	722	156	139	61	234	329	185	192	138	240	75	181	172	141	93	62	67	249	106	347	102	93	94	203	82	158	257	80	49	245	337	47	55	70									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1742	219	36	22	14	22	51	56	27	30	31	75	15	56	80	56	73	69	56	22	68	34	25	20	19	12	33	49	67	36	18	16	56	24	52	41	27	7	40	77	8	3	0									
6	Число погашенных избирательных бюллетеней	13278	1139	1155	604	508	623	608	1213	984	1148	163	86	74	210	341	59	185	193	504	63	151	194	84	47	59	61	268	145	486	162	69	90	191	44	140	352	53	24	265	386	45	42	60									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1742	219	36	22	14	22	51	56	27	30	31	75	15	56	80	56	73	69	56	22	68	34	25	20	19	12	33	49	67	36	18	16	56	24	52	41	27	7	40	77	8	3	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9679	642	609	374	328	355	491	631	489	722	155	139	61	234	329	185	192	138	240	75	181	172	141	93	62	67	249	106	347	102	93	94	203	82	158	257	80	49	245	337	47	55	70									
9	Число недействительных избирательных бюллетеней	144	14	8	20	2	5	8	8	5	7	3	0	0	3	3	13	1	1	1	4	2	3	2	1	0	0	1	2	5	0	1	0	5	1	0	3	0	0	2	8	1	1	0									
10	Число действительных избирательных бюллетеней	11277	847	637	376	340	372	534	679	511	745	183	214	76	287	406	228	264	206	295	93	247	203	164	112	81	79	281	153	409	138	110	110	254	105	210	295	107	56	283	406	54	57	70									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	640	20	25	20	10	15	25	20	20	20	15	15	7	30	43	15	15	10	25	5	15	20	20	10	5	10	15	15	20	10	5	5	10	7	15	25	15	10	20	20	3	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	395	7	8	3	2	6	4	10	6	7	11	15	7	30	43	15	7	1	25	5	9	9	10	10	5	10	10	15	17	10	4	5	10	7	10	2	12	0	3	20	0	0	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	97	5	6	1	2	4	9	5	5	5	4	1	0	2	3	2	0	1	3	1	1	2	1	4	1	1	1	3	5	1	4	2	2	2	0	1	2	1	2	0	0	1	1									
14	Число погашенных неиспользованных открепительных удостоверений	245	13	17	17	8	9	21	10	14	13	4	0	0	0	0	0	8	9	0	0	6	11	10	0	0	0	5	0	3	0	1	0	0	0	5	23	3	10	17	0	3	5	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	60	6	5	3	3	8	9	3	7	2	0	0	0	0	8	0	0	0	1	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	141	19	6	6	8	4	4	4	6	6	4	2	0	5	6	2	2	1	3	0	1	15	1	1	0	3	3	1	2	3	0	4	0	4	0	2	1	1	5	2	1	3	0									
		1.23%	2.21%	0.93%	1.52%	2.34%	1.06%	0.74%	0.58%	1.16%	0.80%	2.15%	0.93%	0.00%	1.72%	1.47%	0.83%	0.75%	0.48%	1.01%	0.00%	0.40%	7.28%	0.60%	0.88%	0.00%	3.80%	1.06%	0.65%	0.48%	2.17%	0.00%	3.64%	0.00%	3.77%	0.00%	0.67%	0.93%	1.79%	1.75%	0.48%	1.82%	5.17%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	340	19	14	9	8	18	13	19	9	10	2	4	3	9	12	14	7	12	22	10	9	4	8	1	5	3	8	4	11	3	1	3	9	2	6	6	3	1	10	16	6	2	5									
		2.98%	2.21%	2.17%	2.27%	2.34%	4.77%	2.40%	2.77%	1.74%	1.33%	1.08%	1.87%	3.95%	3.10%	2.93%	5.81%	2.64%	5.80%	7.43%	10.31%	3.61%	1.94%	4.82%	0.88%	6.17%	3.80%	2.84%	2.58%	2.66%	2.17%	0.90%	2.73%	3.47%	1.89%	2.86%	2.01%	2.80%	1.79%	3.51%	3.86%	10.91%	3.45%	7.14%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	227	22	15	8	10	5	16	11	7	15	5	2	4	5	7	1	5	3	2	2	2	2	0	5	0	2	5	7	6	2	2	4	4	3	9	5	3	0	5	10	0	2	4									
		1.99%	2.56%	2.33%	2.02%	2.92%	1.33%	2.95%	1.60%	1.36%	1.99%	2.69%	0.93%	5.26%	1.72%	1.71%	0.41%	1.89%	1.45%	0.68%	2.06%	0.80%	0.97%	0.00%	4.42%	0.00%	2.53%	1.77%	4.52%	1.45%	1.45%	1.80%	3.64%	1.54%	2.83%	4.29%	1.68%	2.80%	0.00%	1.75%	2.42%	0.00%	3.45%	5.71%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4901	402	251	131	142	142	226	257	193	322	80	82	32	106	203	118	113	97	137	31	124	102	73	63	47	35	113	80	163	48	60	45	110	45	115	124	56	25	133	170	21	41	43									
		42.91%	46.69%	38.91%	33.08%	41.52%	37.67%	41.70%	37.41%	37.40%	42.82%	43.01%	38.32%	42.11%	36.55%	49.63%	48.96%	42.64%	46.86%	46.28%	31.96%	49.80%	49.51%	43.98%	55.75%	58.02%	44.30%	40.07%	51.61%	39.37%	34.78%	54.05%	40.91%	42.47%	42.45%	54.76%	41.61%	52.34%	44.64%	46.67%	41.06%	38.18%	70.69%	61.43%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	59	4	4	2	6	3	0	2	3	7	1	0	0	1	1	3	2	0	0	0	0	1	1	0	0	0	1	2	3	1	1	1	0	0	1	4	0	0	1	2	0	1	0									
		0.52%	0.46%	0.62%	0.51%	1.75%	0.80%	0.00%	0.29%	0.58%	0.93%	0.54%	0.00%	0.00%	0.34%	0.24%	1.24%	0.75%	0.00%	0.00%	0.00%	0.00%	0.49%	0.60%	0.00%	0.00%	0.00%	0.35%	1.29%	0.72%	0.72%	0.90%	0.91%	0.00%	0.00%	0.48%	1.34%	0.00%	0.00%	0.35%	0.48%	0.00%	1.72%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	21	1	2	1	0	0	2	2	1	0	0	0	0	2	0	1	0	1	0	1	0	0	0	1	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0									
		0.18%	0.12%	0.31%	0.25%	0.00%	0.00%	0.37%	0.29%	0.19%	0.00%	0.00%	0.00%	0.00%	0.69%	0.00%	0.41%	0.00%	0.48%	0.00%	1.03%	0.00%	0.00%	0.00%	0.88%	0.00%	0.00%	0.35%	0.65%	0.24%	0.00%	0.00%	0.00%	0.00%	0.94%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.82%	1.72%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2307	154	144	78	65	69	90	149	124	185	19	49	13	65	84	42	59	36	62	22	36	23	23	20	10	19	56	16	85	37	29	24	73	24	58	55	25	24	65	85	3	4	4									
		20.20%	17.89%	22.33%	19.70%	19.01%	18.30%	16.61%	21.69%	24.03%	24.60%	10.22%	22.90%	17.11%	22.41%	20.54%	17.43%	22.26%	17.39%	20.95%	22.68%	14.46%	11.17%	13.86%	17.70%	12.35%	24.05%	19.86%	10.32%	20.53%	26.81%	26.13%	21.82%	28.19%	22.64%	27.62%	18.46%	23.36%	42.86%	22.81%	20.53%	5.45%	6.90%	5.71%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	66	4	4	6	5	3	5	1	10	9	0	1	0	0	1	0	1	0	1	1	0	0	0	0	0	1	0	0	2	0	1	0	3	1	0	1	0	0	1	4	0	0	0									
		0.58%	0.46%	0.62%	1.52%	1.46%	0.80%	0.92%	0.15%	1.94%	1.20%	0.00%	0.47%	0.00%	0.00%	0.24%	0.00%	0.38%	0.00%	0.34%	1.03%	0.00%	0.00%	0.00%	0.00%	0.00%	1.27%	0.00%	0.00%	0.48%	0.00%	0.90%	0.00%	1.16%	0.94%	0.00%	0.34%	0.00%	0.00%	0.35%	0.97%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	49	3	1	5	2	4	2	1	1	6	0	0	0	2	3	2	0	0	0	1	1	0	1	0	0	1	2	0	3	0	0	0	0	1	1	1	2	0	0	3	0	0	0									
		0.43%	0.35%	0.16%	1.26%	0.58%	1.06%	0.37%	0.15%	0.19%	0.80%	0.00%	0.00%	0.00%	0.69%	0.73%	0.83%	0.00%	0.00%	0.00%	1.03%	0.40%	0.00%	0.60%	0.00%	0.00%	1.27%	0.71%	0.00%	0.72%	0.00%	0.00%	0.00%	0.00%	0.94%	0.48%	0.34%	1.87%	0.00%	0.00%	0.72%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	16	2	0	1	0	1	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	1	0	1	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0									
		0.14%	0.23%	0.00%	0.25%	0.00%	0.27%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.00%	0.48%	0.00%	0.00%	0.00%	0.49%	0.60%	0.88%	0.00%	1.27%	0.00%	0.65%	0.24%	0.00%	0.00%	0.00%	0.77%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	48	7	1	4	1	5	3	5	5	2	0	0	0	1	1	2	0	1	1	0	1	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	2	0	0	0									
		0.42%	0.81%	0.16%	1.01%	0.29%	1.33%	0.55%	0.73%	0.97%	0.27%	0.00%	0.00%	0.00%	0.34%	0.24%	0.83%	0.00%	0.48%	0.34%	0.00%	0.40%	0.49%	0.00%	0.88%	0.00%	0.00%	0.00%	0.65%	0.00%	0.72%	0.00%	0.91%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.35%	0.48%	0.00%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1927	115	102	61	46	56	102	134	85	121	48	27	18	71	70	33	38	37	42	9	64	32	45	16	17	7	57	33	71	25	11	17	36	17	14	69	8	4	46	94	20	2	7									
		16.87%	13.36%	15.81%	15.40%	13.45%	14.85%	18.82%	19.51%	16.47%	16.09%	25.81%	12.62%	23.68%	24.48%	17.11%	13.69%	14.34%	17.87%	14.19%	9.28%	25.70%	15.53%	27.11%	14.16%	20.99%	8.86%	20.21%	21.29%	17.15%	18.12%	9.91%	15.45%	13.90%	16.04%	6.67%	23.15%	7.48%	7.14%	16.14%	22.71%	36.36%	3.45%	10.00%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	39	3	2	3	1	1	3	2	1	3	0	0	0	2	0	2	2	1	0	0	1	2	0	1	0	0	0	0	2	1	1	0	0	0	0	2	0	0	3	0	0	0	0									
		0.34%	0.35%	0.31%	0.76%	0.29%	0.27%	0.55%	0.29%	0.19%	0.40%	0.00%	0.00%	0.00%	0.69%	0.00%	0.83%	0.75%	0.48%	0.00%	0.00%	0.40%	0.97%	0.00%	0.88%	0.00%	0.00%	0.00%	0.00%	0.48%	0.72%	0.90%	0.00%	0.00%	0.00%	0.00%	0.67%	0.00%	0.00%	1.05%	0.00%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1136	92	91	61	46	61	66	92	66	59	24	47	6	18	18	7	35	16	25	16	8	20	11	2	2	7	35	7	59	17	4	11	17	7	6	26	9	1	13	18	2	1	7									
		9.95%	10.69%	14.11%	15.40%	13.45%	16.18%	12.18%	13.39%	12.79%	7.85%	12.90%	21.96%	7.89%	6.21%	4.40%	2.90%	13.21%	7.73%	8.45%	16.49%	3.21%	9.71%	6.63%	1.77%	2.47%	8.86%	12.41%	4.52%	14.25%	12.32%	3.60%	10.00%	6.56%	6.60%	2.86%	8.72%	8.41%	1.79%	4.56%	4.35%	3.64%	1.72%	10.00%									
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
