Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																								
Дата голосования: 18.09.2016																																								
																																								
Наименование Избирательной комиссии:    Знаменская																																								
																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																								
																																								
		Сумма	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	9677	615	673	654	438	721	367	706	316	376	270	144	91	589	252	177	370	126	358	416	445	89	134	260	114	90	582	159	60	85									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9000	600	600	600	400	700	320	630	300	340	250	130	90	550	240	170	360	115	340	400	420	80	120	240	105	80	535	150	55	80									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4644	337	329	321	216	300	186	307	167	126	155	94	45	263	108	108	151	72	176	136	214	53	69	130	54	46	290	93	51	47									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	448	5	23	17	30	8	2	30	6	3	19	8	11	19	13	20	22	5	22	79	30	6	6	9	4	7	25	13	0	6									
6	Число погашенных избирательных бюллетеней	3908	258	248	262	154	392	132	293	127	211	76	28	34	268	119	42	187	38	142	185	176	21	45	101	47	27	220	44	4	27									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	448	5	23	17	30	8	2	30	6	3	19	8	11	19	13	20	22	5	22	79	30	6	6	9	4	7	25	13	0	6									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4642	337	329	321	216	300	186	307	167	126	155	94	45	263	107	108	151	72	175	136	214	53	69	130	54	46	290	93	51	47									
9	Число недействительных избирательных бюллетеней	96	6	7	8	6	0	2	3	6	3	4	0	0	8	4	1	8	1	3	3	7	0	1	2	1	2	7	3	0	0									
10	Число действительных избирательных бюллетеней	4994	336	345	330	240	308	186	334	167	126	170	102	56	274	116	127	165	76	194	212	237	59	74	137	57	51	308	103	51	53									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	249	15	15	15	15	15	15	15	7	5	10	5	5	10	5	7	10	5	7	8	10	5	5	5	5	5	10	5	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	83	8	5	7	10	9	0	4	0	1	5	5	0	5	0	0	2	0	1	7	1	0	0	1	0	3	7	1	0	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	53	4	2	0	2	1	0	3	1	2	3	4	1	2	1	2	3	2	1	2	0	1	1	1	1	2	2	7	1	1									
14	Число погашенных неиспользованных открепительных удостоверений	166	7	10	8	5	6	15	11	7	4	5	0	5	5	5	7	8	5	6	1	9	5	5	4	5	2	3	4	5	4									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	34	2	3	2	0	3	2	3	0	1	1	1	0	3	1	1	3	1	1	0	3	0	0	1	0	0	2	0	0	0									
		0.67%	0.58%	0.85%	0.59%	0.00%	0.97%	1.06%	0.89%	0.00%	0.78%	0.57%	0.98%	0.00%	1.06%	0.83%	0.78%	1.73%	1.30%	0.51%	0.00%	1.23%	0.00%	0.00%	0.72%	0.00%	0.00%	0.63%	0.00%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	313	17	18	18	10	15	12	25	13	5	9	3	4	14	8	10	12	2	13	17	13	0	7	16	6	5	21	12	5	3									
		6.15%	4.97%	5.11%	5.33%	4.07%	4.87%	6.38%	7.42%	7.51%	3.88%	5.17%	2.94%	7.14%	4.96%	6.67%	7.81%	6.94%	2.60%	6.60%	7.91%	5.33%	0.00%	9.33%	11.51%	10.34%	9.43%	6.67%	11.32%	9.80%	5.66%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	59	4	4	8	2	1	1	5	1	1	5	2	1	0	0	0	3	0	3	6	4	0	1	1	1	0	4	0	0	1									
		1.16%	1.17%	1.14%	2.37%	0.81%	0.32%	0.53%	1.48%	0.58%	0.78%	2.87%	1.96%	1.79%	0.00%	0.00%	0.00%	1.73%	0.00%	1.52%	2.79%	1.64%	0.00%	1.33%	0.72%	1.72%	0.00%	1.27%	0.00%	0.00%	1.89%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2333	128	131	118	118	110	73	132	73	63	97	57	36	138	68	63	103	50	102	127	100	46	28	70	25	22	157	48	27	23									
		45.83%	37.43%	37.22%	34.91%	47.97%	35.71%	38.83%	39.17%	42.20%	48.84%	55.75%	55.88%	64.29%	48.94%	56.67%	49.22%	59.54%	64.94%	51.78%	59.07%	40.98%	77.97%	37.33%	50.36%	43.10%	41.51%	49.84%	45.28%	52.94%	43.40%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	9	1	1	0	0	1	1	1	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.18%	0.29%	0.28%	0.00%	0.00%	0.32%	0.53%	0.30%	0.00%	0.78%	0.00%	0.00%	0.00%	1.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	13	1	0	1	1	1	0	0	0	0	3	1	0	0	1	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0									
		0.26%	0.29%	0.00%	0.30%	0.41%	0.32%	0.00%	0.00%	0.00%	0.00%	1.72%	0.98%	0.00%	0.00%	0.83%	0.78%	0.58%	0.00%	0.00%	0.47%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	798	79	57	58	33	65	39	51	40	28	27	15	4	32	16	16	14	6	31	21	39	7	12	9	9	11	43	16	5	15									
		15.68%	23.10%	16.19%	17.16%	13.41%	21.10%	20.74%	15.13%	23.12%	21.71%	15.52%	14.71%	7.14%	11.35%	13.33%	12.50%	8.09%	7.79%	15.74%	9.77%	15.98%	11.86%	16.00%	6.47%	15.52%	20.75%	13.65%	15.09%	9.80%	28.30%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	9	3	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0									
		0.18%	0.88%	0.00%	0.00%	0.00%	0.00%	0.00%	0.89%	0.00%	0.00%	0.57%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.51%	0.47%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	21	0	2	4	2	0	0	3	0	1	0	0	0	1	1	0	0	0	2	1	3	0	1	0	0	0	0	0	0	0									
		0.41%	0.00%	0.57%	1.18%	0.81%	0.00%	0.00%	0.89%	0.00%	0.78%	0.00%	0.00%	0.00%	0.35%	0.83%	0.00%	0.00%	0.00%	1.02%	0.47%	1.23%	0.00%	1.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	7	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0									
		0.14%	0.00%	0.00%	0.00%	0.41%	0.00%	0.53%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.83%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.00%	0.00%	0.72%	0.00%	0.00%	0.63%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	26	3	5	0	2	2	0	2	1	0	2	0	0	0	0	0	2	0	1	1	2	0	2	1	0	0	0	0	0	0									
