Выборы Президента Российской Федерации																																																																																	
																																																																																	
Наименование Избирательной комиссии:    Подольская городская																																																																																	
																																																																																	
Итоги голосования 																																																																																	
																																																																																	
		Сумма	УИК №2086	УИК №2087	УИК №2088	УИК №2089	УИК №2090	УИК №2091	УИК №2092	УИК №2093	УИК №2094	УИК №2095	УИК №2096	УИК №2097	УИК №2098	УИК №2099	УИК №2100	УИК №2101	УИК №2102	УИК №2103	УИК №2104	УИК №2105	УИК №2106	УИК №2107	УИК №2108	УИК №2109	УИК №2110	УИК №2111	УИК №2112	УИК №2113	УИК №2114	УИК №2115	УИК №2116	УИК №2117	УИК №2118	УИК №2119	УИК №2120	УИК №2121	УИК №2122	УИК №2123	УИК №2124	УИК №2125	УИК №2126	УИК №2127	УИК №2128	УИК №2129	УИК №2130	УИК №2131	УИК №2132	УИК №2133	УИК №2134	УИК №2135	УИК №2136	УИК №2137	УИК №2138	УИК №2139	УИК №2140	УИК №2141	УИК №2142	УИК №2143	УИК №2144	УИК №2145	УИК №2146	УИК №2147	УИК №2148	УИК №2149	УИК №2150	УИК №2151	УИК №2152	УИК №2153	УИК №2154	УИК №2155	УИК №2156	УИК №2157	УИК №2158	УИК №2159					
1	"Число избирателей, внесенных в список"	156879	2662	2077	2542	2463	2607	1668	1354	2109	782	1701	625	2366	2411	786	2182	1878	1718	1844	1398	2897	2643	2549	1988	2036	2390	2360	2242	2326	1955	2880	2414	2848	2744	1533	2353	1750	1555	2469	2318	2436	2478	2406	2091	1968	2504	2847	2841	2814	1611	2446	1878	2844	2517	1194	1942	1515	2786	2307	2675	2997	2946	2751	2589	2311	1764	1813	1992	2178	2572	2340	2232	201	527	143					
2	Число полученных избирательных бюллетеней	157580	2694	2104	2618	2468	2595	1674	1373	2118	775	1715	625	2382	2425	793	2182	1861	1724	1837	1404	2906	2651	2559	1963	2021	2405	2343	2252	2339	1972	2857	2434	2869	2771	1533	2354	1648	1560	2486	2321	2436	2483	2418	2091	1956	2497	2833	2848	2837	1613	2440	1899	2853	2540	1207	1941	1529	2774	2312	2656	2909	2946	2778	2602	2312	1802	1821	2016	2186	2629	2367	2238	300	700	200					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	95854	1784	1290	1737	1237	1572	964	772	1439	363	794	295	1495	1388	366	1246	1091	1104	1203	688	1617	1876	1603	1242	1223	1383	1614	1885	1408	1118	1532	1619	1583	1603	937	1421	1103	920	1844	1185	1307	1317	1513	1281	1102	1764	1837	1501	1530	898	1522	1367	1851	1338	620	1351	931	1453	1147	1498	2098	1992	1700	1554	1452	1008	1264	1424	1556	1515	1468	1568	62	378	143					
5	"Число избирательных бюллетеней, выданных вне помещения"	2314	30	11	15	57	20	14	3	14	44	66	18	9	22	7	9	12	21	19	20	28	18	15	14	28	88	64	32	19	8	32	30	5	21	13	19	13	25	13	38	14	17	20	20	14	26	72	58	42	31	23	25	37	12	6	107	20	53	88	9	119	9	13	12	86	4	20	38	30	30	8	59	116	142	0					
6	Число погашенных избирательных бюллетеней	59406	880	803	866	1174	1003	696	598	665	368	855	312	878	1015	420	927	758	599	615	696	1261	757	940	707	770	934	665	335	912	846	1293	785	1281	1147	583	911	532	615	629	1098	1115	1149	885	790	840	707	922	1289	1265	684	895	507	965	1190	581	483	578	1268	1077	1149	692	945	1065	1036	774	790	537	554	600	1084	891	611	122	180	57					
7	Число избирательных бюллетеней в переносных ящиках	2314	30	11	15	57	20	14	3	14	44	66	18	9	22	7	9	12	21	19	20	28	18	15	14	28	88	64	32	19	8	32	30	5	21	13	19	13	25	13	38	14	17	20	20	14	26	72	58	42	31	23	25	37	12	6	107	20	53	88	9	119	9	13	12	86	4	20	38	30	30	8	59	116	142	0					
8	Число бюллетеней в стационарных ящиках для голосования	95727	1784	1290	1734	1237	1572	964	772	1436	363	794	295	1495	1386	366	1246	1091	1104	1203	688	1617	1876	1603	1242	1223	1382	1614	1885	1408	1110	1532	1619	1577	1601	937	1418	1103	920	1844	1185	1307	1317	1513	1281	1102	1764	1835	1501	1530	898	1522	1367	1851	1335	620	1351	931	1453	1147	1498	2007	1992	1700	1554	1452	1006	1263	1424	1556	1515	1468	1568	62	378	143					
9	Число недействительных избирательных бюллетеней	969	9	41	15	13	10	10	14	14	4	2	2	12	8	3	6	11	7	4	11	16	11	5	7	13	12	14	15	16	16	26	21	21	20	7	14	7	12	8	5	9	9	13	11	7	24	15	10	20	9	3	7	9	21	6	5	23	7	7	12	29	14	13	15	6	14	16	12	8	114	14	21	3	1	0					
10	Число действительных избирательных бюллетеней	97072	1805	1260	1734	1281	1582	968	761	1436	403	858	311	1492	1400	370	1249	1092	1118	1218	697	1629	1883	1613	1249	1238	1458	1664	1902	1411	1102	1538	1628	1561	1602	943	1423	1109	933	1849	1218	1312	1325	1520	1290	1109	1766	1892	1549	1552	920	1542	1385	1879	1326	620	1453	928	1499	1228	1495	2097	1987	1700	1551	1532	996	1267	1450	1578	1431	1462	1606	175	519	143					
