Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																															
Дата голосования: 04.12.2011																																															
																																															
Наименование Избирательной комиссии:    Долгопрудненская городская																																															
																																															
Сводная таблица результатов выборов																																															
																																															
		Сумма	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357					
1	"Число избирателей, внесенных в список избирателей"	69916	364	2427	877	1223	1616	1453	1888	1034	2154	338	2067	1728	2395	2237	1549	1444	2090	2597	736	2619	2615	1741	1823	2427	1284	2184	2010	2213	2202	2982	2675	2206	577	2200	2803	1139	830	867	943	1359					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	63750	300	2300	800	1100	1500	1300	1700	900	2000	250	2000	1600	2300	2100	1400	1300	1900	2400	600	2400	2400	1600	1700	2100	1100	2000	1800	2000	2000	2800	2500	2100	400	2100	2500	1000	800	800	800	1100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	37470	200	1570	502	616	818	944	913	444	1117	126	1127	922	1232	1221	902	747	1142	1325	369	1255	1111	948	1059	1323	711	1121	1067	1374	1016	1502	1795	1083	286	1434	1816	514	368	340	451	659					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	991	8	0	14	9	24	20	26	16	24	112	37	29	24	12	33	27	8	15	1	33	220	4	11	5	5	12	5	8	8	21	24	12	10	22	16	58	21	16	28	13					
6	Число погашенных избирательных бюллетеней	25289	92	730	284	475	658	336	761	440	859	12	836	649	1044	867	465	526	750	1060	230	1112	1069	648	630	772	384	867	728	618	976	1277	681	1005	104	644	668	428	411	444	321	428					
7	Число избирательных бюллетеней в переносных ящиках для голосования	991	8	0	14	9	24	20	26	16	24	112	37	29	24	12	33	27	8	15	1	33	220	4	11	5	5	12	5	8	8	21	24	12	10	22	16	58	21	16	28	13					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	37382	200	1569	498	616	818	944	913	444	1097	126	1127	917	1223	1221	902	747	1142	1325	369	1255	1111	948	1054	1323	679	1109	1067	1374	1016	1502	1795	1083	286	1434	1816	514	368	340	451	659					
9	Число недействительных избирательных бюллетеней	1103	5	22	21	15	18	36	30	12	43	11	18	14	33	47	0	20	31	16	11	36	40	135	11	29	14	34	26	11	20	20	82	28	5	37	127	1	12	3	8	21					
10	Число действительных избирательных бюллетеней	37270	203	1547	491	610	824	928	909	448	1078	227	1146	932	1214	1186	935	754	1119	1324	359	1252	1291	817	1054	1299	670	1087	1046	1371	1004	1503	1737	1067	291	1419	1705	571	377	353	471	651					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1470	7	52	24	25	33	34	39	22	45	0	44	37	51	47	32	30	44	54	14	55	54	37	38	45	34	45	41	56	44	63	56	47	14	47	56	23	18	17	20	26					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1086	2	32	16	13	23	32	33	16	29	0	37	24	36	41	25	23	38	39	12	28	45	22	27	39	27	33	33	45	39	34	45	33	11	33	52	10	12	6	15	26					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1238	18	21	28	53	69	85	43	36	48	11	16	22	19	85	29	16	73	25	26	27	30	19	12	45	11	11	19	17	42	19	17	40	15	34	22	57	14	27	19	18					
14	Число погашенных неиспользованных открепительных удостоверений	384	5	20	8	12	10	2	6	6	16	0	7	13	15	6	7	7	6	15	2	27	9	15	11	6	7	12	8	11	5	29	11	14	3	14	4	13	6	11	5	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	21	0	0	0	0	0	0	2	0	0	0	0	0	2	1	1	0	0	0	0	0	2	1	2	1	1	1	0	1	0	1	1	0	0	0	1	1	1	1	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																															
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	5081	42	210	84	120	139	146	152	84	211	26	130	174	211	184	126	69	184	116	55	208	159	139	163	120	85	210	167	115	40	239	225	182	30	62	52	93	74	54	90	111					
		13.24%	20.19%	13.38%	16.41%	19.20%	16.51%	15.15%	16.19%	18.26%	18.82%	10.92%	11.17%	18.39%	16.92%	14.92%	13.48%	8.91%	16.00%	8.66%	14.86%	16.15%	11.95%	14.60%	15.31%	9.04%	12.43%	18.73%	15.58%	8.32%	3.91%	15.69%	12.37%	16.62%	10.14%	4.26%	2.84%	16.26%	19.02%	15.17%	18.79%	16.52%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	4775	37	203	53	77	80	107	123	66	137	32	178	106	167	149	93	114	180	233	34	202	187	129	119	198	81	125	185	108	64	210	182	155	28	76	185	68	55	62	92	95					
		12.44%	17.79%	12.94%	10.35%	12.32%	9.50%	11.10%	13.10%	14.35%	12.22%	13.45%	15.29%	11.21%	13.39%	12.08%	9.95%	14.73%	15.65%	17.39%	9.19%	15.68%	14.05%	13.55%	11.17%	14.91%	11.84%	11.15%	17.26%	7.81%	6.25%	13.79%	10.01%	14.16%	9.46%	5.22%	10.10%	11.89%	14.14%	17.42%	19.21%	14.14%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	480	1	10	7	6	10	13	17	9	20	4	14	11	19	10	7	7	14	15	5	11	16	9	11	21	9	15	12	14	5	26	20	20	2	17	17	16	5	7	11	17					
		1.25%	0.48%	0.64%	1.37%	0.96%	1.19%	1.35%	1.81%	1.96%	1.78%	1.68%	1.20%	1.16%	1.52%	0.81%	0.75%	0.90%	1.22%	1.12%	1.35%	0.85%	1.20%	0.95%	1.03%	1.58%	1.32%	1.34%	1.12%	1.01%	0.49%	1.71%	1.10%	1.83%	0.68%	1.17%	0.93%	2.80%	1.29%	1.97%	2.30%	2.53%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	8408	45	473	135	152	288	209	207	120	265	53	239	206	323	303	176	171	304	331	95	310	233	110	213	295	170	273	259	213	262	309	305	275	47	275	225	142	97	80	79	141					
