Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																					
Дата голосования: 18.09.2016																					
																					
Наименование Избирательной комиссии:    Муравленковская городская																					
																					
Сводная таблица итогов голосования по федеральному избирательному округу																					
																					
		Сумма	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	21518	2131	2204	2175	2152	2167	2127	2193	2119	2119	2131									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	19073	2400	1700	1673	2400	1700	2400	1700	1700	1700	1700									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	15376	939	1681	1647	1441	1674	1267	1680	1679	1678	1690									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	62	8	8	5	6	4	7	6	7	6	5									
6	Число погашенных избирательных бюллетеней	3635	1453	11	21	953	22	1126	14	14	16	5									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	62	8	8	5	6	4	7	6	7	6	5									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	15376	939	1681	1647	1441	1674	1267	1680	1679	1678	1690									
9	Число недействительных избирательных бюллетеней	257	24	28	31	27	9	24	31	20	26	37									
10	Число действительных избирательных бюллетеней	15181	923	1661	1621	1420	1669	1250	1655	1666	1658	1658									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	600	60	60	60	60	60	60	60	60	60	60									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	512	53	60	53	60	40	32	60	49	54	51									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	65	29	2	3	16	4	0	4	2	1	4									
14	Число погашенных неиспользованных открепительных удостоверений	88	7	0	7	0	20	28	0	11	6	9									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	252	11	14	22	23	22	44	38	15	30	33									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0									
																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	131	9	6	14	23	3	11	14	11	19	21									
		0.85%	0.95%	0.36%	0.85%	1.59%	0.18%	0.86%	0.83%	0.65%	1.13%	1.24%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	310	45	17	37	37	16	45	23	34	23	33									
		2.01%	4.75%	1.01%	2.24%	2.56%	0.95%	3.53%	1.36%	2.02%	1.37%	1.95%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	202	12	22	20	26	4	21	18	27	28	24									
		1.31%	1.27%	1.30%	1.21%	1.80%	0.24%	1.65%	1.07%	1.60%	1.66%	1.42%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	9643	442	1131	1086	657	1154	573	1125	1260	1110	1105									
		62.46%	46.67%	66.96%	65.74%	45.40%	68.77%	44.98%	66.73%	74.73%	65.91%	65.19%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	78	4	3	20	5	3	8	6	8	7	14									
		0.51%	0.42%	0.18%	1.21%	0.35%	0.18%	0.63%	0.36%	0.47%	0.42%	0.83%									
24	"6. Политическая партия ""Гражданская Платформа"""	25	3	3	2	2	2	4	2	3	3	1									
		0.16%	0.32%	0.18%	0.12%	0.14%	0.12%	0.31%	0.12%	0.18%	0.18%	0.06%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2834	274	304	223	423	307	357	284	151	232	279									
		18.36%	28.93%	17.99%	13.50%	29.23%	18.30%	28.02%	16.84%	8.96%	13.78%	16.46%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	92	4	6	7	18	13	14	4	5	12	9									
		0.60%	0.42%	0.36%	0.42%	1.24%	0.77%	1.10%	0.24%	0.30%	0.71%	0.53%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	103	2	8	21	17	2	14	5	15	9	10									
		0.67%	0.21%	0.47%	1.27%	1.17%	0.12%	1.10%	0.30%	0.89%	0.53%	0.59%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	28	2	0	3	3	5	2	5	2	6	0									
		0.18%	0.21%	0.00%	0.18%	0.21%	0.30%	0.16%	0.30%	0.12%	0.36%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	110	5	8	6	20	2	24	11	6	16	12									
		0.71%	0.53%	0.47%	0.36%	1.38%	0.12%	1.88%	0.65%	0.36%	0.95%	0.71%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1260	97	123	149	143	143	135	113	115	116	126									
		8.16%	10.24%	7.28%	9.02%	9.88%	8.52%	10.60%	6.70%	6.82%	6.89%	7.43%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	49	4	4	4	6	2	8	4	2	11	4									
		0.32%	0.42%	0.24%	0.24%	0.41%	0.12%	0.63%	0.24%	0.12%	0.65%	0.24%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	316	20	26	29	40	13	34	41	27	66	20									
		2.05%	2.11%	1.54%	1.76%	2.76%	0.77%	2.67%	2.43%	1.60%	3.92%	1.18%									
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
