Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																						
Дата голосования: 18.09.2016																																						
																																						
Наименование Избирательной комиссии:    Снежинская городская																																						
																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																						
																																						
		Сумма	УИК №1272	УИК №1273	УИК №1274	УИК №1275	УИК №1276	УИК №1277	УИК №1278	УИК №1279	УИК №1280	УИК №1281	УИК №1282	УИК №1283	УИК №1284	УИК №1285	УИК №1286	УИК №1287	УИК №1288	УИК №1289	УИК №1290	УИК №1291	УИК №2268	УИК №2269	УИК №2270	УИК №2271	УИК №2272	УИК №2317	УИК №2318									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	41666	1585	1736	1668	1532	1765	1551	1727	1601	1576	1589	1511	1652	1472	1636	1660	1660	1632	1739	439	272	1392	1730	1501	1426	2395	1520	1699									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	40750	1550	1700	1650	1500	1750	1500	1700	1600	1550	1550	1450	1650	1450	1650	1650	1650	1600	1700	400	250	1350	1700	1450	1400	2200	1500	1650									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	20300	828	1006	847	699	783	694	793	770	648	776	791	820	728	787	791	797	793	773	184	92	554	812	802	741	1556	624	811									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	309	6	5	24	9	36	15	11	2	8	14	8	6	18	10	8	6	16	26	9	12	5	11	16	5	0	7	16									
6	Число погашенных избирательных бюллетеней	20139	715	689	779	792	931	791	896	828	894	760	651	824	704	853	851	847	791	901	207	146	791	877	632	654	643	869	823									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	309	6	5	24	9	36	15	11	2	8	14	8	6	18	10	8	6	16	26	9	12	5	11	16	5	0	7	16									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	20280	828	1006	847	699	783	692	793	770	647	765	790	818	728	787	791	797	792	772	184	92	554	812	802	741	1555	624	811									
9	Число недействительных избирательных бюллетеней	405	10	25	21	14	13	11	14	16	15	14	11	15	17	18	15	21	12	23	4	3	11	14	15	11	39	11	12									
10	Число действительных избирательных бюллетеней	20184	824	986	850	694	806	696	790	756	640	765	787	809	729	779	784	782	796	775	189	101	548	809	803	735	1516	620	815									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	462	23	25	25	15	21	7	19	15	12	10	20	29	20	17	19	16	19	14	5	1	19	16	6	21	35	15	18									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	410	23	24	22	14	21	7	18	12	11	7	15	22	15	16	19	15	15	14	2	0	18	16	6	20	31	12	15									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	247	4	3	3	3	5	0	2	1	6	1	0	4	5	1	4	6	2	7	11	3	2	6	5	0	157	3	3									
14	Число погашенных неиспользованных открепительных удостоверений	52	0	1	3	1	0	0	1	3	1	3	5	7	5	1	0	1	4	0	3	1	1	0	0	1	4	3	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	157	15	7	3	8	3	3	3	3	8	2	5	7	4	10	3	6	8	8	0	0	6	5	11	11	10	4	4									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	508	33	24	27	14	29	16	15	13	11	25	15	17	16	21	15	29	17	16	3	1	12	18	20	16	43	20	22									
		2.47%	3.96%	2.37%	3.10%	1.98%	3.54%	2.26%	1.87%	1.68%	1.68%	3.21%	1.88%	2.06%	2.14%	2.63%	1.88%	3.61%	2.10%	2.01%	1.55%	0.96%	2.15%	2.19%	2.44%	2.14%	2.77%	3.17%	2.66%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	359	11	6	13	18	12	9	11	18	14	19	19	10	17	23	15	7	15	10	5	1	6	17	11	14	19	14	25									
		1.74%	1.32%	0.59%	1.49%	2.54%	1.47%	1.27%	1.37%	2.33%	2.14%	2.44%	2.38%	1.21%	2.28%	2.89%	1.88%	0.87%	1.86%	1.25%	2.59%	0.96%	1.07%	2.07%	1.34%	1.88%	1.22%	2.22%	3.02%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	427	10	17	11	12	13	14	23	28	23	13	27	11	22	22	24	16	26	17	5	0	8	21	13	12	8	20	11									
		2.07%	1.20%	1.68%	1.26%	1.69%	1.59%	1.98%	2.86%	3.63%	3.51%	1.67%	3.38%	1.33%	2.95%	2.76%	3.00%	1.99%	3.22%	2.13%	2.59%	0.00%	1.43%	2.55%	1.59%	1.61%	0.51%	3.17%	1.33%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	9032	392	472	391	320	335	320	347	331	283	312	313	386	329	302	334	372	368	356	90	51	221	331	317	361	778	274	346									
		43.87%	47.00%	46.69%	44.89%	45.20%	40.90%	45.26%	43.16%	42.88%	43.21%	40.05%	39.22%	46.84%	44.10%	37.89%	41.80%	46.33%	45.54%	44.61%	46.63%	49.04%	39.53%	40.22%	38.75%	48.39%	50.03%	43.42%	41.84%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	200	11	17	10	4	4	4	4	5	6	9	2	7	3	8	6	12	4	5	1	1	10	7	8	7	27	8	10									
		0.97%	1.32%	1.68%	1.15%	0.56%	0.49%	0.57%	0.50%	0.65%	0.92%	1.16%	0.25%	0.85%	0.40%	1.00%	0.75%	1.49%	0.50%	0.63%	0.52%	0.96%	1.79%	0.85%	0.98%	0.94%	1.74%	1.27%	1.21%									
24	"6. Политическая партия ""Гражданская Платформа"""	45	2	2	1	3	2	2	2	1	1	1	3	3	3	2	1	1	2	2	1	0	0	1	0	3	4	1	1									
		0.22%	0.24%	0.20%	0.11%	0.42%	0.24%	0.28%	0.25%	0.13%	0.15%	0.13%	0.38%	0.36%	0.40%	0.25%	0.13%	0.12%	0.25%	0.25%	0.52%	0.00%	0.00%	0.12%	0.00%	0.40%	0.26%	0.16%	0.12%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2834	86	125	73	75	101	106	132	121	102	95	92	96	123	120	105	105	93	120	28	15	89	116	117	116	269	93	121									
		13.76%	10.31%	12.36%	8.38%	10.59%	12.33%	14.99%	16.42%	15.67%	15.57%	12.20%	11.53%	11.65%	16.49%	15.06%	13.14%	13.08%	11.51%	15.04%	14.51%	14.42%	15.92%	14.09%	14.30%	15.55%	17.30%	14.74%	14.63%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	194	15	16	15	8	10	5	4	5	7	7	7	8	7	6	7	7	7	7	0	1	4	3	5	6	17	4	6									
		0.94%	1.80%	1.58%	1.72%	1.13%	1.22%	0.71%	0.50%	0.65%	1.07%	0.90%	0.88%	0.97%	0.94%	0.75%	0.88%	0.87%	0.87%	0.88%	0.00%	0.96%	0.72%	0.36%	0.61%	0.80%	1.09%	0.63%	0.73%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	227	17	15	12	6	10	9	8	4	4	5	8	9	5	12	10	8	5	16	1	0	7	8	3	10	24	3	8									
		1.10%	2.04%	1.48%	1.38%	0.85%	1.22%	1.27%	0.99%	0.52%	0.61%	0.64%	1.00%	1.09%	0.67%	1.51%	1.25%	0.99%	0.62%	2.01%	0.52%	0.00%	1.25%	0.97%	0.37%	1.34%	1.54%	0.48%	0.97%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	19	0	2	1	3	0	1	0	0	1	1	1	0	1	0	2	0	1	1	0	0	0	2	0	0	0	1	1									
		0.09%	0.00%	0.20%	0.11%	0.42%	0.00%	0.14%	0.00%	0.00%	0.15%	0.13%	0.13%	0.00%	0.13%	0.00%	0.25%	0.00%	0.12%	0.13%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%	0.00%	0.16%	0.12%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	563	33	31	47	12	26	10	18	10	13	22	47	21	12	21	17	22	20	35	1	1	10	17	24	21	36	5	31									
		2.73%	3.96%	3.07%	5.40%	1.69%	3.17%	1.41%	2.24%	1.30%	1.98%	2.82%	5.89%	2.55%	1.61%	2.63%	2.13%	2.74%	2.48%	4.39%	0.52%	0.96%	1.79%	2.07%	2.93%	2.82%	2.32%	0.79%	3.75%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1948	80	77	96	75	92	57	60	69	57	67	85	60	87	104	78	87	79	74	21	3	53	75	97	72	114	37	92									
		9.46%	9.59%	7.62%	11.02%	10.59%	11.23%	8.06%	7.46%	8.94%	8.70%	8.60%	10.65%	7.28%	11.66%	13.05%	9.76%	10.83%	9.78%	9.27%	10.88%	2.88%	9.48%	9.11%	11.86%	9.65%	7.33%	5.86%	11.12%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	81	3	9	4	2	4	5	5	0	2	4	2	1	1	3	2	2	2	7	3	0	0	1	2	5	7	3	2									
		0.39%	0.36%	0.89%	0.46%	0.28%	0.49%	0.71%	0.62%	0.00%	0.31%	0.51%	0.25%	0.12%	0.13%	0.38%	0.25%	0.25%	0.25%	0.88%	1.55%	0.00%	0.00%	0.12%	0.24%	0.67%	0.45%	0.48%	0.24%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3747	131	173	149	142	168	138	161	151	116	185	166	180	103	135	168	114	157	109	30	27	128	192	186	92	170	137	139									
		18.20%	15.71%	17.11%	17.11%	20.06%	20.51%	19.52%	20.02%	19.56%	17.71%	23.75%	20.80%	21.84%	13.81%	16.94%	21.03%	14.20%	19.43%	13.66%	15.54%	25.96%	22.90%	23.33%	22.74%	12.33%	10.93%	21.71%	16.81%									
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
