Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																								
Дата голосования: 07.12.2003 0:00:00																																								
																																								
Наименование Избирательной комиссии:    Бийская																																								
																																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																								
																																								
		Сумма	УИК  594	УИК  595	УИК  596	УИК  597	УИК  598	УИК  599	УИК  600	УИК  601	УИК  602	УИК  603	УИК  604	УИК  605	УИК  606	УИК  607	УИК  608	УИК  609	УИК  610	УИК  611	УИК  612	УИК  613	УИК  614	УИК  615	УИК  616	УИК  617	УИК  618	УИК  619	УИК  620	УИК  621	УИК  622	УИК  623	УИК  624	УИК  625	УИК  626					
1	"Число избирателей, внесенных в списки"	27117	705	788	376	2357	438	1247	799	438	88	754	1617	218	1823	369	1544	372	376	1169	104	430	438	2010	2102	2409	106	1055	174	180	287	194	924	1101	125					
2	"Число бюллетеней, полученных участковыми комиссиями"	25040	650	750	350	2200	390	1110	750	430	85	700	1460	220	1630	350	1350	330	340	1120	110	420	390	1820	1880	2230	102	970	170	170	290	190	910	1060	113					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	15842	413	454	250	1083	239	752	509	313	54	557	1044	143	1052	218	863	217	233	664	55	253	230	1053	1267	1296	69	680	111	119	193	139	589	679	51					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	951	19	28	11	88	9	104	15	34	5	29	36	10	66	6	32	18	2	39	6	17	25	32	47	119	1	19	3	9	14	16	49	39	4					
6	Число погашенных бюллетеней	8247	218	268	89	1029	142	254	226	83	26	114	380	67	512	126	455	95	105	417	49	150	135	735	566	815	32	271	56	42	83	35	272	342	58					
7	Число бюллетеней в переносных ящиках для голосования	951	19	28	11	88	9	104	15	34	5	29	36	10	66	6	32	18	2	39	6	17	25	32	47	119	1	19	3	9	14	16	49	39	4					
8	Число бюллетеней в стационарных ящиках для голосования	15842	413	454	250	1083	239	752	509	313	54	557	1044	143	1052	218	863	217	233	664	55	253	230	1053	1267	1296	69	680	111	119	193	139	589	679	51					
9	Число недействительных бюллетеней	251	15	5	3	11	6	4	10	4	0	11	21	2	18	10	11	8	7	7	0	5	12	10	18	16	0	5	0	7	2	0	12	11	0					
10	Число действительных бюллетеней	16542	417	477	258	1160	242	852	514	343	59	575	1059	151	1100	214	884	227	228	696	61	265	243	1075	1296	1399	70	694	114	121	205	155	626	707	55					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	200	5	6	3	16	3	8	6	3	2	6	12	2	12	3	10	3	3	9	2	3	3	14	15	16	2	8	2	2	2	2	7	8	2					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	58	1	1	2	4	2	8	3	1	0	0	4	1	5	0	0	0	1	0	0	0	1	3	5	3	0	2	0	1	1	0	2	7	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	86	2	2	1	3	4	6	2	5	0	8	1	2	9	5	2	0	3	7	0	2	2	1	3	2	1	5	1	2	2	1	2	0	0					
14	Число погашенных открепительных удостоверений	142	4	5	1	12	1	0	3	2	2	6	8	1	7	3	10	3	2	9	2	3	2	11	10	13	2	6	2	1	1	2	5	1	2					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																								
18	"1. ""ЕДИНЕНИЕ"""	221	6	9	3	14	7	4	3	10	1	15	17	2	7	4	18	3	1	14	1	4	6	7	15	15	0	9	1	2	4	2	9	8	0					
		1.31%	1.38%	1.86%	1.14%	1.19%	2.82%	0.46%	0.57%	2.88%	1.69%	2.55%	1.57%	1.30%	0.62%	1.78%	2.01%	1.27%	0.42%	1.99%	1.63%	1.48%	2.35%	0.64%	1.14%	1.06%	0.0%	1.28%	0.87%	1.56%	1.93%	1.29%	1.41%	1.11%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	333	8	10	8	12	4	9	13	6	1	15	26	1	47	10	11	3	5	10	0	4	3	26	33	28	0	5	0	4	4	2	9	16	0					
		1.98%	1.85%	2.07%	3.06%	1.02%	1.61%	1.05%	2.48%	1.72%	1.69%	2.55%	2.40%	0.65%	4.20%	4.46%	1.22%	1.27%	2.12%	1.42%	0.0%	1.48%	1.17%	2.39%	2.51%	1.97%	0.0%	0.71%	0.0%	3.12%	1.93%	1.29%	1.41%	2.22%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	346	13	12	5	30	7	19	7	7	2	13	27	3	22	8	21	11	2	8	0	4	1	13	27	18	3	13	2	2	1	11	10	24	0					
		2.06%	3.00%	2.48%	1.91%	2.56%	2.82%	2.21%	1.33%	2.01%	3.38%	2.21%	2.5%	1.96%	1.96%	3.57%	2.34%	4.68%	0.85%	1.13%	0.0%	1.48%	0.39%	1.19%	2.05%	1.27%	4.28%	1.85%	1.75%	1.56%	0.48%	7.09%	1.56%	3.34%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	536	5	11	14	45	5	10	10	10	0	13	63	2	71	5	20	8	7	11	0	8	8	50	58	39	3	14	5	5	0	1	18	16	1					
		3.19%	1.15%	2.28%	5.36%	3.84%	2.01%	1.16%	1.90%	2.88%	0.0%	2.21%	5.83%	1.30%	6.35%	2.23%	2.23%	3.40%	2.97%	1.56%	0.0%	2.96%	3.13%	4.60%	4.41%	2.75%	4.28%	2.00%	4.38%	3.90%	0.0%	0.64%	2.82%	2.22%	1.81%					
22	"5. ""За Русь Святую"""	83	4	0	2	4	5	5	2	0	0	1	5	0	8	1	8	3	3	7	0	1	1	4	3	5	0	3	0	1	0	1	6	0	0					
