Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																											
Дата голосования: 02.12.2007																																											
																																											
"Наименование Избирательной комиссии:    Оренбург, Центральная"																																											
																																											
Сводная таблица результатов выборов																																											
																																											
		Сумма	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118					
1	"Число избирателей, внесенных в списки избирателей"	77946	1447	1847	2479	397	1850	2508	2533	1679	2066	1722	2307	2329	2546	2171	1882	2685	2973	2112	2482	2231	2193	2415	1972	2848	2221	2759	2257	1798	1906	1988	1879	2240	2779	2501	2619	1325					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	59100	1000	1300	2000	350	1250	2000	2000	1200	2000	1200	1500	1500	2000	2000	1200	2000	2000	1500	2000	1500	1600	2000	1500	2000	2000	2000	2000	1300	1400	1400	1400	2000	2000	2000	2000	1000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	34857	576	622	887	179	777	953	1023	861	879	958	849	1223	994	929	1110	1195	1197	772	1310	746	1026	1167	926	1442	954	1038	1249	722	999	1044	906	1061	1269	1199	1046	769					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2493	22	73	158	11	66	39	48	110	83	53	315	102	72	57	15	28	37	199	77	61	27	53	41	33	86	176	69	49	71	42	38	36	40	36	33	37					
6	Число погашенных избирательных бюллетеней	21750	402	605	955	160	407	1008	929	229	1038	189	336	175	934	1014	75	777	766	529	613	693	547	780	533	525	960	786	682	529	330	314	456	903	691	765	921	194					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2493	22	73	158	11	66	39	48	110	83	53	315	102	72	57	15	28	37	199	77	61	27	53	41	33	86	176	69	49	71	42	38	36	40	36	33	37					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	34848	576	622	887	179	777	953	1023	861	878	958	844	1223	994	926	1110	1195	1197	772	1310	746	1026	1167	926	1442	954	1038	1249	722	999	1044	906	1061	1269	1199	1046	769					
9	Число недействительных избирательных бюллетеней	360	6	4	9	7	9	8	5	13	8	9	8	9	8	15	13	11	8	7	10	3	10	20	12	21	12	9	11	4	16	9	16	11	16	11	10	2					
10	Число действительных избирательных бюллетеней	36981	592	691	1036	183	834	984	1066	958	953	1002	1151	1316	1058	968	1112	1212	1226	964	1377	804	1043	1200	955	1454	1028	1205	1307	767	1054	1077	928	1086	1293	1224	1069	804					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	984	15	15	20	15	15	20	20	25	50	15	20	46	20	22	200	20	23	25	15	15	19	20	15	20	15	55	20	15	22	22	15	20	50	20	25	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	641	6	8	19	0	12	13	11	25	10	9	12	41	8	18	91	8	18	14	14	11	18	18	13	15	6	53	20	9	22	20	15	20	26	8	25	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	584	10	12	7	5	10	20	18	19	9	16	24	21	17	14	120	16	19	5	9	14	12	13	11	21	13	21	10	5	24	2	16	3	20	9	14	5					
14	Число погашенных неиспользованных открепительных удостоверений	343	9	7	1	15	3	7	9	0	40	6	8	5	12	4	109	12	5	11	1	4	1	2	2	5	9	2	0	6	0	2	0	0	24	12	0	10					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	8	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
