Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																								
Дата голосования: 07.12.2003 0:00:00																								
																								
Наименование Избирательной комиссии:    Бутырский район																								
																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																								
																								
		Сумма	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619					
1	"Число избирателей, внесенных в списки"	40746	1709	2265	1773	2350	2295	2439	2485	2299	2720	2821	2610	2563	2655	2763	2414	2367	2218					
2	"Число бюллетеней, полученных участковыми комиссиями"	37100	1550	2100	1550	2100	2100	2200	2300	2100	2500	2700	2400	2400	2400	2500	2200	2200	1800					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	22528	909	1203	958	1237	1282	1193	1286	1234	1598	1618	1554	1575	1513	1632	1367	1229	1140					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	543	39	35	28	45	41	20	31	37	21	41	32	29	27	27	34	22	34					
6	Число погашенных бюллетеней	14029	602	862	564	818	777	987	983	829	881	1041	814	796	860	841	799	949	626					
7	Число бюллетеней в переносных ящиках для голосования	543	39	35	28	45	41	20	31	37	21	41	32	29	27	27	34	22	34					
8	Число бюллетеней в стационарных ящиках для голосования	22416	869	1203	958	1235	1255	1190	1286	1234	1598	1599	1554	1574	1513	1632	1362	1220	1134					
9	Число недействительных бюллетеней	257	4	21	12	12	16	25	14	8	22	15	16	10	10	19	10	19	24					
10	Число действительных бюллетеней	22702	904	1217	974	1268	1280	1185	1303	1263	1597	1625	1570	1593	1530	1640	1386	1223	1144					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	905	30	55	30	55	55	35	55	55	55	55	55	65	65	80	55	55	50					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	496	12	31	15	24	22	17	26	34	38	22	21	37	38	59	38	35	27					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	382	30	27	12	27	13	2	9	35	44	28	24	12	12	29	18	18	42					
14	Число погашенных открепительных удостоверений	409	18	24	15	31	33	18	29	21	17	33	34	28	27	21	17	20	23					
