Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																											
Дата голосования: 07.12.2003 0:00:00																																																											
																																																											
"Наименование Избирательной комиссии:    Волгоград, Краснооктябрьская"																																																											
																																																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																											
																																																											
		Сумма	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460					
1	"Число избирателей, внесенных в списки"	123260	2886	2869	2680	2441	2320	2265	2063	2780	2410	1943	933	1437	1702	2108	1990	2862	2709	3078	2530	3041	2634	2420	2389	2498	1373	2188	2212	2063	2163	1327	2328	1086	2690	2479	2557	3185	2516	2644	1678	2955	2618	2687	2552	2945	3032	2805	2343	2766	2566	2380	2179	1955					
2	"Число бюллетеней, полученных участковыми комиссиями"	121240	2800	2800	2600	2500	2200	2200	2100	2700	2400	1900	1000	1390	1650	2050	2000	2800	2600	3000	2500	2700	2850	2300	2350	2500	1400	2100	2250	2000	2000	1200	2200	1050	2600	2450	2600	2900	2500	2700	1500	3000	2600	2700	2800	3000	2900	2800	2200	2700	2650	2500	2150	1900					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	56731	1275	1160	1265	1297	1069	1114	989	1245	1142	899	508	471	685	1022	930	1369	1332	1552	1171	1352	1272	1197	1072	1145	588	1016	1249	795	884	469	846	318	1318	1320	1386	1410	1276	1341	778	1310	1173	948	1351	1266	1302	1249	1083	1300	1279	1140	1123	680					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1507	23	31	28	23	51	37	11	35	43	24	12	23	19	17	17	22	8	28	21	25	28	48	32	43	16	46	38	83	17	19	14	3	11	20	27	51	25	31	23	24	29	35	35	20	12	17	14	107	45	49	14	33					
6	Число погашенных бюллетеней	63002	1502	1609	1307	1180	1080	1049	1100	1420	1215	977	480	896	946	1011	1053	1409	1260	1420	1308	1323	1550	1055	1246	1312	796	1038	963	1122	1099	712	1340	729	1271	1110	1187	1439	1199	1328	699	1666	1398	1717	1414	1714	1586	1534	1103	1293	1326	1311	1013	1187					
7	Число бюллетеней в переносных ящиках для голосования	1507	23	31	28	23	51	37	11	35	43	24	12	23	19	17	17	22	8	28	21	25	28	48	32	43	16	46	38	83	17	19	14	3	11	20	27	51	25	31	23	24	29	35	35	20	12	17	14	107	45	49	14	33					
8	Число бюллетеней в стационарных ящиках для голосования	56682	1274	1154	1265	1297	1069	1114	989	1245	1142	899	508	471	685	1020	930	1367	1332	1552	1171	1352	1272	1197	1072	1145	588	1015	1249	795	884	469	846	318	1318	1320	1386	1410	1276	1341	778	1309	1173	947	1351	1266	1302	1249	1083	1268	1279	1140	1120	680					
9	Число недействительных бюллетеней	1280	53	41	13	48	25	24	22	6	23	35	8	12	10	13	16	57	21	32	10	38	19	23	25	26	18	75	36	28	25	16	27	4	21	15	18	18	23	30	11	20	4	11	20	12	23	21	23	21	24	44	65	27					
10	Число действительных бюллетеней	56909	1244	1144	1280	1272	1095	1127	978	1274	1162	888	512	482	694	1024	931	1332	1319	1548	1182	1339	1281	1222	1079	1162	586	986	1251	850	876	472	833	317	1308	1325	1395	1443	1278	1342	790	1313	1198	971	1366	1274	1291	1245	1074	1354	1300	1145	1069	686					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1300	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	401	12	8	7	5	4	12	5	3	3	10	11	2	9	6	8	6	7	16	15	9	5	7	12	11	1	9	8	7	5	4	5	3	7	6	12	8	13	13	6	8	7	6	16	9	10	6	6	7	4	7	6	9					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	267	10	2	0	4	1	6	4	6	5	3	10	5	2	11	1	6	5	10	9	6	3	3	5	6	5	3	7	5	0	4	6	1	3	4	10	6	5	11	5	4	4	5	9	5	3	8	4	5	4	3	5	10					
14	Число погашенных открепительных удостоверений	899	13	17	18	20	21	13	20	22	22	15	14	23	16	19	17	19	18	9	10	16	20	18	13	14	24	16	17	18	20	21	20	22	18	19	13	17	12	12	19	17	18	19	9	16	15	19	19	18	21	18	19	16					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																											
18	"1. ""ЕДИНЕНИЕ"""	500	8	7	7	8	10	14	7	9	12	8	1	2	4	5	9	21	20	9	8	8	9	10	17	13	8	11	12	9	7	9	4	4	9	8	14	12	13	11	6	21	10	6	9	7	6	10	13	12	15	10	11	7					
		0.85%	0.61%	0.59%	0.54%	0.60%	0.89%	1.21%	0.7%	0.70%	1.01%	0.86%	0.19%	0.40%	0.56%	0.48%	0.95%	1.51%	1.49%	0.56%	0.67%	0.58%	0.69%	0.80%	1.53%	1.09%	1.32%	1.03%	0.93%	1.02%	0.77%	1.84%	0.46%	1.24%	0.67%	0.59%	0.99%	0.82%	0.99%	0.80%	0.74%	1.57%	0.83%	0.61%	0.64%	0.54%	0.45%	0.78%	1.18%	0.87%	1.13%	0.84%	0.97%	0.98%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	3205	56	43	53	72	39	50	40	80	59	56	24	18	33	67	43	60	82	116	71	60	77	58	66	90	33	27	69	30	75	34	39	19	68	73	80	94	73	76	66	63	62	64	86	71	87	81	65	84	92	79	47	55					
		5.50%	4.31%	3.62%	4.09%	5.45%	3.48%	4.34%	4.0%	6.25%	4.97%	6.06%	4.61%	3.64%	4.68%	6.46%	4.54%	4.31%	6.11%	7.34%	5.95%	4.35%	5.92%	4.65%	5.97%	7.57%	5.46%	2.54%	5.36%	3.41%	8.32%	6.96%	4.53%	5.91%	5.11%	5.44%	5.66%	6.43%	5.61%	5.53%	8.23%	4.72%	5.15%	6.51%	6.20%	5.52%	6.62%	6.39%	5.92%	6.10%	6.94%	6.64%	4.14%	7.71%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1915	24	49	54	43	51	49	39	42	58	24	20	9	18	23	35	27	48	47	35	48	46	33	36	39	24	64	60	40	20	9	29	12	39	33	41	53	45	45	14	56	37	31	36	43	33	44	26	45	36	36	51	16					
		3.29%	1.85%	4.13%	4.17%	3.25%	4.55%	4.25%	3.9%	3.28%	4.89%	2.60%	3.84%	1.82%	2.55%	2.21%	3.69%	1.94%	3.58%	2.97%	2.93%	3.48%	3.53%	2.65%	3.26%	3.28%	3.97%	6.03%	4.66%	4.55%	2.21%	1.84%	3.37%	3.73%	2.93%	2.46%	2.90%	3.62%	3.45%	3.27%	1.74%	4.20%	3.07%	3.15%	2.59%	3.34%	2.51%	3.47%	2.37%	3.27%	2.71%	3.02%	4.49%	2.24%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	3040	54	65	61	60	41	53	47	67	65	51	18	33	34	54	44	81	67	107	68	56	74	69	56	64	25	25	28	32	30	19	30	19	86	59	70	83	65	104	44	61	62	73	95	111	83	68	68	80	75	75	56	25					
		5.22%	4.16%	5.48%	4.71%	4.54%	3.66%	4.60%	4.7%	5.23%	5.48%	5.52%	3.46%	6.68%	4.82%	5.20%	4.64%	5.83%	5.0%	6.77%	5.70%	4.06%	5.69%	5.54%	5.07%	5.38%	4.13%	2.35%	2.17%	3.64%	3.32%	3.89%	3.48%	5.91%	6.47%	4.40%	4.95%	5.68%	4.99%	7.58%	5.49%	4.57%	5.15%	7.43%	6.85%	8.63%	6.31%	5.37%	6.19%	5.81%	5.66%	6.30%	4.93%	3.50%					
22	"5. ""За Русь Святую"""	327	5	8	6	3	6	6	5	7	8	6	1	7	4	4	8	13	12	7	5	10	7	1	1	9	3	2	9	4	2	4	4	1	9	9	4	10	4	5	7	10	4	6	16	5	8	11	4	10	11	12	4	0					
		0.56%	0.38%	0.67%	0.46%	0.22%	0.53%	0.52%	0.5%	0.54%	0.67%	0.65%	0.19%	1.41%	0.56%	0.38%	0.84%	0.93%	0.89%	0.44%	0.41%	0.72%	0.53%	0.08%	0.09%	0.75%	0.49%	0.18%	0.69%	0.45%	0.22%	0.81%	0.46%	0.31%	0.67%	0.67%	0.28%	0.68%	0.30%	0.36%	0.87%	0.75%	0.33%	0.61%	1.15%	0.38%	0.60%	0.86%	0.36%	0.72%	0.83%	1.00%	0.35%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	109	4	3	6	3	2	4	0	1	3	4	0	2	1	1	4	0	6	5	4	1	2	1	2	1	0	2	2	0	7	2	0	0	1	3	0	4	0	3	1	2	1	2	2	1	2	2	1	3	0	3	4	1					
