Выборы Президента Российской Федерации																																														
																																														
Наименование Избирательной комиссии:    Кинешемская городская																																														
																																														
Итоги голосования 																																														
																																														
		Сумма	УИК  213	УИК  214	УИК  215	УИК  216	УИК  217	УИК  218	УИК  219	УИК  220	УИК  221	УИК  222	УИК  223	УИК  224	УИК  225	УИК  226	УИК  227	УИК  228	УИК  229	УИК  230	УИК  231	УИК  232	УИК  233	УИК  234	УИК  235	УИК  236	УИК  237	УИК  238	УИК  239	УИК  240	УИК  241	УИК  242	УИК  243	УИК  244	УИК  245	УИК  246	УИК  247	УИК  248	УИК  249	УИК  250	УИК  251					
1	"Число избирателей, внесенных в список"	73677	1028	1398	1918	1410	1981	2190	2406	2808	2515	2085	2294	2662	2293	2016	2575	2436	1065	2578	2417	2383	2408	2226	1167	1832	1429	1691	2394	1054	1310	1081	1836	1320	1577	2257	2419	1593	1416	1965	244					
2	Число полученных избирательных бюллетеней	66210	901	1260	1704	1260	1772	1972	2126	2507	2228	1874	1959	2384	2100	1813	2317	2207	964	2338	2138	2190	2174	2000	1063	1643	1293	1531	2144	949	1188	941	1799	1161	1449	2046	2108	1437	1256	1768	246					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	32735	392	630	824	545	871	851	1083	1219	1113	916	1063	1162	982	957	1063	1176	522	1154	1147	1174	1013	1088	569	889	593	781	1030	504	694	456	848	533	592	901	1050	756	621	729	244					
5	"Число избирательных бюллетеней, выданных вне помещения"	2013	76	54	51	30	66	86	36	22	80	66	24	24	68	65	104	79	16	43	41	73	104	27	32	41	52	34	34	31	40	94	55	59	32	47	48	73	70	36	0					
6	Число погашенных избирательных бюллетеней	31462	433	576	829	685	835	1035	1007	1266	1035	892	872	1198	1050	791	1150	952	426	1141	950	943	1057	885	462	713	648	716	1080	414	454	391	896	569	825	1098	1010	608	565	1003	2					
7	Число избирательных бюллетеней в переносных ящиках	2013	76	54	51	30	66	86	36	22	80	66	24	24	68	65	104	79	16	43	41	73	104	27	32	41	52	34	34	31	40	94	55	59	32	47	48	73	70	36	0					
8	Число бюллетеней в стационарных ящиках для голосования	32733	392	630	824	545	871	851	1083	1219	1113	916	1063	1162	982	957	1063	1176	522	1154	1147	1174	1013	1088	569	887	593	781	1030	504	694	456	848	533	592	901	1050	756	621	729	244					
9	Число недействительных избирательных бюллетеней	236	5	3	7	6	8	5	4	6	7	7	2	6	3	8	11	6	9	9	6	7	11	5	5	6	5	4	13	3	3	4	7	8	10	4	3	5	4	10	1					
10	Число действительных избирательных бюллетеней	34510	463	681	868	569	929	932	1115	1235	1186	975	1085	1180	1047	1014	1156	1249	529	1188	1182	1240	1106	1110	596	922	640	811	1051	532	731	546	896	584	614	944	1095	824	687	755	243					
