Выборы Президента Российской Федерации																																					
																																					
Наименование Избирательной комиссии:    Корткеросская																																					
																																					
Итоги голосования 																																					
																																					
		Сумма	УИК  436	УИК  437	УИК  438	УИК  439	УИК  440	УИК  441	УИК  442	УИК  443	УИК  444	УИК  445	УИК  446	УИК  447	УИК  448	УИК  449	УИК  450	УИК  451	УИК  452	УИК  453	УИК  454	УИК  455	УИК  456	УИК  457	УИК  458	УИК  459	УИК  460	УИК  461	УИК  462	УИК  463	УИК  464	УИК  465					
1	"Число избирателей, внесенных в список"	17924	473	1237	198	198	138	158	739	825	1695	1041	164	519	332	673	310	614	187	426	1685	496	584	542	273	1051	674	288	635	153	211	1405					
2	Число полученных избирательных бюллетеней	17640	460	1220	190	200	130	160	740	810	1650	1000	160	510	330	660	310	570	180	420	1680	500	560	530	270	1060	670	290	650	140	200	1390					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9387	217	588	93	116	90	104	363	447	960	579	78	233	176	326	189	264	116	226	898	285	330	264	146	500	374	172	399	95	148	611					
5	"Число избирательных бюллетеней, выданных вне помещения"	600	30	21	9	18	5	0	11	11	8	24	10	30	15	26	12	8	6	56	37	38	31	57	5	11	12	17	28	15	13	36					
6	Число погашенных избирательных бюллетеней	7653	213	611	88	66	35	56	366	352	682	397	72	247	139	308	109	298	58	138	745	177	199	209	119	549	284	101	223	30	39	743					
7	Число избирательных бюллетеней в переносных ящиках	600	30	21	9	18	5	0	11	11	8	24	10	30	15	26	12	8	6	56	37	38	31	57	5	11	12	17	28	15	13	36					
8	Число бюллетеней в стационарных ящиках для голосования	9385	217	588	93	116	90	104	363	447	960	579	78	233	176	326	189	264	116	226	898	285	330	264	146	498	374	172	399	95	148	611					
9	Число недействительных избирательных бюллетеней	94	8	6	0	0	3	2	6	7	8	1	1	0	2	6	2	2	3	0	8	1	2	5	1	5	4	2	3	0	2	4					
10	Число действительных избирательных бюллетеней	9891	239	603	102	134	92	102	368	451	960	602	87	263	189	346	199	270	119	282	927	322	359	316	150	504	382	187	424	110	159	643					
11	Число полученных открепительных  удостоверений	247	5	18	2	5	5	5	10	6	20	17	5	5	8	7	5	7	5	3	17	9	9	7	8	10	10	9	10	5	5	10					
12	Число выданных открепительных удостоверений	138	3	16	1	3	0	0	7	3	9	3	0	3	5	4	3	1	0	3	13	9	8	6	6	8	3	7	4	1	2	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	60	2	2	0	1	1	0	2	0	5	5	1	1	2	2	0	2	3	2	4	4	4	6	5	0	0	0	0	2	1	3					
14	Число неиспользованных открепительных удостоверений	109	2	2	1	2	5	5	3	3	11	14	5	2	3	3	2	6	5	0	4	0	1	1	2	2	7	2	6	4	3	3					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																					
18	. Глазьев Сергей Юрьевич	215	3	16	2	2	3	2	18	13	38	21	0	6	3	7	4	6	0	3	18	4	3	3	0	8	8	2	8	0	1	13					
		2.15%	1.21%	2.63%	1.96%	1.49%	3.16%	1.92%	4.81%	2.84%	3.93%	3.48%	0.00%	2.28%	1.57%	1.99%	1.99%	2.21%	0.00%	1.06%	1.93%	1.24%	0.83%	0.93%	0.00%	1.57%	2.07%	1.06%	1.87%	0.00%	0.62%	2.01%					
