Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																											
Дата голосования: 07.12.2003 0:00:00																																											
																																											
Наименование Избирательной комиссии:    Таштагольская городская																																											
																																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																											
																																											
		Сумма	УИК  968	УИК  969	УИК  970	УИК  971	УИК  972	УИК  973	УИК  974	УИК  975	УИК  976	УИК  977	УИК  978	УИК  979	УИК  980	УИК  981	УИК  982	УИК  983	УИК  984	УИК  985	УИК  986	УИК  987	УИК  988	УИК  989	УИК  990	УИК  991	УИК  992	УИК  993	УИК  994	УИК  995	УИК  996	УИК  997	УИК  998	УИК  999	УИК  1000	УИК  1001	УИК  1002	УИК  1003					
1	"Число избирателей, внесенных в списки"	36525	437	783	1311	999	1339	1985	2226	842	1185	627	1249	646	1326	1570	249	1288	2495	757	779	1271	2101	865	1810	1793	1879	337	325	662	385	390	435	1012	178	662	165	162					
2	"Число бюллетеней, полученных участковыми комиссиями"	33847	406	691	1280	910	1336	1819	2042	758	1039	568	1145	580	1349	1470	237	1200	2273	725	725	1138	1846	771	1625	1587	1724	335	320	667	377	420	434	911	178	632	162	167					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	0	0	254	0	178	64	155	157					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	28560	336	659	1064	717	1241	1665	1989	741	948	542	1062	523	1007	1358	217	1042	1838	496	533	989	1576	636	1303	1503	1236	327	179	661	373	363	158	731	0	547	0	0					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1330	23	32	125	25	34	51	53	7	38	20	10	57	34	41	18	44	180	70	22	84	65	15	32	50	98	4	0	0	0	1	0	97	0	0	0	0					
6	Число погашенных бюллетеней	3030	47	0	91	168	61	103	0	10	53	6	73	0	308	71	2	114	255	159	170	65	205	120	290	34	390	4	22	6	4	56	22	83	0	21	7	10					
7	Число бюллетеней в переносных ящиках для голосования	2257	23	32	125	25	34	51	53	7	38	20	10	57	34	41	18	44	180	70	22	84	65	15	32	50	98	4	119	0	0	1	254	97	178	64	155	157					
8	Число бюллетеней в стационарных ящиках для голосования	28534	336	659	1064	692	1241	1665	1989	741	948	542	1061	523	1007	1358	217	1042	1838	496	533	989	1576	636	1303	1503	1236	327	179	661	373	363	158	731	0	547	0	0					
9	Число недействительных бюллетеней	158	0	0	3	2	0	10	11	6	0	0	0	0	16	3	0	11	25	2	0	3	8	3	6	9	15	0	16	5	0	2	2	0	0	0	0	0					
10	Число действительных бюллетеней	30633	359	691	1186	715	1275	1706	2031	742	986	562	1071	580	1025	1396	235	1075	1993	564	555	1070	1633	648	1329	1544	1319	331	282	656	373	362	410	828	178	611	155	157					
