Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																													
Дата голосования: 18.09.2016																																																													
																																																													
Наименование Избирательной комиссии:    Алексеевская																																																													
																																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																																													
																																																													
		Сумма	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	19755	1380	1245	1127	1110	1186	1033	1240	59	593	1032	318	336	256	94	439	121	588	169	56	156	175	246	85	100	118	333	243	352	179	39	589	54	312	121	197	361	307	134	232	154	162	325	336	232	536	170	467	137	144	377									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	20005	1402	1269	1135	1131	1203	1053	1263	60	597	1045	320	336	262	94	442	125	589	170	56	159	175	250	87	102	120	333	245	354	179	39	596	53	312	121	200	366	316	135	236	157	164	328	339	232	545	171	471	139	150	379									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	19351	1346	1210	1107	1094	1167	1002	1231	59	575	1013	294	321	256	93	424	115	584	169	56	153	172	245	83	99	117	324	225	349	177	39	580	48	307	120	196	360	301	127	232	154	156	309	328	230	523	168	462	136	142	373									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	115	3	5	3	0	10	1	1	0	8	11	5	11	0	0	9	5	0	0	0	0	0	0	0	0	0	3	9	0	0	0	2	3	0	0	0	0	0	0	0	0	4	11	0	0	9	2	0	0	0	0									
6	Число погашенных избирательных бюллетеней	539	53	54	25	37	26	50	31	1	14	21	21	4	6	1	9	5	5	1	0	6	3	5	4	3	3	6	11	5	2	0	14	2	5	1	4	6	15	8	4	3	4	8	11	2	13	1	9	3	8	6									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	115	3	5	3	0	10	1	1	0	8	11	5	11	0	0	9	5	0	0	0	0	0	0	0	0	0	3	9	0	0	0	2	3	0	0	0	0	0	0	0	0	4	11	0	0	9	2	0	0	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	19349	1346	1210	1107	1094	1167	1002	1231	59	575	1013	294	321	256	93	424	115	584	169	56	153	172	245	83	99	117	324	225	349	177	39	580	48	307	120	196	360	301	127	232	154	156	309	328	230	523	168	460	136	142	373									
9	Число недействительных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	19464	1349	1215	1110	1094	1177	1003	1232	59	583	1024	299	332	256	93	433	120	584	169	56	153	172	245	83	99	117	327	234	349	177	39	582	51	307	120	196	360	301	127	232	154	160	320	328	230	532	170	460	136	142	373									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	364	25	25	20	20	15	20	15	2	15	8	6	5	5	3	15	3	10	3	2	3	3	5	3	3	3	5	5	5	5	2	8	3	5	3	5	5	5	3	5	3	3	5	10	5	11	3	5	3	10	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	181	22	24	9	18	8	17	15	0	6	7	2	0	4	0	4	3	1	1	0	1	0	1	0	0	1	0	2	2	1	0	4	0	0	0	2	0	3	1	1	1	0	2	1	0	9	0	3	0	5	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	87	8	4	6	2	0	2	4	1	3	0	0	2	0	1	3	2	3	3	2	2	1	0	0	1	0	3	2	3	2	3	2	3	2	2	1	1	1	1	2	1	0	1	0	2	3	0	1	0	1	0									
14	Число погашенных неиспользованных открепительных удостоверений	183	3	1	11	2	7	3	0	2	9	1	4	5	1	3	11	0	9	2	2	2	3	4	3	3	2	5	3	3	4	2	4	3	5	3	3	5	2	2	4	2	3	3	9	5	2	3	2	3	5	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	7	0	1	1	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																													
