Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																										
Дата голосования: 02.12.2007																																																										
																																																										
Наименование Избирательной комиссии:    Тулунская																																																										
																																																										
Сводная таблица результатов выборов																																																										
																																																										
		Сумма	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №1240	УИК №1241	УИК №1242	УИК №1243	УИК №1244	УИК №1245	УИК №1246	УИК №1247	УИК №1248	УИК №1249	УИК №1250	УИК №1251					
1	"Число избирателей, внесенных в списки избирателей"	20794	497	160	72	139	1032	214	453	1006	233	377	383	539	712	118	357	148	510	1002	138	185	575	54	135	765	89	373	380	146	766	575	616	246	142	455	928	173	107	241	377	320	833	228	861	536	271	464	383	317	811	267	85					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	19935	477	155	70	130	960	194	433	940	217	354	352	518	888	111	333	141	483	936	132	177	559	50	125	702	85	352	361	142	750	538	594	235	136	431	867	162	101	267	371	300	808	219	808	509	258	448	357	299	771	250	79					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	13737	302	75	60	107	781	139	221	643	115	314	311	347	451	86	240	117	427	507	79	120	326	32	82	430	58	156	267	114	538	438	466	176	123	311	586	96	59	233	215	240	419	166	584	370	237	368	251	216	500	193	45					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	834	21	13	0	0	6	15	29	24	18	0	11	18	46	3	11	0	0	48	8	0	26	2	9	36	7	66	4	0	9	0	46	17	0	9	13	10	31	8	71	12	92	0	8	41	0	0	0	0	28	9	9					
6	Число погашенных избирательных бюллетеней	5364	154	67	10	23	173	40	183	273	84	40	30	153	391	22	82	24	56	381	45	57	207	16	34	236	20	130	90	28	203	100	82	42	13	111	268	56	11	26	85	48	297	53	216	98	21	80	106	83	243	48	25					
7	Число избирательных бюллетеней в переносных ящиках для голосования	834	21	13	0	0	6	15	29	24	18	0	11	18	46	3	11	0	0	48	8	0	26	2	9	36	7	66	4	0	9	0	46	17	0	9	13	10	31	8	71	12	92	0	8	41	0	0	0	0	28	9	9					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	13737	302	75	60	107	781	139	221	643	115	314	311	347	451	86	240	117	427	507	79	120	326	32	82	430	58	156	267	114	538	438	466	176	123	311	586	96	59	233	215	240	419	166	584	370	237	368	251	216	500	193	45					
9	Число недействительных избирательных бюллетеней	141	4	1	1	2	9	0	6	5	5	7	2	2	3	1	3	0	3	2	0	0	3	2	1	12	0	1	7	1	5	2	2	1	0	5	7	0	0	1	4	2	10	1	6	7	0	0	0	4	0	1	0					
10	Число действительных избирательных бюллетеней	14430	319	87	59	105	778	154	244	662	128	307	320	363	494	88	248	117	424	553	87	120	349	32	90	454	65	221	264	113	542	436	510	192	123	315	592	106	90	240	282	250	501	165	586	404	237	368	251	212	528	201	54					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	461	10	4	2	3	24	5	10	22	5	7	8	12	20	3	7	3	12	22	3	4	12	2	3	15	3	7	8	3	16	12	14	5	3	10	20	4	3	6	8	7	18	5	20	12	6	10	8	7	20	6	2					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	164	3	0	0	0	6	1	1	8	1	0	0	2	20	1	1	0	1	0	0	0	5	0	0	2	3	1	2	0	16	1	8	1	0	3	5	0	0	1	5	2	18	5	20	2	0	10	0	3	6	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	104	2	0	0	1	2	0	2	5	3	0	12	1	2	3	1	2	11	7	1	2	2	0	1	2	4	1	0	1	0	0	0	1	1	1	4	0	2	3	0	3	2	0	5	0	1	1	1	7	3	0	1					
14	Число погашенных неиспользованных открепительных удостоверений	297	7	4	2	3	18	4	9	14	4	7	8	10	0	2	6	3	11	22	3	4	7	2	3	13	0	6	6	3	0	11	6	4	3	7	15	4	3	5	3	5	0	0	0	10	6	0	8	4	14	6	2					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	18	0	0	0	0	1	1	0	2	0	1	1	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	1	0	1	0	0	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
