Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																	
Дата голосования: 18.09.2016																																	
																																	
Наименование Избирательной комиссии:    Тарногская																																	
																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																	
																																	
		Сумма	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	10591	2362	2254	500	381	249	445	425	177	197	149	512	151	466	120	520	250	229	429	81	83	454	157									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9950	2000	2000	500	350	250	450	420	180	200	180	500	150	470	130	500	250	230	400	80	80	450	180									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4231	920	904	238	143	113	126	159	92	73	70	177	82	139	76	254	96	99	178	32	54	154	52									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1271	101	120	40	67	16	110	81	25	53	20	138	19	140	25	63	49	40	53	13	6	79	13									
6	Число погашенных избирательных бюллетеней	4448	979	976	222	140	121	214	180	63	74	90	185	49	191	29	183	105	91	169	35	20	217	115									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1271	101	120	40	67	16	110	81	25	53	20	138	19	140	25	63	49	40	53	13	6	79	13									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4231	920	904	238	143	113	126	159	92	73	70	177	82	139	76	254	96	99	178	32	54	154	52									
9	Число недействительных избирательных бюллетеней	104	18	21	1	1	7	2	5	3	1	2	4	1	9	4	9	3	1	7	1	0	4	0									
10	Число действительных избирательных бюллетеней	5398	1003	1003	277	209	122	234	235	114	125	88	311	100	270	97	308	142	138	224	44	60	229	65									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	502	50	50	22	25	25	35	15	15	25	25	40	15	20	15	20	15	15	20	5	5	15	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	269	19	16	22	2	9	15	3	11	16	25	23	2	18	15	4	13	10	2	5	5	10	24									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	110	14	26	8	5	1	4	4	0	5	0	5	2	5	3	5	2	1	3	3	1	11	2									
14	Число погашенных неиспользованных открепительных удостоверений	233	31	34	0	23	16	20	12	4	9	0	17	13	2	0	16	2	5	18	0	0	5	6									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	43	13	11	7	0	0	2	0	3	0	2	1	0	0	0	0	0	0	1	0	1	2	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	66	13	6	4	0	1	5	2	2	1	3	3	0	6	1	2	4	2	2	0	3	4	2									
		1.20%	1.27%	0.59%	1.44%	0.00%	0.78%	2.12%	0.83%	1.71%	0.79%	3.33%	0.95%	0.00%	2.15%	0.99%	0.63%	2.76%	1.44%	0.87%	0.00%	5.00%	1.72%	3.08%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	181	34	44	14	8	3	6	5	4	1	5	10	4	6	4	12	2	0	8	0	1	7	3									
		3.29%	3.33%	4.30%	5.04%	3.81%	2.33%	2.54%	2.08%	3.42%	0.79%	5.56%	3.17%	3.96%	2.15%	3.96%	3.79%	1.38%	0.00%	3.46%	0.00%	1.67%	3.00%	4.62%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	234	44	62	11	6	3	12	3	4	5	7	15	1	10	4	18	7	4	8	0	0	10	0									
		4.25%	4.31%	6.05%	3.96%	2.86%	2.33%	5.08%	1.25%	3.42%	3.97%	7.78%	4.76%	0.99%	3.58%	3.96%	5.68%	4.83%	2.88%	3.46%	0.00%	0.00%	4.29%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2113	334	308	111	85	50	120	98	64	45	34	107	51	122	42	115	66	75	92	25	17	118	34									
