Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																					
Дата голосования: 07.12.2003 0:00:00																					
																					
Наименование Избирательной комиссии:    Ардонская																					
																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																					
																					
		Сумма	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50					
1	"Число избирателей, внесенных в списки"	18923	1957	3003	2499	2014	2147	138	1079	1895	913	916	983	786	303	290					
2	"Число бюллетеней, полученных участковыми комиссиями"	18287	1906	2831	2579	1891	2078	135	1040	1895	841	901	900	706	300	284					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	9150	792	1204	1128	921	1092	98	560	965	488	522	559	418	228	175					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	359	20	29	42	35	32	0	17	28	33	23	35	22	28	15					
6	Число погашенных бюллетеней	8778	1094	1598	1409	935	954	37	463	902	320	356	306	266	44	94					
7	Число бюллетеней в переносных ящиках для голосования	359	20	29	42	35	32	0	17	28	33	23	35	22	28	15					
8	Число бюллетеней в стационарных ящиках для голосования	9223	792	1184	1228	921	1092	98	560	965	488	522	552	418	228	175					
9	Число недействительных бюллетеней	347	12	3	84	29	57	0	30	59	25	9	2	20	14	3					
10	Число действительных бюллетеней	9235	800	1210	1186	927	1067	98	547	934	496	536	585	420	242	187					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	498	54	78	72	52	54	4	28	52	23	25	25	16	7	8					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	56	5	9	4	6	0	0	1	7	4	7	5	0	5	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	82	1	0	2	2	1	2	2	15	1	4	36	6	9	1					
14	Число погашенных открепительных удостоверений	442	49	69	68	46	54	4	27	45	19	18	20	16	2	5					
15	Число открепительных удостоверений выданных ТИК	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																					
18	"1. ""ЕДИНЕНИЕ"""	46	0	0	0	0	0	1	0	0	0	17	0	8	13	7					
		0.48%	0.0%	0.0%	0.0%	0.0%	0.0%	1.02%	0.0%	0.0%	0.0%	3.11%	0.0%	1.81%	5.07%	3.68%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	475	35	77	68	51	41	11	45	53	12	11	17	27	21	6					
		4.95%	4.31%	6.34%	5.35%	5.33%	3.64%	11.22%	7.79%	5.33%	2.30%	2.01%	2.89%	6.13%	8.20%	3.15%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	60	0	0	0	0	0	2	0	0	0	32	0	21	0	5					
		0.62%	0.0%	0.0%	0.0%	0.0%	0.0%	2.04%	0.0%	0.0%	0.0%	5.87%	0.0%	4.77%	0.0%	2.63%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	56	7	6	0	11	9	1	2	4	0	3	0	7	1	5					
		0.58%	0.86%	0.49%	0.0%	1.15%	0.80%	1.02%	0.34%	0.40%	0.0%	0.55%	0.0%	1.59%	0.39%	2.63%					
22	"5. ""За Русь Святую"""	5	0	0	0	0	0	0	0	0	0	1	0	2	2	0					
		0.05%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%	0.0%	0.45%	0.78%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	6	0	0	0	0	0	1	0	0	0	1	0	2	2	0					
		0.06%	0.0%	0.0%	0.0%	0.0%	0.0%	1.02%	0.0%	0.0%	0.0%	0.18%	0.0%	0.45%	0.78%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	7	0	0	0	0	0	0	0	0	0	1	0	2	3	1					
		0.07%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%	0.0%	0.45%	1.17%	0.52%					
25	"8. ""Народно-республиканская партия России"""	10	0	0	0	0	0	0	0	0	0	8	0	0	1	1					
		0.10%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.46%	0.0%	0.0%	0.39%	0.52%					
26	"9. ""Российская экологическая партия ""Зеленые"""	6	0	0	0	0	0	1	0	0	0	2	0	2	0	1					
		0.06%	0.0%	0.0%	0.0%	0.0%	0.0%	1.02%	0.0%	0.0%	0.0%	0.36%	0.0%	0.45%	0.0%	0.52%					
27	"10. ""Аграрная партия России"""	217	7	13	14	31	17	17	16	15	17	14	6	9	14	27					
		2.26%	0.86%	1.07%	1.10%	3.24%	1.51%	17.34%	2.77%	1.51%	3.26%	2.56%	1.02%	2.04%	5.46%	14.21%					
28	"11. ""Истинные патриоты России"""	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1					
		0.02%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.22%	0.0%	0.52%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	19	0	0	0	0	0	0	0	0	0	6	0	3	3	7					
		0.19%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.10%	0.0%	0.68%	1.17%	3.68%					
30	"13. ""Демократическая партия России"""	13	0	0	0	0	0	0	0	0	0	2	0	3	6	2					
		0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.36%	0.0%	0.68%	2.34%	1.05%					
31	"14. ""Великая Россия - Евразийский Союз"""	3	0	0	0	0	0	0	0	0	0	1	0	2	0	0					
		0.03%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%	0.0%	0.45%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1					
		0.02%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.22%	0.0%	0.52%					
33	"16. ""Родина"" (народно-патриотический союз)"""	613	73	58	63	66	102	1	19	57	54	38	36	20	13	13					
		6.39%	8.99%	4.78%	4.96%	6.90%	9.07%	1.02%	3.29%	5.74%	10.36%	6.97%	6.13%	4.54%	5.07%	6.84%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	7	0	0	0	0	0	0	0	0	0	2	0	1	1	3					
		0.07%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.36%	0.0%	0.22%	0.39%	1.57%					
35	"18. ""ЛДПР"""	271	28	18	21	45	38	12	20	27	11	6	16	21	3	5					
		2.82%	3.44%	1.48%	1.65%	4.70%	3.38%	12.24%	3.46%	2.71%	2.11%	1.10%	2.72%	4.77%	1.17%	2.63%					
