Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																
Дата голосования: 18.09.2016																																
																																
Наименование Избирательной комиссии:    Газимуро-Заводская																																
																																
Сводная таблица итогов голосования по федеральному избирательному округу																																
																																
		Сумма	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	7082	97	181	81	192	225	921	256	360	394	267	650	585	491	389	152	491	197	135	254	240	524									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	6803	98	180	80	190	200	800	220	320	380	260	640	550	490	400	150	500	196	139	270	240	500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2644	57	59	47	76	126	302	86	150	127	76	241	232	184	114	53	156	87	79	148	83	161									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	307	6	6	0	9	8	25	9	14	39	10	13	25	25	40	11	16	4	4	12	15	16									
6	Число погашенных избирательных бюллетеней	3838	35	115	33	105	66	473	125	156	214	174	386	293	281	246	86	328	105	42	110	142	323									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	321	6	6	0	9	8	25	9	14	39	10	13	25	25	40	11	16	4	18	12	15	16									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2644	57	59	47	76	126	302	86	150	127	76	241	232	184	114	53	156	87	79	148	83	161									
9	Число недействительных избирательных бюллетеней	62	1	1	0	0	0	14	2	1	1	1	11	8	5	1	2	6	1	1	3	0	3									
10	Число действительных избирательных бюллетеней	2903	62	64	47	85	134	313	93	163	165	85	243	249	204	153	62	166	90	96	157	98	174									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	260	4	6	3	7	8	32	8	11	14	9	23	21	18	14	5	18	7	4	20	8	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	64	0	1	0	0	1	7	2	1	0	0	4	2	3	9	0	11	0	2	14	4	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	74	1	0	2	0	5	16	2	33	0	2	5	3	0	0	0	0	0	0	0	1	4									
14	Число погашенных неиспользованных открепительных удостоверений	196	4	5	3	7	7	25	6	10	14	9	19	19	15	5	5	7	7	2	6	4	17									
