Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																								
Дата голосования: 02.12.2007																																																																								
																																																																								
Наименование Избирательной комиссии:    Тляратинская																																																																								
																																																																								
Сводная таблица результатов выборов																																																																								
																																																																								
		Сумма	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372	УИК №1373	УИК №1374	УИК №1375	УИК №1376	УИК №1377	УИК №1378	УИК №1379	УИК №1380	УИК №1381	УИК №1382	УИК №1383	УИК №1384	УИК №1385	УИК №1386	УИК №1387	УИК №1388	УИК №1389	УИК №1390	УИК №1391	УИК №1392	УИК №1393	УИК №1394	УИК №1395	УИК №1396	УИК №1397	УИК №1398	УИК №1399	УИК №1400	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №1420					
1	"Число избирателей, внесенных в списки избирателей"	12451	222	260	72	85	61	89	88	73	165	44	134	202	67	142	415	114	155	202	153	284	174	191	160	113	849	81	247	64	175	391	194	103	157	121	198	132	132	225	68	88	47	123	232	87	110	176	110	96	23	759	412	366	244	277	298	225	583	319	254	46	81	271	156	101	165					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	11938	210	227	72	85	61	80	80	70	150	44	110	190	60	140	400	100	140	170	150	260	160	170	150	110	849	81	242	64	175	380	170	100	150	110	197	132	110	220	60	80	40	120	220	87	100	170	110	96	23	750	400	360	240	270	290	220	583	310	250	40	70	270	150	100	160					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	11139	210	215	67	64	61	71	63	70	141	44	110	190	60	139	330	100	119	166	120	260	134	170	111	80	810	81	242	64	175	355	159	95	116	95	197	132	87	203	60	80	40	110	217	85	95	170	110	96	23	690	365	355	200	240	256	220	550	301	250	40	70	230	145	91	144					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	351	0	12	0	0	0	0	0	0	9	0	0	0	0	0	69	0	6	4	30	0	22	0	0	0	20	0	0	0	0	0	11	5	27	15	0	0	20	17	0	0	0	10	0	0	0	0	0	0	0	11	22	0	20	0	0	0	0	9	0	0	0	10	0	0	2					
6	Число погашенных избирательных бюллетеней	448	0	0	5	21	0	9	17	0	0	0	0	0	0	1	1	0	15	0	0	0	4	0	39	30	19	0	0	0	0	25	0	0	7	0	0	0	3	0	0	0	0	0	3	2	5	0	0	0	0	49	13	5	20	30	34	0	33	0	0	0	0	30	5	9	14					
7	Число избирательных бюллетеней в переносных ящиках для голосования	351	0	12	0	0	0	0	0	0	9	0	0	0	0	0	69	0	6	4	30	0	22	0	0	0	20	0	0	0	0	0	11	5	27	15	0	0	20	17	0	0	0	10	0	0	0	0	0	0	0	11	22	0	20	0	0	0	0	9	0	0	0	10	0	0	2					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	11139	210	215	67	64	61	71	63	70	141	44	110	190	60	139	330	100	119	166	120	260	134	170	111	80	810	81	242	64	175	355	159	95	116	95	197	132	87	203	60	80	40	110	217	85	95	170	110	96	23	690	365	355	200	240	256	220	550	301	250	40	70	230	145	91	144					
9	Число недействительных избирательных бюллетеней	69	0	0	0	0	0	0	0	0	21	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	2	0	3	0	0	0	0	10	1	1	0	3	0	0	0	0	0	1	0	0	0	1	0	4	2	5	0	0	0	2	1	0	5	0	0	0	0	2	1					
10	Число действительных избирательных бюллетеней	11421	210	227	67	64	61	71	63	70	129	44	109	190	60	139	399	100	125	170	150	260	156	170	110	80	828	81	240	64	172	355	170	100	143	100	196	131	107	217	60	80	40	120	217	84	95	170	110	95	23	697	385	350	220	240	256	218	549	310	245	40	70	240	145	89	145					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	230	2	2	2	2	2	2	2	2	3	2	3	2	2	2	5	3	3	4	3	3	3	2	2	2	10	2	5	2	3	5	2	2	2	2	3	2	2	3	2	2	2	2	3	2	2	3	3	2	2	10	7	7	7	7	7	7	7	7	7	2	3	7	5	5	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	230	2	2	2	2	2	2	2	2	3	2	3	2	2	2	5	3	3	4	3	3	3	2	2	2	10	2	5	2	3	5	2	2	2	2	3	2	2	3	2	2	2	2	3	2	2	3	3	2	2	10	7	7	7	7	7	7	7	7	7	2	3	7	5	5	5					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																								
18	1.Политическая партия «Аграрная партия России»	7	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.17%	0.00%	0.00%	0.00%	0.00%	0.53%	0.00%	0.00%	0.00%	0.00%	0.00%	0.59%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
