Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																						
Дата голосования: 04.12.2011																						
																						
Наименование Избирательной комиссии:    Дубенская																						
																						
Сводная таблица результатов выборов																						
																						
		Сумма	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255					
1	"Число избирателей, внесенных в список избирателей"	11167	1989	2465	370	2098	545	502	366	431	446	251	407	222	613	438	24					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11076	1900	2400	362	2100	560	500	360	450	460	250	410	220	630	450	24					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	6791	1137	1854	195	1321	233	291	182	241	295	179	185	93	301	261	23					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1098	89	69	114	243	106	70	56	43	22	13	50	29	125	68	1					
6	Число погашенных избирательных бюллетеней	3187	674	477	53	536	221	139	122	166	143	58	175	98	204	121	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1098	89	69	114	243	106	70	56	43	22	13	50	29	125	68	1					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	6791	1137	1854	195	1321	233	291	182	241	295	179	185	93	301	261	23					
9	Число недействительных избирательных бюллетеней	101	19	6	24	35	4	1	1	0	0	1	2	4	1	1	2					
10	Число действительных избирательных бюллетеней	7788	1207	1917	285	1529	335	360	237	284	317	191	233	118	425	328	22					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	297	39	60	5	55	14	12	9	30	16	6	15	5	15	16	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	211	25	34	2	43	14	2	1	26	16	3	15	1	13	16	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	301	85	141	10	20	6	7	1	3	8	2	6	1	3	6	2					
14	Число погашенных неиспользованных открепительных удостоверений	86	14	26	3	12	0	10	8	4	0	3	0	4	2	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	103	26	59	1	10	0	1	1	1	0	1	2	0	1	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																						
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	680	115	137	29	135	29	26	27	33	30	13	21	13	44	27	1					
		8.62%	9.38%	7.12%	9.39%	8.63%	8.55%	7.20%	11.34%	11.62%	9.46%	6.77%	8.94%	10.66%	10.33%	8.21%	4.17%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	872	124	247	25	143	43	47	27	28	39	14	32	15	43	39	6					
		11.05%	10.11%	12.84%	8.09%	9.14%	12.68%	13.02%	11.34%	9.86%	12.30%	7.29%	13.62%	12.30%	10.09%	11.85%	25.00%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	73	19	15	1	19	3	0	1	3	3	2	2	2	2	1	0					
		0.93%	1.55%	0.78%	0.32%	1.21%	0.88%	0.00%	0.42%	1.06%	0.95%	1.04%	0.85%	1.64%	0.47%	0.30%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1230	261	300	32	248	44	42	51	56	41	16	38	12	51	35	3					
		15.59%	21.29%	15.60%	10.36%	15.86%	12.98%	11.63%	21.43%	19.72%	12.93%	8.33%	16.17%	9.84%	11.97%	10.64%	12.50%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	160	30	41	2	36	3	2	0	7	6	6	12	0	7	7	1					
		2.03%	2.45%	2.13%	0.65%	2.30%	0.88%	0.55%	0.00%	2.46%	1.89%	3.13%	5.11%	0.00%	1.64%	2.13%	4.17%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4748	653	1169	195	945	213	243	130	157	197	140	128	75	275	217	11					
		60.19%	53.26%	60.79%	63.11%	60.42%	62.83%	67.31%	54.62%	55.28%	62.15%	72.92%	54.47%	61.48%	64.55%	65.96%	45.83%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	25	5	8	1	3	0	0	1	0	1	0	0	1	3	2	0					
		0.32%	0.41%	0.42%	0.32%	0.19%	0.00%	0.00%	0.42%	0.00%	0.32%	0.00%	0.00%	0.82%	0.70%	0.61%	0.00%					
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
