Выборы Президента Российской Федерации																																																																			
																																																																			
"Наименование Избирательной комиссии:    Нижний Новгород, Автозаводская Южная"																																																																			
																																																																			
Итоги голосования 																																																																			
																																																																			
		Сумма	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1363	УИК №1365					
1	"Число избирателей, внесенных в список"	128353	2376	2297	1905	1335	2135	2100	2174	2060	2599	2751	261	2121	2307	2282	2193	2501	2125	2172	2414	2300	2734	2167	2421	1979	2383	2569	2465	1958	1862	1634	2138	2516	2212	2329	2221	2288	2257	2355	2184	2484	2601	2175	2289	2248	1927	1990	1613	1656	1865	2194	2206	1976	1762	2142	1820	1683	1766	2407	2276	2193					
2	Число полученных избирательных бюллетеней	128646	2375	2316	2006	1325	2085	2102	2151	2051	2453	2759	387	2076	2344	2278	2193	2524	2178	2135	2409	2298	2730	2161	2451	1965	2374	2583	2463	1964	1873	1627	2188	2512	2219	2329	2217	2289	2299	2371	2220	2500	2602	2163	2297	2243	1968	2010	1649	1702	1872	2136	2200	1922	1775	2172	1821	1688	1775	2401	2267	2203					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	64063	989	1103	781	473	862	986	1070	877	1407	1489	190	1103	1041	1106	1151	1025	1027	1184	1267	1118	1423	1115	1304	904	1040	1456	967	809	892	896	1086	1451	1125	1189	1179	1195	1063	1256	1192	1389	1336	1105	1197	1190	988	1064	814	811	933	1144	1024	1020	782	1047	907	907	873	1324	1311	1106					
5	"Число избирательных бюллетеней, выданных вне помещения"	3137	201	95	230	118	97	35	113	161	144	16	35	13	65	74	19	8	32	19	10	10	11	47	16	39	39	37	40	90	75	26	53	29	35	38	29	40	33	24	27	26	40	40	76	57	31	39	38	54	48	105	58	78	38	17	34	30	26	22	16	41					
6	Число погашенных избирательных бюллетеней	61446	1185	1118	995	734	1126	1081	968	1013	902	1254	162	960	1238	1098	1023	1491	1119	932	1132	1170	1296	999	1131	1022	1295	1090	1456	1065	906	705	1049	1032	1059	1102	1009	1054	1203	1091	1001	1085	1226	1018	1024	996	949	907	797	837	891	887	1118	824	955	1108	880	751	876	1055	940	1056					
7	Число избирательных бюллетеней в переносных ящиках	3137	201	95	230	118	97	35	113	161	144	16	35	13	65	74	19	8	32	19	10	10	11	47	16	39	39	37	40	90	75	26	53	29	35	38	29	40	33	24	27	26	40	40	76	57	31	39	38	54	48	105	58	78	38	17	34	30	26	22	16	41					
8	Число бюллетеней в стационарных ящиках для голосования	64023	989	1103	781	473	862	986	1068	877	1407	1489	189	1103	1041	1106	1151	1025	1027	1164	1267	1115	1423	1115	1304	904	1039	1456	966	809	892	896	1085	1451	1125	1189	1173	1195	1063	1256	1190	1389	1336	1105	1197	1190	988	1064	813	811	933	1144	1024	1020	781	1047	907	906	873	1324	1311	1106					
9	Число недействительных избирательных бюллетеней	421	11	3	7	7	10	5	7	8	8	13	9	1	11	9	11	2	2	11	11	9	4	9	8	7	6	9	14	7	10	2	12	8	13	2	10	3	6	9	9	11	6	3	0	11	8	7	0	0	11	13	2	6	2	3	4	5	4	6	8	8					
10	Число действительных избирательных бюллетеней	66739	1179	1195	1004	584	949	1016	1174	1030	1543	1492	215	1115	1095	1171	1159	1031	1057	1172	1266	1116	1430	1153	1312	936	1072	1484	992	892	957	920	1126	1472	1147	1225	1192	1232	1090	1271	1208	1404	1370	1142	1273	1236	1011	1096	851	865	970	1236	1080	1092	817	1061	937	931	895	1340	1319	1139					
