Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																												
Дата голосования: 18.09.2016																												
																												
Наименование Избирательной комиссии:    Кизлярская городская																												
																												
Сводная таблица итогов голосования по федеральному избирательному округу																												
																												
		Сумма	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	25343	1803	1678	1307	1510	1310	1513	1523	1762	1440	1300	1217	1594	1487	1180	1607	1422	1690									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	24300	1700	1600	1200	1500	1300	1500	1500	1700	1300	1300	1200	1500	1400	1100	1500	1400	1600									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	20444	1617	1499	699	1373	947	1133	900	1392	1028	1224	1069	1481	1205	856	1224	1279	1518									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1670	50	11	250	11	49	250	550	40	40	8	11	16	17	64	223	42	38									
6	Число погашенных избирательных бюллетеней	2186	33	90	251	116	304	117	50	268	232	68	120	3	178	180	53	79	44									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1669	50	11	250	11	49	250	550	40	40	8	11	16	17	63	223	42	38									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	20432	1617	1499	699	1373	947	1133	900	1392	1028	1224	1069	1481	1201	848	1224	1279	1518									
9	Число недействительных избирательных бюллетеней	247	0	0	35	0	33	10	13	35	35	17	17	13	16	23	0	0	0									
10	Число действительных избирательных бюллетеней	21854	1667	1510	914	1384	963	1373	1437	1397	1033	1215	1063	1484	1202	888	1447	1321	1556									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	90	7	6	5	6	5	5	5	5	5	5	5	5	5	5	6	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	7	0	1	0	0	0	0	0	0	0	0	0	0	2	1	1	0	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	19	0	1	0	0	1	0	0	0	3	1	0	2	2	2	1	0	6									
