Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва													
Дата голосования: 02.12.2007													
													
Наименование Избирательной комиссии:    Северо-Эвенская													
													
Сводная таблица результатов выборов													
													
		Сумма	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70					
1	"Число избирателей, внесенных в списки избирателей"	2260	1469	319	95	134	116	127					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	2031	1206	336	116	145	117	111					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	131	52	57	0	5	0	17					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	1573	1019	198	80	109	86	81					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	75	57	8	4	2	3	1					
6	Число погашенных избирательных бюллетеней	252	78	73	32	29	28	12					
7	Число избирательных бюллетеней в переносных ящиках для голосования	206	109	65	4	7	3	18					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	1573	1019	198	80	109	86	81					
9	Число недействительных избирательных бюллетеней	11	9	1	0	1	0	0					
10	Число действительных избирательных бюллетеней	1768	1119	262	84	115	89	99					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	40	20	6	3	5	3	3					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	28	17	6	1	2	0	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	28	18	0	2	3	2	3					
14	Число погашенных неиспользованных открепительных удостоверений	12	3	0	2	3	3	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	10	10	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0					
													
18	1.Политическая партия «Аграрная партия России»	46	32	3	1	3	1	6					
		2.59%	2.84%	1.14%	1.19%	2.59%	1.12%	6.06%					
19	2.Всероссийская политическая партия «Гражданская Сила»	12	11	0	0	1	0	0					
		0.67%	0.98%	0.00%	0.00%	0.86%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	2	2	0	0	0	0	0					
		0.11%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	104	81	17	2	1	0	3					
		5.85%	7.18%	6.46%	2.38%	0.86%	0.00%	3.03%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	2	2	0	0	0	0	0					
		0.11%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	3	2	1	0	0	0	0					
		0.17%	0.18%	0.38%	0.00%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	307	190	57	21	18	18	3					
		17.26%	16.84%	21.67%	25.00%	15.52%	20.22%	3.03%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	70	63	1	2	2	0	2					
		3.93%	5.59%	0.38%	2.38%	1.72%	0.00%	2.02%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	9	6	0	0	1	1	1					
		0.51%	0.53%	0.00%	0.00%	0.86%	1.12%	1.01%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	1201	721	180	58	89	69	84					
		67.51%	63.92%	68.44%	69.05%	76.72%	77.53%	84.85%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	12	9	3	0	0	0	0					
		0.67%	0.80%	1.14%	0.00%	0.00%	0.00%	0.00%					
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
