Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																															
Дата голосования: 07.12.2003 0:00:00																																																															
																																																															
Наименование Избирательной комиссии:    Иркутская городская №1																																																															
																																																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																															
																																																															
		Сумма	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529					
1	"Число избирателей, внесенных в списки"	106601	2326	2247	1648	2049	2177	1346	1949	2528	1529	2395	2004	1371	1605	2359	2067	2158	2259	2295	539	2306	2318	2117	2578	884	1965	2358	2194	2514	2190	1363	1857	1799	1622	1688	1466	2286	1953	2750	2632	2725	2798	2999	2688	2827	2717	383	2215	1090	1581	1649	1272	898	698	1040	877	453					
2	"Число бюллетеней, полученных участковыми комиссиями"	97444	2100	2100	1500	1900	2000	1200	1800	2300	1400	2200	1900	1300	1400	2200	1900	1700	2100	2100	500	2100	2100	1900	2500	800	1800	2200	2000	2300	2000	1300	1700	1600	1400	1600	1400	2100	1800	2500	2400	2500	2594	2600	2500	2600	2500	350	2000	900	1500	1500	1200	850	650	900	800	400					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	42081	907	1196	779	851	918	748	999	1208	843	1203	1113	599	589	1039	957	968	1085	905	198	711	815	814	1237	269	589	844	688	785	897	415	509	744	557	700	537	898	858	954	950	1119	974	1005	1060	1075	1073	119	851	272	483	619	381	311	128	277	293	165					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1611	14	26	42	19	24	30	19	13	13	19	22	16	85	20	43	17	19	6	11	23	18	129	27	12	32	12	19	34	26	22	17	15	37	25	23	24	14	21	25	14	191	176	21	17	12	4	30	18	24	22	8	13	15	14	12	7					
6	Число погашенных бюллетеней	53752	1179	878	679	1030	1058	422	782	1079	544	978	765	685	726	1141	900	715	996	1189	291	1366	1267	957	1236	519	1179	1344	1293	1481	1077	863	1174	841	806	875	840	1178	928	1525	1425	1367	1429	1419	1419	1508	1415	227	1119	610	993	859	811	526	507	609	495	228					
7	Число бюллетеней в переносных ящиках для голосования	1611	14	26	42	19	24	30	19	13	13	19	22	16	85	20	43	17	19	6	11	23	18	129	27	12	32	12	19	34	26	22	17	15	37	25	23	24	14	21	25	14	191	176	21	17	12	4	30	18	24	22	8	13	15	14	12	7					
8	Число бюллетеней в стационарных ящиках для голосования	42038	907	1194	779	851	918	748	998	1208	843	1203	1112	599	589	1039	955	968	1085	899	198	711	814	814	1237	269	589	844	688	785	897	415	509	744	556	699	537	898	857	933	950	1119	973	1003	1059	1074	1072	119	851	272	483	619	381	311	128	277	293	165					
9	Число недействительных бюллетеней	536	9	10	6	7	7	0	7	14	18	6	9	13	11	17	14	12	10	2	7	7	8	14	12	4	7	7	12	14	7	0	5	9	5	6	12	19	8	10	8	16	15	11	35	18	0	3	22	10	9	14	8	9	1	3	8	1					
10	Число действительных бюллетеней	43113	912	1210	815	863	935	778	1010	1207	838	1216	1125	602	663	1042	984	973	1094	903	202	727	824	929	1252	277	614	849	695	805	916	437	521	750	588	718	548	903	863	944	967	1117	1149	1168	1045	1073	1084	120	859	280	498	627	381	315	142	288	297	171					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1010	20	20	15	20	20	15	20	20	15	20	20	15	15	20	20	20	20	20	5	20	20	20	30	10	20	20	20	20	20	15	20	20	15	20	15	25	20	25	25	25	25	25	25	25	20	5	20	10	15	15	10	10	10	10	10	10					
