Выборы Президента Российской Федерации																					
																					
Наименование Избирательной комиссии:    Пеновская																					
																					
Итоги голосования 																					
																					
		Сумма	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828					
1	"Число избирателей, внесенных в список"	6477	213	299	1206	1409	1220	261	133	120	244	396	113	284	289	290					
2	Число полученных избирательных бюллетеней	6470	213	309	1163	1445	1216	262	145	124	250	389	115	285	259	295					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	3381	163	138	602	605	650	133	94	85	136	233	85	157	149	151					
5	"Число избирательных бюллетеней, выданных вне помещения"	866	23	77	100	82	82	53	10	25	72	65	19	86	66	106					
6	Число погашенных избирательных бюллетеней	2223	27	94	461	758	484	76	41	14	42	91	11	42	44	38					
7	Число избирательных бюллетеней в переносных ящиках	866	23	77	100	82	82	53	10	25	72	65	19	86	66	106					
8	Число бюллетеней в стационарных ящиках для голосования	3381	163	138	602	605	650	133	94	85	136	233	85	157	149	151					
9	Число недействительных избирательных бюллетеней	33	2	0	8	8	4	2	2	0	1	3	0	2	1	0					
10	Число действительных избирательных бюллетеней	4214	184	215	694	679	728	184	102	110	207	295	104	241	214	257					
11	Число полученных открепительных  удостоверений	88	5	8	10	10	10	5	5	5	5	5	5	5	5	5					
12	Число выданных открепительных удостоверений	42	1	8	8	5	8	0	1	2	0	1	0	1	2	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	34	4	1	11	3	3	0	0	1	0	1	3	0	5	2					
14	Число неиспользованных открепительных удостоверений	46	4	0	2	5	2	5	4	3	5	4	5	4	3	0					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	2	0	1	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																					
18	. Глазьев Сергей Юрьевич	94	5	2	16	18	18	5	2	0	2	9	0	6	6	5					
		2.21%	2.69%	0.93%	2.28%	2.62%	2.46%	2.69%	1.92%	0.00%	0.96%	3.02%	0.00%	2.47%	2.79%	1.95%					
19	. Малышкин Олег Александрович	70	5	3	12	7	9	5	0	1	7	5	2	5	1	8					
		1.65%	2.69%	1.40%	1.71%	1.02%	1.23%	2.69%	0.00%	0.91%	3.37%	1.68%	1.92%	2.06%	0.47%	3.11%					
20	. Миронов Сергей Михайлович	50	3	1	9	4	8	3	2	3	2	5	1	6	1	2					
		1.18%	1.61%	0.47%	1.28%	0.58%	1.09%	1.61%	1.92%	2.73%	0.96%	1.68%	0.96%	2.47%	0.47%	0.78%					
21	. Путин Владимир Владимирович	2995	104	176	481	506	544	127	69	78	131	174	85	170	171	179					
		70.52%	55.91%	81.86%	68.52%	73.65%	74.32%	68.28%	66.35%	70.91%	62.98%	58.39%	81.73%	69.96%	79.53%	69.65%					
22	. Хакамада Ирина Муцуовна	113	9	4	15	10	28	4	0	4	7	9	0	6	12	5					
		2.66%	4.84%	1.86%	2.14%	1.46%	3.83%	2.15%	0.00%	3.64%	3.37%	3.02%	0.00%	2.47%	5.58%	1.95%					
23	. Харитонов Николай Михайлович	760	55	27	130	107	98	40	26	20	55	78	7	44	22	51					
		17.89%	29.57%	12.56%	18.52%	15.57%	13.39%	21.51%	25.00%	18.18%	26.44%	26.17%	6.73%	18.11%	10.23%	19.84%					
																					
24	Против всех	132	3	2	31	27	23	0	3	4	3	15	9	4	1	7					
		3.11%	1.61%	0.93%	4.42%	3.93%	3.14%	0.00%	2.88%	3.64%	1.44%	5.03%	8.65%	1.65%	0.47%	2.72%					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
