Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																														
Дата голосования: 02.12.2007																																																														
																																																														
Наименование Избирательной комиссии:    Промышленновская																																																														
																																																														
Сводная таблица результатов выборов																																																														
																																																														
		Сумма	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372	УИК №1373	УИК №1374	УИК №1375	УИК №1376	УИК №1377	УИК №1378	УИК №1379	УИК №1380	УИК №1381	УИК №1382	УИК №1383	УИК №1384	УИК №1385	УИК №1386	УИК №1387	УИК №1388	УИК №1389	УИК №1390	УИК №1391	УИК №1392	УИК №1393	УИК №1394	УИК №1395					
1	"Число избирателей, внесенных в списки избирателей"	35650	1756	1688	1727	1774	1643	1561	1690	1781	1061	273	767	478	131	151	174	600	545	549	683	397	82	693	831	454	295	569	362	76	506	91	533	800	491	1284	1280	647	156	956	145	166	603	209	87	312	353	316	335	303	1056	326	69	275	707	394	459					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	34279	1500	1620	1600	1500	1620	1400	1500	1600	1064	281	756	494	140	153	173	595	545	535	705	400	84	690	840	460	290	570	400	88	515	103	520	790	480	1200	1200	650	161	930	141	163	600	211	90	325	355	315	340	300	980	345	76	296	710	410	470					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	28539	1151	1333	1382	1362	1419	1272	1273	1271	900	243	654	416	114	142	157	582	464	425	568	321	82	628	631	343	252	429	331	75	402	76	389	533	431	1009	1037	526	120	724	135	163	501	190	83	270	304	289	296	272	717	321	69	214	637	266	345					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3060	256	146	183	129	97	122	111	183	134	21	81	33	10	5	8	13	64	39	68	45	0	33	109	56	25	62	29	1	33	13	39	103	20	66	31	29	29	97	3	0	42	14	4	31	33	10	26	12	177	5	0	44	21	78	37					
6	Число погашенных избирательных бюллетеней	2678	91	141	35	9	104	6	116	146	30	17	21	45	16	6	8	0	17	71	69	34	2	29	100	61	13	79	40	12	80	14	92	154	29	125	132	95	12	109	3	0	57	7	3	24	18	16	18	16	86	19	7	38	52	66	88					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3060	256	146	183	129	97	122	111	183	134	21	81	33	10	5	8	13	64	39	68	45	0	33	109	56	25	62	29	1	33	13	39	103	20	66	31	29	29	97	3	0	42	14	4	31	33	10	26	12	177	5	0	44	21	78	37					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	28539	1151	1333	1382	1362	1419	1272	1273	1271	900	243	654	416	114	142	157	582	464	425	568	321	82	628	631	343	252	429	331	75	402	76	389	533	431	1009	1037	526	120	724	135	163	501	190	83	270	304	289	296	272	717	321	69	214	637	266	345					
9	Число недействительных избирательных бюллетеней	305	9	13	15	8	0	4	13	0	5	4	3	10	0	5	1	2	5	0	10	0	1	49	0	5	1	11	0	6	2	2	5	0	2	19	3	5	5	16	9	0	2	1	1	0	0	1	3	2	2	2	3	0	36	0	4					
10	Число действительных избирательных бюллетеней	31294	1398	1466	1550	1483	1516	1390	1371	1454	1029	260	732	439	124	142	164	593	523	464	626	366	81	612	740	394	276	480	360	70	433	87	423	636	449	1056	1065	550	144	805	129	163	541	203	86	301	337	298	319	282	892	324	66	258	622	344	378					
