Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																							
Дата голосования: 18.09.2016																																																																							
																																																																							
"Наименование Избирательной комиссии:    Воронеж, Железнодорожная"																																																																							
																																																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																																																							
																																																																							
		Сумма	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	112857	2094	1544	2161	1632	1274	1688	1347	1712	2152	2559	1639	2177	2070	1805	1471	1314	1576	1917	2014	2379	1965	1775	1627	1718	1681	1409	1814	1769	1567	1548	2054	2098	1841	2077	2244	2278	2268	2307	1764	1821	1960	2281	2090	2051	1617	2263	2095	1515	1504	1986	1985	1664	1549	1503	2103	2306	2825	1388	2624	1398									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	81700	1500	1200	1500	1200	1000	1200	1100	1200	1700	2000	1300	1600	1600	1300	1100	1000	1100	1400	1400	1700	1400	1300	1200	1200	1200	1000	1300	1300	1100	1100	1500	1500	1300	1500	1600	1600	1600	1600	1300	1300	1400	1600	1500	1400	1100	1700	1500	1000	1100	1400	1400	1200	1100	1100	1500	1600	2000	1300	1800	1000									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	38060	639	472	645	500	612	613	437	647	1052	1639	855	750	1090	721	531	450	588	610	737	821	820	614	640	558	510	480	626	593	404	482	635	631	609	646	593	651	715	644	519	533	542	617	689	559	564	470	442	514	337	476	556	434	315	341	753	890	1033	919	700	597									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3129	14	16	18	5	9	29	9	10	22	11	36	6	52	0	1	16	8	26	26	7	15	39	8	2	7	14	41	13	8	21	3	15	9	45	23	10	11	33	35	60	33	123	11	49	13	216	281	113	215	206	108	145	221	175	9	78	106	148	135	11									
6	Число погашенных избирательных бюллетеней	40511	847	712	837	695	379	558	654	543	626	350	409	844	458	579	568	534	504	764	637	872	565	647	552	640	683	506	633	694	688	597	862	854	682	809	984	939	874	923	746	707	825	860	800	792	523	1014	777	373	548	718	736	621	564	584	738	632	861	233	965	392									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	3129	14	16	18	5	9	29	9	10	22	11	36	6	52	0	1	16	8	26	26	7	15	39	8	2	7	14	41	13	8	21	3	15	9	45	23	10	11	33	35	60	33	123	11	49	13	216	281	113	215	206	108	145	221	175	9	78	106	148	135	11									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	38048	639	472	644	500	612	613	437	647	1052	1639	853	750	1088	721	531	450	587	610	734	821	820	613	640	558	509	480	626	593	404	482	635	631	609	646	592	651	715	644	519	533	542	617	689	559	564	470	442	514	337	476	556	434	315	341	753	890	1033	919	700	597									
9	Число недействительных избирательных бюллетеней	721	9	6	8	7	10	10	4	18	17	43	26	10	32	6	8	13	15	10	16	13	13	18	11	10	11	11	12	10	6	4	13	10	13	16	12	11	13	6	5	12	5	6	11	13	14	7	7	14	8	7	11	15	10	14	13	6	25	12	12	13									
10	Число действительных избирательных бюллетеней	40456	644	482	654	498	611	632	442	639	1057	1607	863	746	1108	715	524	453	580	626	744	815	822	634	637	550	505	483	655	596	406	499	625	636	605	675	603	650	713	671	549	581	570	734	689	595	563	679	716	613	544	675	653	564	526	502	749	962	1114	1055	823	595									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1396	25	20	25	20	20	15	20	20	20	80	20	35	20	45	55	20	20	25	25	25	20	30	35	35	20	15	20	20	20	15	20	35	30	20	20	26	25	20	20	20	20	15	20	15	15	20	20	15	20	20	20	15	15	15	30	25	25	15	15	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	890	14	10	17	10	8	9	12	18	10	66	6	29	10	33	45	12	10	11	11	25	9	21	27	23	8	11	16	13	17	15	15	12	16	18	13	21	15	13	14	11	6	8	10	6	9	18	12	9	13	8	16	3	2	5	20	13	22	8	13	15									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	999	43	18	11	13	7	11	2	2	9	14	18	13	13	18	17	13	24	7	11	3	15	5	12	18	7	8	9	9	8	7	5	22	34	10	7	6	7	5	2	7	15	19	19	18	5	5	6	11	12	20	23	5	1	2	14	106	22	47	96	83									
14	Число погашенных неиспользованных открепительных удостоверений	506	11	10	8	10	12	6	8	2	10	14	14	6	10	12	10	8	10	14	14	0	11	9	8	12	12	4	4	7	3	0	5	23	14	2	7	5	10	7	6	9	14	7	10	9	6	2	8	6	7	12	4	12	13	10	10	12	3	7	2	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	366	7	6	16	5	2	7	6	5	4	32	0	5	6	14	7	8	12	6	9	8	2	4	3	6	2	4	7	8	7	7	9	3	4	7	6	1	0	8	4	7	12	7	4	3	2	9	6	6	5	4	6	4	2	2	11	5	5	2	5	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	928	17	11	16	15	22	13	8	25	22	40	20	30	15	20	11	12	15	13	20	18	22	18	16	11	17	11	19	9	8	11	14	18	13	10	11	17	14	18	11	12	16	12	26	10	14	13	11	8	6	11	16	17	5	6	22	25	28	8	10	21									
		2.25%	2.60%	2.25%	2.42%	2.97%	3.54%	2.02%	1.79%	3.81%	2.05%	2.42%	2.25%	3.97%	1.32%	2.77%	2.07%	2.58%	2.52%	2.04%	2.63%	2.17%	2.63%	2.76%	2.47%	1.96%	3.29%	2.23%	2.85%	1.49%	1.94%	2.19%	2.19%	2.79%	2.10%	1.45%	1.79%	2.57%	1.93%	2.66%	1.99%	2.02%	2.78%	1.62%	3.71%	1.64%	2.43%	1.90%	1.52%	1.28%	1.09%	1.61%	2.41%	2.94%	0.93%	1.16%	2.89%	2.58%	2.46%	0.75%	1.20%	3.45%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1203	26	10	18	11	15	12	10	31	30	26	12	27	16	25	19	18	19	10	18	30	29	29	26	15	15	21	16	34	12	15	25	27	25	21	20	22	27	17	23	18	21	22	10	22	19	27	10	24	16	24	27	19	8	20	13	18	31	23	11	18									
		2.92%	3.98%	2.05%	2.72%	2.18%	2.42%	1.87%	2.24%	4.72%	2.79%	1.58%	1.35%	3.57%	1.40%	3.47%	3.57%	3.86%	3.19%	1.57%	2.37%	3.62%	3.47%	4.45%	4.01%	2.68%	2.91%	4.25%	2.40%	5.61%	2.91%	2.98%	3.92%	4.18%	4.05%	3.04%	3.25%	3.33%	3.72%	2.51%	4.15%	3.04%	3.65%	2.97%	1.43%	3.62%	3.29%	3.94%	1.38%	3.83%	2.90%	3.52%	4.07%	3.28%	1.49%	3.88%	1.71%	1.86%	2.72%	2.16%	1.32%	2.96%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	704	15	8	12	10	7	16	5	17	8	15	10	12	8	26	4	15	9	10	11	16	18	10	16	14	13	8	11	7	7	11	22	7	10	11	17	13	8	13	10	13	5	13	24	13	16	12	13	13	4	12	14	8	6	6	15	13	15	6	11	12									
		1.71%	2.30%	1.64%	1.81%	1.98%	1.13%	2.49%	1.12%	2.59%	0.74%	0.91%	1.12%	1.59%	0.70%	3.61%	0.75%	3.22%	1.51%	1.57%	1.45%	1.93%	2.16%	1.53%	2.47%	2.50%	2.52%	1.62%	1.65%	1.16%	1.70%	2.19%	3.45%	1.08%	1.62%	1.59%	2.76%	1.97%	1.10%	1.92%	1.81%	2.19%	0.87%	1.76%	3.43%	2.14%	2.77%	1.75%	1.80%	2.07%	0.72%	1.76%	2.11%	1.38%	1.12%	1.16%	1.97%	1.34%	1.32%	0.56%	1.32%	1.97%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	17886	265	243	257	162	283	217	160	242	633	862	496	251	680	268	216	146	167	213	227	296	280	220	230	167	174	198	218	233	172	211	223	254	201	278	205	200	243	242	255	278	260	345	262	251	214	362	418	272	339	373	304	342	356	282	303	476	540	741	407	273									
		43.44%	40.58%	49.80%	38.82%	32.08%	45.57%	33.80%	35.87%	36.83%	58.94%	52.24%	55.79%	33.20%	59.65%	37.17%	40.60%	31.33%	28.07%	33.49%	29.87%	35.75%	33.53%	33.74%	35.49%	29.82%	33.72%	40.08%	32.68%	38.45%	41.75%	41.95%	34.95%	39.32%	32.52%	40.23%	33.33%	30.26%	33.47%	35.75%	46.03%	46.88%	45.22%	46.62%	37.43%	41.28%	37.09%	52.77%	57.81%	43.38%	61.41%	54.69%	45.78%	59.07%	66.42%	54.65%	39.76%	49.17%	47.41%	69.45%	48.74%	44.90%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	387	5	5	12	6	6	8	4	4	5	19	8	12	12	11	8	3	4	7	9	19	10	2	7	4	4	9	8	5	5	2	3	5	6	2	6	10	6	2	5	5	5	5	6	7	8	2	1	5	4	4	2	5	0	5	15	12	6	9	9	4									
		0.94%	0.77%	1.02%	1.81%	1.19%	0.97%	1.25%	0.90%	0.61%	0.47%	1.15%	0.90%	1.59%	1.05%	1.53%	1.50%	0.64%	0.67%	1.10%	1.18%	2.29%	1.20%	0.31%	1.08%	0.71%	0.78%	1.82%	1.20%	0.83%	1.21%	0.40%	0.47%	0.77%	0.97%	0.29%	0.98%	1.51%	0.83%	0.30%	0.90%	0.84%	0.87%	0.68%	0.86%	1.15%	1.39%	0.29%	0.14%	0.80%	0.72%	0.59%	0.30%	0.86%	0.00%	0.97%	1.97%	1.24%	0.53%	0.84%	1.08%	0.66%									
24	"6. Политическая партия ""Гражданская Платформа"""	67	0	3	1	1	1	1	1	1	3	3	2	0	4	1	3	0	0	1	3	5	0	0	0	1	1	0	1	1	0	2	0	1	2	0	0	1	1	0	2	0	0	1	4	1	0	2	1	2	1	0	1	0	0	2	3	1	1	0	0	0									
		0.16%	0.00%	0.61%	0.15%	0.20%	0.16%	0.16%	0.22%	0.15%	0.28%	0.18%	0.22%	0.00%	0.35%	0.14%	0.56%	0.00%	0.00%	0.16%	0.39%	0.60%	0.00%	0.00%	0.00%	0.18%	0.19%	0.00%	0.15%	0.17%	0.00%	0.40%	0.00%	0.15%	0.32%	0.00%	0.00%	0.15%	0.14%	0.00%	0.36%	0.00%	0.00%	0.14%	0.57%	0.16%	0.00%	0.29%	0.14%	0.32%	0.18%	0.00%	0.15%	0.00%	0.00%	0.39%	0.39%	0.10%	0.09%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	5003	77	58	82	46	69	71	53	69	99	229	89	74	88	91	90	55	68	78	100	97	84	59	68	72	64	60	73	84	63	65	97	85	80	81	79	101	111	97	71	88	74	89	105	81	80	82	81	84	58	62	84	58	54	58	94	138	163	111	106	76									
		12.15%	11.79%	11.89%	12.39%	9.11%	11.11%	11.06%	11.88%	10.50%	9.22%	13.88%	10.01%	9.79%	7.72%	12.62%	16.92%	11.80%	11.43%	12.26%	13.16%	11.71%	10.06%	9.05%	10.49%	12.86%	12.40%	12.15%	10.94%	13.86%	15.29%	12.92%	15.20%	13.16%	12.94%	11.72%	12.85%	15.28%	15.29%	14.33%	12.82%	14.84%	12.87%	12.03%	15.00%	13.32%	13.86%	11.95%	11.20%	13.40%	10.51%	9.09%	12.65%	10.02%	10.07%	11.24%	12.34%	14.26%	14.31%	10.40%	12.69%	12.50%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	421	3	8	8	7	4	5	5	9	11	14	13	6	5	10	4	1	9	13	16	13	12	8	5	13	8	6	11	4	2	3	6	3	10	8	4	4	8	4	5	5	11	10	7	4	6	9	5	10	1	5	8	2	1	1	6	11	10	2	8	11									
		1.02%	0.46%	1.64%	1.21%	1.39%	0.64%	0.78%	1.12%	1.37%	1.02%	0.85%	1.46%	0.79%	0.44%	1.39%	0.75%	0.21%	1.51%	2.04%	2.11%	1.57%	1.44%	1.23%	0.77%	2.32%	1.55%	1.21%	1.65%	0.66%	0.49%	0.60%	0.94%	0.46%	1.62%	1.16%	0.65%	0.61%	1.10%	0.59%	0.90%	0.84%	1.91%	1.35%	1.00%	0.66%	1.04%	1.31%	0.69%	1.59%	0.18%	0.73%	1.20%	0.35%	0.19%	0.19%	0.79%	1.14%	0.88%	0.19%	0.96%	1.81%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	518	6	11	16	4	5	11	5	13	10	12	7	13	11	4	8	5	9	5	14	15	14	14	14	5	3	5	14	8	5	12	6	10	12	10	9	10	11	6	8	5	3	4	8	5	7	7	8	13	3	7	7	2	1	7	12	16	15	7	7	14									
		1.26%	0.92%	2.25%	2.42%	0.79%	0.81%	1.71%	1.12%	1.98%	0.93%	0.73%	0.79%	1.72%	0.96%	0.55%	1.50%	1.07%	1.51%	0.79%	1.84%	1.81%	1.68%	2.15%	2.16%	0.89%	0.58%	1.01%	2.10%	1.32%	1.21%	2.39%	0.94%	1.55%	1.94%	1.45%	1.46%	1.51%	1.52%	0.89%	1.44%	0.84%	0.52%	0.54%	1.14%	0.82%	1.21%	1.02%	1.11%	2.07%	0.54%	1.03%	1.05%	0.35%	0.19%	1.36%	1.57%	1.65%	1.32%	0.66%	0.84%	2.30%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	41	0	0	0	1	0	1	1	0	2	1	5	3	2	1	1	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	2	0	1	1	1	0	0	2	0	1	0	0	0	1	0	0	2	0	0	0	1	3	1	2	0	0									
		0.10%	0.00%	0.00%	0.00%	0.20%	0.00%	0.16%	0.22%	0.00%	0.19%	0.06%	0.56%	0.40%	0.18%	0.14%	0.19%	0.00%	0.17%	0.16%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.33%	0.00%	0.14%	0.15%	0.18%	0.00%	0.00%	0.27%	0.00%	0.16%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	0.30%	0.00%	0.00%	0.00%	0.13%	0.31%	0.09%	0.19%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	784	15	5	19	19	17	11	12	16	15	21	15	19	29	15	6	10	16	30	18	21	16	15	13	11	15	16	17	15	4	5	14	7	10	15	8	20	9	13	9	7	13	15	14	7	9	6	7	22	6	10	9	4	5	3	28	11	21	9	7	10									
		1.90%	2.30%	1.02%	2.87%	3.76%	2.74%	1.71%	2.69%	2.44%	1.40%	1.27%	1.69%	2.51%	2.54%	2.08%	1.13%	2.15%	2.69%	4.72%	2.37%	2.54%	1.92%	2.30%	2.01%	1.96%	2.91%	3.24%	2.55%	2.48%	0.97%	0.99%	2.19%	1.08%	1.62%	2.17%	1.30%	3.03%	1.24%	1.92%	1.62%	1.18%	2.26%	2.03%	2.00%	1.15%	1.56%	0.87%	0.97%	3.51%	1.09%	1.47%	1.36%	0.69%	0.93%	0.58%	3.67%	1.14%	1.84%	0.84%	0.84%	1.64%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	9331	152	99	159	175	118	191	129	149	159	260	122	217	165	187	110	136	192	179	229	214	256	182	186	166	141	117	201	153	101	130	163	170	186	189	197	189	200	191	125	119	124	171	164	142	132	127	127	116	93	125	142	93	79	97	173	173	231	89	107	122									
		22.66%	23.28%	20.29%	24.02%	34.65%	19.00%	29.75%	28.92%	22.68%	14.80%	15.76%	13.72%	28.70%	14.47%	25.94%	20.68%	29.18%	32.27%	28.14%	30.13%	25.85%	30.66%	27.91%	28.70%	29.64%	27.33%	23.68%	30.13%	25.25%	24.51%	25.84%	25.55%	26.32%	30.10%	27.35%	32.03%	28.59%	27.55%	28.21%	22.56%	20.07%	21.57%	23.11%	23.43%	23.36%	22.88%	18.51%	17.57%	18.50%	16.85%	18.33%	21.39%	16.06%	14.74%	18.80%	22.70%	17.87%	20.28%	8.34%	12.81%	20.07%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	285	4	1	5	2	6	6	2	4	5	21	7	5	3	9	9	3	7	4	3	1	4	5	4	7	1	1	6	3	1	5	8	8	6	3	3	8	7	5	2	4	4	2	3	4	5	5	4	5	2	5	5	1	1	3	8	5	8	7	6	4									
		0.69%	0.61%	0.20%	0.76%	0.40%	0.97%	0.93%	0.45%	0.61%	0.47%	1.27%	0.79%	0.66%	0.26%	1.25%	1.69%	0.64%	1.18%	0.63%	0.39%	0.12%	0.48%	0.77%	0.62%	1.25%	0.19%	0.20%	0.90%	0.50%	0.24%	0.99%	1.25%	1.24%	0.97%	0.43%	0.49%	1.21%	0.96%	0.74%	0.36%	0.67%	0.70%	0.27%	0.43%	0.66%	0.87%	0.73%	0.55%	0.80%	0.36%	0.73%	0.75%	0.17%	0.19%	0.58%	1.05%	0.52%	0.70%	0.66%	0.72%	0.66%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2898	59	20	49	39	58	69	47	59	55	84	57	77	70	47	35	49	64	62	76	70	77	71	52	64	49	30	60	40	26	27	44	40	44	47	42	55	67	62	22	27	34	43	56	47	53	25	30	38	11	37	32	13	10	12	56	60	44	41	134	30									
		7.04%	9.04%	4.10%	7.40%	7.72%	9.34%	10.75%	10.54%	8.98%	5.12%	5.09%	6.41%	10.19%	6.14%	6.52%	6.58%	10.52%	10.76%	9.75%	10.00%	8.45%	9.22%	10.89%	8.02%	11.43%	9.50%	6.07%	8.99%	6.60%	6.31%	5.37%	6.90%	6.19%	7.12%	6.80%	6.83%	8.32%	9.23%	9.16%	3.97%	4.55%	5.91%	5.81%	8.00%	7.73%	9.19%	3.64%	4.15%	6.06%	1.99%	5.43%	4.82%	2.25%	1.87%	2.33%	7.35%	6.20%	3.86%	3.84%	16.05%	4.93%									
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
