Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																	
Дата голосования: 18.09.2016																																																																																																	
																																																																																																	
"Наименование Избирательной комиссии:    Екатеринбург, Кировская"																																																																																																	
																																																																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																	
																																																																																																	
		Сумма	УИК №549	УИК №882	УИК №1385	УИК №1386	УИК №1387	УИК №1388	УИК №1389	УИК №1390	УИК №1391	УИК №1392	УИК №1393	УИК №1394	УИК №1395	УИК №1396	УИК №1397	УИК №1398	УИК №1399	УИК №1400	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №1420	УИК №1421	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1430	УИК №1431	УИК №1432	УИК №1433	УИК №1434	УИК №1435	УИК №1436	УИК №1437	УИК №1438	УИК №1439	УИК №1440	УИК №1441	УИК №1442	УИК №1443	УИК №1444	УИК №1445	УИК №1446	УИК №1447	УИК №1448	УИК №1449	УИК №1450	УИК №1451	УИК №1452	УИК №1453	УИК №1454	УИК №1455	УИК №1456	УИК №1457	УИК №1458	УИК №1459	УИК №1460	УИК №1461	УИК №1462	УИК №1463	УИК №1464	УИК №1465	УИК №1466	УИК №1467	УИК №1468									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	158396	895	1929	1849	2883	1845	2349	2886	1672	2349	1955	2093	2040	1975	1759	2050	1466	1386	1032	2151	2446	2231	2329	1235	1179	1920	1407	1349	1477	1925	1811	1625	790	1690	1958	1709	1715	1569	1415	2327	2178	2351	1993	2055	1831	1955	1929	1734	1837	2036	1378	1816	2029	2178	1486	1796	2389	1475	1804	1385	1877	1702	1165	963	2097	1866	1995	1724	2121	1802	2062	2030	1825	2053	1721	1874	1952	2084	2313	1868	2181	1999	1694	1736	2116	1382	1888									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	131500	900	1600	1500	1900	1500	1900	2300	1400	1900	1700	1700	1700	1700	1500	1700	1200	1100	1000	1700	2000	1800	1900	1000	1000	1500	1200	1100	1200	1600	1500	1600	800	1400	1600	1400	1400	1300	1200	2100	1800	1800	1700	1700	1400	1600	1600	1500	1500	1700	1300	1500	1700	1800	1200	1500	2000	1200	1500	1100	1600	1400	1000	800	1800	1600	1700	1400	1800	1500	1700	1700	1500	1700	1600	1600	1600	1700	1900	1600	1800	1500	1400	1400	1800	1200	1600									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	65027	843	792	839	1209	790	1122	1046	606	967	881	951	877	823	694	851	638	568	466	902	904	933	1004	560	572	800	614	568	580	758	641	672	260	693	754	694	823	625	574	1334	877	820	849	809	790	788	836	699	720	909	596	685	882	943	611	711	995	652	698	449	675	655	374	374	796	787	820	677	914	746	759	858	694	780	725	678	769	754	979	601	741	819	662	680	828	531	804									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	925	27	2	35	14	9	29	10	11	3	14	15	7	10	13	15	8	7	7	13	8	13	18	4	10	26	12	8	7	11	7	13	0	9	16	3	11	9	7	10	15	65	5	5	2	7	25	12	14	9	5	13	5	4	5	3	10	7	13	9	13	25	29	15	5	11	11	5	8	3	8	7	5	5	11	3	10	8	9	9	6	5	10	5	6	6	3									
6	Число погашенных избирательных бюллетеней	65548	30	806	626	677	701	749	1244	783	930	805	734	816	867	793	834	554	525	527	785	1088	854	878	436	418	674	574	524	613	831	852	915	540	698	830	703	566	666	619	756	908	915	846	886	608	805	739	789	766	782	699	802	813	853	584	786	995	541	789	642	912	720	597	411	999	802	869	718	878	751	933	835	801	915	864	919	821	938	912	990	1053	676	728	715	966	663	793									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	925	27	2	35	14	9	29	10	11	3	14	15	7	10	13	15	8	7	7	13	8	13	18	4	10	26	12	8	7	11	7	13	0	9	16	3	11	9	7	10	15	65	5	5	2	7	25	12	14	9	5	13	5	4	5	3	10	7	13	9	13	25	29	15	5	11	11	5	8	3	8	7	5	5	11	3	10	8	9	9	6	5	10	5	6	6	3									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	64935	843	792	804	1205	781	1118	1045	606	967	881	951	877	823	693	851	638	568	466	902	903	933	1004	560	572	800	613	568	580	758	641	672	260	693	738	694	823	624	574	1334	866	820	849	809	790	788	836	699	719	909	596	685	881	943	611	711	995	652	698	447	674	655	373	374	796	787	820	677	914	746	759	858	694	780	725	677	769	753	979	601	741	819	662	680	828	531	804									
9	Число недействительных избирательных бюллетеней	1661	11	12	16	28	16	27	17	12	9	35	42	28	14	25	36	19	30	11	28	21	29	34	12	9	12	21	12	18	22	21	20	5	20	28	20	15	8	17	37	20	25	10	10	9	18	18	18	9	15	21	17	18	19	14	18	29	18	24	22	27	34	17	17	15	24	15	23	27	17	15	17	12	10	19	18	29	22	22	31	18	18	14	13	13	10	15									
10	Число действительных избирательных бюллетеней	64199	859	782	823	1191	774	1120	1038	605	961	860	924	856	819	681	830	627	545	462	887	890	917	988	552	573	814	604	564	569	747	627	665	255	682	726	677	819	625	564	1307	861	860	844	804	783	777	843	693	724	903	580	681	868	928	602	696	976	641	687	434	660	646	385	372	786	774	816	659	895	732	752	848	687	775	717	662	750	739	966	579	729	806	658	672	821	527	792									
