Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																	
Дата голосования: 18.09.2016																																	
																																	
Наименование Избирательной комиссии:    Касимовская городская																																	
																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																	
																																	
		Сумма	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	27048	1342	1367	1390	1297	1238	1033	1282	721	674	1499	1027	1499	1528	1175	1555	1274	1325	1409	1207	700	1280	1226									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	27350	1325	1350	1350	1250	1225	1000	1250	725	650	1450	1000	1450	1525	1150	1550	1250	1300	1400	1200	1500	1250	1200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	13756	665	579	637	821	759	538	560	446	575	707	471	597	666	702	697	627	637	764	480	665	614	549									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	732	4	9	34	40	52	37	32	26	30	23	16	141	21	11	40	22	27	36	46	35	22	28									
6	Число погашенных избирательных бюллетеней	12862	656	762	679	389	414	425	658	253	45	720	513	712	838	437	813	601	636	600	674	800	614	623									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	732	4	9	34	40	52	37	32	26	30	23	16	141	21	11	40	22	27	36	46	35	22	28									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	13756	665	579	637	821	759	538	560	446	575	707	471	597	666	702	697	627	637	764	480	665	614	549									
9	Число недействительных избирательных бюллетеней	223	8	7	13	8	9	36	3	0	3	14	6	8	11	13	11	11	12	8	7	8	15	12									
10	Число действительных избирательных бюллетеней	14265	661	581	658	853	802	539	589	472	602	716	481	730	676	700	726	638	652	792	519	692	621	565									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	326	14	14	14	14	14	14	14	10	10	14	14	14	14	20	24	14	14	14	14	24	14	14									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	203	11	6	8	5	4	9	5	3	4	12	3	14	13	17	16	14	9	11	9	14	9	7									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	242	26	8	2	9	14	18	10	1	36	15	11	8	10	5	14	11	13	3	7	10	2	9									
14	Число погашенных неиспользованных открепительных удостоверений	123	3	8	6	9	10	5	9	7	6	2	11	0	1	3	8	0	5	3	5	10	5	7									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	87	6	6	1	3	2	1	6	4	1	5	3	4	4	6	8	3	0	7	2	5	4	6									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	187	6	10	8	9	6	8	6	4	2	8	9	19	11	13	7	5	11	13	4	14	8	6									
		1.29%	0.90%	1.70%	1.19%	1.05%	0.74%	1.39%	1.01%	0.85%	0.33%	1.10%	1.85%	2.57%	1.60%	1.82%	0.95%	0.77%	1.66%	1.63%	0.76%	2.00%	1.26%	1.04%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	470	17	17	30	17	25	33	14	6	13	23	12	22	19	18	26	29	24	23	13	25	41	23									
		3.24%	2.54%	2.89%	4.47%	1.97%	3.08%	5.74%	2.36%	1.27%	2.15%	3.15%	2.46%	2.98%	2.77%	2.52%	3.53%	4.47%	3.61%	2.88%	2.47%	3.57%	6.45%	3.99%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	276	19	14	21	14	3	14	8	6	5	15	11	12	18	17	9	11	18	22	10	11	7	11									
		1.91%	2.84%	2.38%	3.13%	1.63%	0.37%	2.43%	1.35%	1.27%	0.83%	2.05%	2.26%	1.63%	2.62%	2.38%	1.22%	1.69%	2.71%	2.75%	1.90%	1.57%	1.10%	1.91%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	8034	369	271	346	572	555	267	336	363	436	389	259	427	358	397	483	301	327	394	252	349	321	262									
