Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																												
Дата голосования: 18.09.2016																																												
																																												
Наименование Избирательной комиссии:    Никольская																																												
																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																												
																																												
		Сумма	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	27591	2016	2384	1954	1877	1708	1516	1985	1838	2047	1560	887	678	140	204	324	247	77	585	281	273	248	259	413	230	311	747	151	455	314	333	436	243	870									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	27757	2029	2392	1958	1890	1721	1521	1992	1835	2069	1517	893	683	137	204	328	246	75	612	260	272	247	255	439	241	312	776	152	457	310	336	463	242	893									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	23094	1869	2205	1782	1752	1537	1330	1702	1740	800	1233	821	601	130	156	283	205	61	550	146	222	179	138	323	215	249	641	124	388	283	283	373	180	593									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1753	47	17	39	33	86	112	182	9	82	72	31	43	5	41	26	27	12	19	109	46	62	107	90	10	47	59	12	26	18	22	55	59	148									
6	Число погашенных избирательных бюллетеней	2910	113	170	137	105	98	79	108	86	1187	212	41	39	2	7	19	14	2	43	5	4	6	10	26	16	16	76	16	43	9	31	35	3	152									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1753	47	17	39	33	86	112	182	9	82	72	31	43	5	41	26	27	12	19	109	46	62	107	90	10	47	59	12	26	18	22	55	59	148									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	23094	1869	2205	1782	1752	1537	1330	1702	1740	800	1233	821	601	130	156	283	205	61	550	146	222	179	138	323	215	249	641	124	388	283	283	373	180	593									
9	Число недействительных избирательных бюллетеней	283	3	0	0	6	17	13	13	134	21	23	16	8	0	0	3	0	0	4	1	0	0	1	1	4	0	3	0	0	0	0	0	0	12									
10	Число действительных избирательных бюллетеней	24564	1913	2222	1821	1779	1606	1429	1871	1615	861	1282	836	636	135	197	306	232	73	565	254	268	241	244	412	221	296	697	136	414	301	305	428	239	729									
