Выборы Президента Российской Федерации																																																																	
																																																																	
Наименование Избирательной комиссии:    Северская																																																																	
																																																																	
Итоги голосования 																																																																	
																																																																	
		Сумма	УИК №4101	УИК №4102	УИК №4103	УИК №4104	УИК №4105	УИК №4106	УИК №4107	УИК №4108	УИК №4109	УИК №4110	УИК №4111	УИК №4112	УИК №4113	УИК №4114	УИК №4115	УИК №4116	УИК №4117	УИК №4118	УИК №4119	УИК №4120	УИК №4121	УИК №4122	УИК №4123	УИК №4124	УИК №4125	УИК №4126	УИК №4127	УИК №4128	УИК №4129	УИК №4130	УИК №4131	УИК №4132	УИК №4133	УИК №4134	УИК №4135	УИК №4136	УИК №4137	УИК №4138	УИК №4139	УИК №4140	УИК №4141	УИК №4142	УИК №4143	УИК №4144	УИК №4145	УИК №4146	УИК №4147	УИК №4148	УИК №4149	УИК №4150	УИК №4151	УИК №4152	УИК №4153	УИК №4154	УИК №4155	УИК №4156	УИК №4157	УИК №4158					
1	"Число избирателей, внесенных в список"	83637	1362	2204	1545	1795	2097	2045	445	2077	1992	2540	389	956	679	2599	2647	1474	1775	2481	2283	421	1570	2298	1433	1850	654	538	554	165	284	1232	259	2178	1687	139	1902	1900	1911	1917	1511	2280	2124	2052	206	1411	1241	2479	2139	601	132	1157	1736	1823	1917	547	1662	1805	285	252					
2	Число полученных избирательных бюллетеней	84515	1270	2170	1520	1785	2130	2030	460	2100	1945	2580	400	1000	680	2670	2690	1495	1845	2500	2310	425	1610	2300	1410	1900	640	560	565	173	290	1305	265	2220	1700	170	1930	1940	1905	1950	1520	2290	2150	2130	205	1420	1280	2520	2172	615	135	1170	1750	1850	1920	560	1680	1770	280	260					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	44773	796	1092	857	868	1342	1123	293	991	978	1480	266	624	498	1212	1246	753	908	1197	1069	198	830	1075	769	988	368	272	306	101	153	867	190	1088	846	89	1119	928	993	1035	811	1202	1044	1098	70	896	686	1608	1198	378	75	462	977	981	1004	249	925	943	196	162					
5	"Число избирательных бюллетеней, выданных вне помещения"	4812	40	109	64	68	14	22	16	150	98	109	30	56	55	158	113	64	151	79	110	62	72	85	203	104	21	73	33	33	43	130	38	180	117	37	59	159	120	91	31	76	110	99	82	96	40	251	158	41	19	266	35	79	32	52	75	29	35	40					
6	Число погашенных избирательных бюллетеней	34930	434	969	599	849	774	885	151	959	869	991	104	320	127	1300	1331	678	786	1224	1131	165	708	1140	438	808	251	215	226	39	94	308	37	952	737	44	752	853	792	824	678	1012	996	933	53	428	554	661	816	196	41	442	738	790	884	259	680	798	49	58					
7	Число избирательных бюллетеней в переносных ящиках	4812	40	109	64	68	14	22	16	150	98	109	30	56	55	158	113	64	151	79	110	62	72	85	203	104	21	73	33	33	43	130	38	180	117	37	59	159	120	91	31	76	110	99	82	96	40	251	158	41	19	266	35	79	32	52	75	29	35	40					
8	Число бюллетеней в стационарных ящиках для голосования	44691	796	1092	793	868	1342	1123	293	991	978	1476	266	624	498	1212	1246	753	908	1185	1069	198	830	1075	769	988	368	272	306	101	153	867	190	1088	846	89	1119	928	992	1035	810	1202	1044	1098	70	896	686	1608	1198	378	75	462	977	981	1004	249	925	943	196	162					
9	Число недействительных избирательных бюллетеней	331	5	8	6	2	10	10	4	8	7	12	0	6	3	4	2	7	4	1	9	2	3	8	9	7	1	1	3	0	4	11	0	8	7	0	7	2	14	7	7	5	4	10	1	5	4	0	20	7	2	5	5	28	7	3	5	8	2	1					
10	Число действительных избирательных бюллетеней	49172	831	1193	851	934	1346	1135	305	1133	1069	1573	296	674	550	1366	1357	810	1055	1263	1170	258	899	1152	963	1085	388	344	336	134	192	986	228	1260	956	126	1171	1085	1098	1119	834	1273	1150	1187	151	987	722	1859	1336	412	92	723	1007	1032	1029	298	995	964	229	201					
11	Число полученных открепительных  удостоверений	990	15	25	20	20	15	15	10	25	25	25	10	15	10	30	25	15	20	25	25	10	15	15	15	25	10	10	10	10	10	50	10	15	20	10	15	10	20	20	20	20	25	10	10	15	15	25	20	20	10	20	20	20	20	10	10	10	10	10					
12	Число выданных открепительных удостоверений	408	1	9	6	7	14	5	0	7	7	20	5	5	0	13	13	1	5	7	8	4	6	11	13	21	10	5	0	5	0	48	2	5	4	2	3	4	18	15	5	12	8	6	0	4	5	5	1	0	0	3	10	9	5	2	5	6	5	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	338	7	9	3	5	8	9	2	2	3	17	13	8	4	1	1	3	6	8	15	5	2	1	14	6	3	1	3	7	4	8	3	8	1	2	2	7	33	6	5	15	7	5	1	2	3	7	4	2	0	13	6	6	7	1	1	0	11	2					
14	Число неиспользованных открепительных удостоверений	582	14	16	14	13	1	10	10	18	18	5	5	10	10	17	12	14	15	18	17	6	9	4	2	4	0	5	10	5	10	2	8	10	16	8	12	6	2	5	15	8	17	4	10	11	10	20	19	20	10	17	10	11	15	8	5	4	5	2					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																	
18	. Глазьев Сергей Юрьевич	1657	31	42	32	41	59	60	10	32	37	55	11	43	13	53	47	24	31	50	37	8	20	56	32	38	4	5	14	3	6	6	2	44	47	1	30	31	36	49	20	37	30	37	3	26	35	45	35	11	0	15	36	41	43	14	30	41	8	10					
		3.35%	3.71%	3.50%	3.73%	4.38%	4.35%	5.24%	3.24%	2.80%	3.44%	3.47%	3.72%	6.32%	2.35%	3.87%	3.46%	2.94%	2.93%	3.96%	3.14%	3.08%	2.22%	4.83%	3.29%	3.48%	1.03%	1.45%	4.13%	2.24%	3.06%	0.60%	0.88%	3.47%	4.88%	0.79%	2.55%	2.85%	3.24%	4.35%	2.38%	2.90%	2.60%	3.09%	1.97%	2.62%	4.82%	2.42%	2.58%	2.63%	0.00%	2.06%	3.56%	3.87%	4.15%	4.65%	3.00%	4.22%	3.46%	4.95%					
19	. Малышкин Олег Александрович	1132	22	29	13	29	19	23	5	26	28	40	13	21	17	36	26	16	26	30	39	16	25	23	13	17	5	3	9	2	7	27	6	21	8	0	25	21	24	22	19	37	29	27	8	22	9	86	21	8	4	13	28	19	11	4	22	17	6	10					
		2.29%	2.63%	2.41%	1.52%	3.10%	1.40%	2.01%	1.62%	2.28%	2.60%	2.52%	4.39%	3.09%	3.07%	2.63%	1.91%	1.96%	2.46%	2.37%	3.31%	6.15%	2.77%	1.98%	1.34%	1.56%	1.29%	0.87%	2.65%	1.49%	3.57%	2.71%	2.63%	1.66%	0.83%	0.00%	2.12%	1.93%	2.16%	1.95%	2.26%	2.90%	2.51%	2.26%	5.26%	2.22%	1.24%	4.63%	1.55%	1.91%	4.26%	1.79%	2.77%	1.79%	1.06%	1.33%	2.20%	1.75%	2.60%	4.95%					
20	. Миронов Сергей Михайлович	237	3	6	2	4	8	8	0	1	4	8	0	2	1	5	6	3	4	6	10	0	3	6	3	10	0	2	1	0	0	6	2	3	2	2	3	6	5	3	4	4	7	4	1	3	1	8	7	2	1	3	14	6	11	4	10	7	1	1					
		0.48%	0.36%	0.50%	0.23%	0.43%	0.59%	0.70%	0.00%	0.09%	0.37%	0.50%	0.00%	0.29%	0.18%	0.36%	0.44%	0.37%	0.38%	0.47%	0.85%	0.00%	0.33%	0.52%	0.31%	0.92%	0.00%	0.58%	0.29%	0.00%	0.00%	0.60%	0.88%	0.24%	0.21%	1.59%	0.25%	0.55%	0.45%	0.27%	0.48%	0.31%	0.61%	0.33%	0.66%	0.30%	0.14%	0.43%	0.52%	0.48%	1.06%	0.41%	1.38%	0.57%	1.06%	1.33%	1.00%	0.72%	0.43%	0.50%					
21	. Путин Владимир Владимирович	34845	589	868	618	650	962	766	245	802	739	1132	229	440	403	914	892	554	759	798	816	178	642	816	742	727	299	259	217	117	146	714	172	925	695	95	848	773	719	773	657	881	836	856	113	729	511	1453	1019	323	64	545	670	655	671	190	702	644	156	137					
		70.39%	70.45%	72.27%	72.11%	69.44%	70.94%	66.90%	79.29%	70.29%	68.68%	71.42%	77.36%	64.71%	72.88%	66.72%	65.64%	67.81%	71.67%	63.13%	69.21%	68.46%	71.18%	70.34%	76.34%	66.58%	76.86%	75.07%	64.01%	87.31%	74.49%	71.61%	75.44%	72.95%	72.17%	75.40%	71.99%	71.11%	64.66%	68.65%	78.12%	68.94%	72.44%	71.51%	74.34%	73.49%	70.39%	78.16%	75.15%	77.09%	68.09%	74.86%	66.21%	61.79%	64.77%	63.12%	70.20%	66.26%	67.53%	67.82%					
22	. Хакамада Ирина Муцуовна	1006	24	21	14	23	28	29	6	24	16	40	2	5	6	29	37	6	12	29	31	5	19	21	7	12	5	5	14	0	1	15	5	20	25	2	35	28	33	22	15	31	21	11	3	20	19	26	21	6	1	23	25	25	25	32	16	28	0	2					
