Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																					
Дата голосования: 18.09.2016																																																																					
																																																																					
"Наименование Избирательной комиссии:    Ижевск, Ленинская"																																																																					
																																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																																					
																																																																					
		Сумма	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	95741	1410	2037	1761	1699	2468	1101	2505	1608	2155	2056	2188	2270	1447	1345	1466	2033	1244	1852	1464	1177	1864	1919	1804	1719	1230	1953	2504	2042	1985	1458	74	2544	2299	2008	1369	1795	2280	2064	60	56	1658	867	306	1828	2147	2358	1812	2884	1701	2144	1134	715	2333	1331	1039	881	1094	1196									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	70558	1000	1500	1300	1200	1800	800	1800	1200	1600	1520	1600	1700	1100	1000	1100	1500	900	1450	1100	900	1400	1400	1300	1300	900	1400	1800	1500	1500	1100	75	1800	1700	1500	1000	1300	1600	1500	60	53	1200	700	300	1300	1600	1700	1300	2100	1200	1600	900	600	1700	1000	800	600	800	900									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	31669	522	583	540	466	760	383	857	493	705	689	744	750	443	424	464	606	404	673	529	363	580	766	488	673	469	663	917	729	614	473	69	596	663	598	343	527	873	655	59	49	603	214	284	617	835	892	611	837	609	746	460	251	743	425	352	259	336	393									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	314	2	9	7	3	12	2	25	2	7	9	7	7	0	6	5	10	24	7	1	1	4	3	2	3	2	2	4	7	0	7	0	2	5	5	4	10	7	4	0	0	5	6	6	2	10	3	4	17	13	4	2	4	7	4	3	0	4	3									
6	Число погашенных избирательных бюллетеней	38575	476	908	753	731	1028	415	918	705	888	822	849	943	657	570	631	884	472	770	570	536	816	631	810	624	429	735	879	764	886	620	6	1202	1032	897	653	763	720	841	1	4	592	480	10	681	755	805	685	1246	578	850	438	345	950	571	445	341	460	504									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	314	2	9	7	3	12	2	25	2	7	9	7	7	0	6	5	10	24	7	1	1	4	3	2	3	2	2	4	7	0	7	0	2	5	5	4	10	7	4	0	0	5	6	6	2	10	3	4	17	13	4	2	4	7	4	3	0	4	3									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	31663	522	583	540	466	760	383	857	493	705	689	744	750	443	424	463	606	404	673	529	363	580	766	488	673	469	663	917	729	614	473	69	596	663	598	343	526	871	655	59	49	603	214	284	617	835	891	611	837	609	746	460	251	743	424	352	259	336	393									
9	Число недействительных избирательных бюллетеней	654	9	7	8	12	17	15	26	7	16	31	23	22	10	13	16	19	8	17	9	7	9	13	13	9	11	12	13	13	13	5	0	13	8	15	4	15	12	10	0	4	9	10	7	6	13	11	11	15	14	27	6	5	11	6	10	2	3	4									
10	Число действительных избирательных бюллетеней	31323	515	585	539	457	755	370	856	488	696	667	728	735	433	417	452	597	420	663	521	357	575	756	477	667	460	653	908	723	601	475	69	585	660	588	343	521	866	649	59	45	599	210	283	613	832	883	604	839	608	723	456	250	739	422	345	257	337	392									
