Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																							
Дата голосования: 18.09.2016																																																							
																																																							
Наименование Избирательной комиссии:    Кулебакская																																																							
																																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																																							
																																																							
		Сумма	УИК №1248	УИК №1249	УИК №1250	УИК №1251	УИК №1252	УИК №1253	УИК №1254	УИК №1255	УИК №1256	УИК №1257	УИК №1258	УИК №1259	УИК №1260	УИК №1261	УИК №1262	УИК №1263	УИК №1264	УИК №1265	УИК №1266	УИК №1267	УИК №1268	УИК №1269	УИК №1270	УИК №1271	УИК №1272	УИК №1273	УИК №1274	УИК №1275	УИК №1276	УИК №1277	УИК №1278	УИК №1279	УИК №1280	УИК №1281	УИК №1282	УИК №1283	УИК №1284	УИК №1285	УИК №1286	УИК №1287	УИК №1288	УИК №1289	УИК №1290	УИК №1291									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	41221	1149	479	1137	1145	964	1042	1275	1323	1179	1109	742	946	1498	820	732	1151	1047	1004	1020	1181	693	1131	742	951	828	762	1599	1458	122	172	832	1168	1495	1252	1321	1325	382	425	725	603	228	177	604	1283									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	39475	1100	450	1100	1100	950	1000	1200	1300	1200	1100	700	900	1400	800	700	1100	1000	1000	1000	1100	650	1100	700	900	800	750	1500	1400	125	150	800	1100	1400	1200	1300	1300	350	350	700	600	200	150	550	1200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	13989	465	148	431	422	411	384	504	521	491	422	220	479	479	269	231	304	285	324	283	336	166	326	222	250	268	238	532	460	41	71	239	299	308	312	404	433	178	196	298	157	73	53	194	862									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2128	31	39	17	26	18	14	31	41	10	22	41	29	151	28	64	41	73	40	50	130	68	87	22	32	35	41	70	172	23	28	24	86	71	48	14	51	56	48	28	91	26	21	79	11									
6	Число погашенных избирательных бюллетеней	23358	604	263	652	652	521	602	665	738	699	656	439	392	770	503	405	755	642	636	667	634	416	687	456	618	497	471	898	768	61	51	537	715	1021	840	882	816	116	106	374	352	101	76	277	327									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2128	31	39	17	26	18	14	31	41	10	22	41	29	151	28	64	41	73	40	50	130	68	87	22	32	35	41	70	172	23	28	24	86	71	48	14	51	56	48	28	91	26	21	79	11									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	13964	465	148	431	420	411	384	504	521	491	422	220	478	477	269	231	304	285	324	283	336	166	326	222	250	268	238	532	460	41	71	239	299	308	312	404	433	178	196	298	157	73	53	194	842									
9	Число недействительных избирательных бюллетеней	326	16	4	14	26	8	15	11	11	15	9	3	4	14	5	6	6	12	8	4	5	1	3	3	7	1	3	11	6	1	0	7	13	11	9	7	6	6	4	4	5	4	2	6	10									
10	Число действительных избирательных бюллетеней	15766	480	183	434	420	421	383	524	551	486	435	258	503	614	292	289	339	346	356	329	461	233	410	241	275	302	276	591	626	63	99	256	372	368	351	411	478	228	240	322	243	95	72	267	843									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	551	10	7	10	10	10	10	15	15	22	17	7	20	15	7	7	10	10	15	10	10	7	10	7	10	7	7	15	25	10	32	10	10	10	10	10	10	20	10	12	7	7	5	7	56									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	424	8	5	2	9	6	9	13	13	20	17	6	18	11	5	7	5	0	12	6	8	4	10	7	8	4	5	10	25	10	32	9	4	2	4	5	8	20	10	8	4	0	0	3	52									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	210	7	6	7	12	4	1	4	5	7	8	4	9	9	8	2	5	6	9	3	9	9	1	3	4	9	7	11	5	2	3	0	4	0	2	1	1	1	3	3	3	0	6	3	4									
14	Число погашенных неиспользованных открепительных удостоверений	127	2	2	8	1	4	1	2	2	2	0	1	2	4	2	0	5	10	3	4	2	3	0	0	2	3	2	5	0	0	0	1	6	8	6	5	2	0	0	4	3	7	5	4	4									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	27	5	0	1	0	1	1	1	0	0	0	0	1	1	0	0	3	1	0	1	3	0	0	0	0	0	1	0	1	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																							
