Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																											
Дата голосования: 04.12.2011																																																											
																																																											
Наименование Избирательной комиссии:    Купинская   																																																											
																																																											
Сводная таблица результатов выборов																																																											
																																																											
		Сумма	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681					
1	"Число избирателей, внесенных в список избирателей"	25168	2085	1287	1140	1399	1854	1682	1272	1698	581	160	117	361	97	50	638	61	153	145	430	161	263	451	110	225	400	473	234	140	613	402	614	433	624	339	116	361	494	57	100	180	106	416	228	89	44	348	93	598	536	460	93	157					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	25779	2150	1350	1160	1400	1860	1690	1270	1720	608	163	119	375	99	56	660	73	170	147	450	161	260	465	113	220	410	500	244	140	625	420	635	435	635	345	121	370	510	58	100	180	109	435	240	90	45	360	100	640	555	480	95	163					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	12848	849	463	472	595	677	780	448	768	318	109	97	221	72	44	254	41	68	64	273	99	203	287	61	205	286	327	147	84	295	242	382	224	419	232	61	200	305	52	75	100	84	235	144	54	33	223	65	367	271	303	70	100					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1657	92	46	68	52	83	68	107	84	28	14	5	43	0	0	106	16	13	16	34	24	0	39	4	0	12	54	6	6	41	31	35	47	38	20	16	43	31	0	6	12	9	33	13	5	1	27	10	111	59	29	6	14					
6	Число погашенных избирательных бюллетеней	11274	1209	841	620	753	1100	842	715	868	262	40	17	111	27	12	300	16	89	67	143	38	57	139	48	15	112	119	91	50	289	147	218	164	178	93	44	127	174	6	19	68	16	167	83	31	11	110	25	162	225	148	19	49					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1657	92	46	68	52	83	68	107	84	28	14	5	43	0	0	106	16	13	16	34	24	0	39	4	0	12	54	6	6	41	31	35	47	38	20	16	43	31	0	6	12	9	33	13	5	1	27	10	111	59	29	6	14					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	12847	849	463	472	595	677	780	448	768	318	109	97	221	72	44	254	41	68	64	273	99	203	287	61	205	286	327	147	84	295	242	382	224	419	232	61	200	305	52	75	100	84	235	143	54	33	223	65	367	271	303	70	100					
9	Число недействительных избирательных бюллетеней	270	24	14	10	9	30	16	12	10	15	2	2	2	2	0	2	0	1	0	3	0	0	0	0	2	0	5	2	2	6	1	7	6	3	1	1	3	5	0	1	3	1	3	3	0	0	3	0	45	8	4	0	1					
10	Число действительных избирательных бюллетеней	14234	917	495	530	638	730	832	543	842	331	121	100	262	70	44	358	57	80	80	304	123	203	326	65	203	298	376	151	88	330	272	410	265	454	251	76	240	331	52	80	109	92	265	153	59	34	247	75	433	322	328	76	113					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	397	10	10	10	11	10	10	3	19	20	3	0	10	0	3	20	10	15	1	10	3	3	5	3	5	3	25	3	3	10	5	14	4	5	10	3	6	10	0	3	0	0	5	12	8	3	10	3	35	10	10	1	2					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	356	10	4	10	11	10	10	3	19	16	3	0	10	0	3	20	10	15	1	10	3	0	1	0	1	3	25	3	0	10	5	13	4	5	10	3	6	10	0	0	0	0	5	12	0	2	10	3	35	10	10	0	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	104	6	3	2	10	4	12	2	6	0	2	0	0	1	1	6	0	2	0	0	0	3	2	1	0	2	3	0	2	0	1	5	0	1	5	2	1	2	0	0	2	0	4	3	0	1	3	1	1	1	1	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	41	0	6	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	3	4	3	4	0	0	0	3	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	8	1	0	0	0	0	0	1	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	42	5	4	1	1	4	4	0	5	3	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	3	0	0	0	2	0	0	0	0	0	1					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																											
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2159	142	83	83	102	125	129	98	127	46	25	1	57	8	3	58	15	12	1	61	11	32	59	6	22	50	103	19	15	63	32	54	37	45	22	13	18	44	3	18	13	15	46	37	5	4	17	10	43	61	44	13	9					
		14.89%	15.09%	16.31%	15.37%	15.77%	16.45%	15.21%	17.66%	14.91%	13.29%	20.33%	0.98%	21.59%	11.11%	6.82%	16.11%	26.32%	14.81%	1.25%	19.87%	8.94%	15.76%	18.10%	9.23%	10.73%	16.78%	27.03%	12.42%	16.67%	18.75%	11.72%	12.95%	13.65%	9.85%	8.73%	16.88%	7.41%	13.10%	5.77%	22.22%	11.61%	16.13%	17.16%	23.72%	8.47%	11.76%	6.80%	13.33%	8.99%	18.48%	13.25%	17.11%	7.89%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	2274	186	73	87	78	117	110	75	114	40	26	18	46	6	6	84	18	17	3	45	32	32	57	6	31	35	40	29	7	56	44	72	71	71	54	8	33	65	5	6	12	13	47	30	3	15	58	9	54	44	48	8	30					
		15.68%	19.77%	14.34%	16.11%	12.06%	15.39%	12.97%	13.51%	13.38%	11.56%	21.14%	17.65%	17.42%	8.33%	13.64%	23.33%	31.58%	20.99%	3.75%	14.66%	26.02%	15.76%	17.48%	9.23%	15.12%	11.74%	10.50%	18.95%	7.78%	16.67%	16.12%	17.27%	26.20%	15.54%	21.43%	10.39%	13.58%	19.35%	9.62%	7.41%	10.71%	13.98%	17.54%	19.23%	5.08%	44.12%	23.20%	12.00%	11.30%	13.33%	14.46%	10.53%	26.32%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	100	7	3	0	5	5	5	4	2	7	0	1	1	0	2	6	0	0	0	0	0	2	1	2	3	1	2	1	0	5	4	6	2	4	1	1	1	1	0	0	2	1	0	3	0	0	0	1	0	6	2	0	0					
