Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																									
Дата голосования: 07.12.2003 0:00:00																																									
																																									
Наименование Избирательной комиссии:    Здвинская																																									
																																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																									
																																									
		Сумма	УИК  190	УИК  191	УИК  192	УИК  193	УИК  194	УИК  195	УИК  196	УИК  197	УИК  198	УИК  199	УИК  200	УИК  201	УИК  202	УИК  203	УИК  204	УИК  205	УИК  206	УИК  207	УИК  208	УИК  209	УИК  210	УИК  211	УИК  212	УИК  213	УИК  214	УИК  215	УИК  216	УИК  217	УИК  218	УИК  219	УИК  220	УИК  221	УИК  222	УИК  223					
1	"Число избирателей, внесенных в списки"	14285	2186	2248	391	61	72	85	745	115	772	72	562	616	161	397	168	733	204	499	131	372	270	111	185	324	43	159	655	122	569	244	142	681	99	91					
2	"Число бюллетеней, полученных участковыми комиссиями"	14577	2170	2432	405	65	73	89	753	113	782	75	557	620	161	393	170	741	208	503	132	375	278	115	196	325	49	167	649	123	576	250	149	689	102	92					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	9259	1158	1308	250	50	66	66	461	98	386	66	333	471	123	282	143	529	175	335	102	270	204	109	142	249	40	136	402	100	377	168	92	418	82	68					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	795	126	115	22	6	0	0	53	0	74	0	35	42	8	49	9	35	0	26	10	43	0	0	6	0	0	0	38	0	14	29	18	35	0	2					
6	Число погашенных бюллетеней	4519	886	1005	133	9	7	23	239	15	322	9	189	107	30	62	18	177	33	142	20	62	74	6	48	76	9	31	209	23	185	53	39	236	20	22					
7	Число бюллетеней в переносных ящиках для голосования	795	126	115	22	6	0	0	53	0	74	0	35	42	8	49	9	35	0	26	10	43	0	0	6	0	0	0	38	0	14	29	18	35	0	2					
8	Число бюллетеней в стационарных ящиках для голосования	9258	1158	1308	250	50	66	66	461	98	386	66	333	471	123	282	143	529	175	335	102	270	204	109	142	249	40	136	402	100	376	168	92	418	82	68					
9	Число недействительных бюллетеней	160	18	14	0	1	0	4	11	2	8	0	6	4	2	7	5	18	5	11	6	0	5	0	1	4	0	2	4	0	10	2	1	9	0	0					
10	Число действительных бюллетеней	9893	1266	1409	272	55	66	62	503	96	452	66	362	509	129	324	147	546	170	350	106	313	199	109	147	245	40	134	436	100	380	195	109	444	82	70					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	193	12	21	6	3	3	3	9	3	9	3	6	8	5	6	3	8	5	8	5	8	5	3	3	6	3	3	9	3	8	3	5	2	3	3					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	59	10	14	0	1	0	0	1	0	4	0	2	1	0	0	1	3	0	0	1	2	1	0	1	3	0	0	2	1	4	0	4	2	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	17	3	5	0	0	0	0	0	0	2	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0					
14	Число погашенных открепительных удостоверений	134	2	7	6	2	3	3	8	3	5	3	4	7	5	6	2	5	5	8	4	6	4	3	2	3	3	3	7	2	4	3	1	0	2	3					
15	Число открепительных удостоверений выданных ТИК	7	2	2	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																									
18	"1. ""ЕДИНЕНИЕ"""	137	12	18	5	0	2	0	6	0	7	1	2	14	1	4	2	6	2	5	3	7	5	0	0	4	1	2	8	0	4	2	3	11	0	0					
		1.36%	0.93%	1.26%	1.83%	0.0%	3.03%	0.0%	1.16%	0.0%	1.52%	1.51%	0.54%	2.72%	0.76%	1.20%	1.31%	1.06%	1.14%	1.38%	2.67%	2.23%	2.45%	0.0%	0.0%	1.60%	2.5%	1.47%	1.81%	0.0%	1.02%	1.01%	2.72%	2.42%	0.0%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	85	13	20	5	1	0	0	2	1	3	1	3	5	0	5	0	4	1	7	0	2	3	0	0	0	0	1	2	0	3	1	0	0	2	0					
		0.84%	1.01%	1.40%	1.83%	1.78%	0.0%	0.0%	0.38%	1.02%	0.65%	1.51%	0.81%	0.97%	0.0%	1.51%	0.0%	0.70%	0.57%	1.93%	0.0%	0.63%	1.47%	0.0%	0.0%	0.0%	0.0%	0.73%	0.45%	0.0%	0.76%	0.50%	0.0%	0.0%	2.43%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	298	25	44	10	2	3	2	21	2	25	1	7	19	1	19	13	14	7	3	5	5	6	2	0	4	2	1	17	0	3	6	7	19	2	1					
		2.96%	1.94%	3.09%	3.67%	3.57%	4.54%	3.03%	4.08%	2.04%	5.43%	1.51%	1.90%	3.70%	0.76%	5.74%	8.55%	2.48%	4.0%	0.83%	4.46%	1.59%	2.94%	1.83%	0.0%	1.60%	5.0%	0.73%	3.86%	0.0%	0.76%	3.04%	6.36%	4.19%	2.43%	1.42%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	74	10	19	3	1	0	0	2	0	4	0	3	1	0	4	2	5	2	2	0	1	1	0	0	0	1	1	2	0	3	1	0	5	0	1					
		0.73%	0.77%	1.33%	1.10%	1.78%	0.0%	0.0%	0.38%	0.0%	0.86%	0.0%	0.81%	0.19%	0.0%	1.20%	1.31%	0.88%	1.14%	0.55%	0.0%	0.31%	0.49%	0.0%	0.0%	0.0%	2.5%	0.73%	0.45%	0.0%	0.76%	0.50%	0.0%	1.10%	0.0%	1.42%					
22	"5. ""За Русь Святую"""	58	14	13	0	2	0	0	0	0	6	0	2	1	3	1	3	3	0	0	0	0	1	0	1	1	0	0	2	1	0	1	1	2	0	0					
		0.57%	1.09%	0.91%	0.0%	3.57%	0.0%	0.0%	0.0%	0.0%	1.30%	0.0%	0.54%	0.19%	2.29%	0.30%	1.97%	0.53%	0.0%	0.0%	0.0%	0.0%	0.49%	0.0%	0.67%	0.40%	0.0%	0.0%	0.45%	1.0%	0.0%	0.50%	0.90%	0.44%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	20	1	1	0	0	0	0	0	1	1	0	3	0	0	2	2	1	1	0	0	0	0	0	1	0	0	0	2	0	1	0	1	2	0	0					
		0.19%	0.07%	0.07%	0.0%	0.0%	0.0%	0.0%	0.0%	1.02%	0.21%	0.0%	0.81%	0.0%	0.0%	0.60%	1.31%	0.17%	0.57%	0.0%	0.0%	0.0%	0.0%	0.0%	0.67%	0.0%	0.0%	0.0%	0.45%	0.0%	0.25%	0.0%	0.90%	0.44%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	46	6	11	0	0	0	0	9	1	2	0	0	2	1	2	0	0	0	1	1	0	0	0	0	1	1	2	0	1	1	3	0	0	1	0					
		0.45%	0.46%	0.77%	0.0%	0.0%	0.0%	0.0%	1.75%	1.02%	0.43%	0.0%	0.0%	0.38%	0.76%	0.60%	0.0%	0.0%	0.0%	0.27%	0.89%	0.0%	0.0%	0.0%	0.0%	0.40%	2.5%	1.47%	0.0%	1.0%	0.25%	1.52%	0.0%	0.0%	1.21%	0.0%					
25	"8. ""Народно-республиканская партия России"""	23	3	5	2	0	0	0	0	0	1	0	2	2	0	0	0	2	0	0	1	0	1	0	0	1	0	1	0	0	0	1	0	1	0	0					
