Выборы Президента Российской Федерации																																																																												
																																																																												
Наименование Избирательной комиссии:    Майкопская городская																																																																												
																																																																												
Итоги голосования 																																																																												
																																																																												
		Сумма	УИК  116	УИК  117	УИК  118	УИК  119	УИК  120	УИК  121	УИК  122	УИК  123	УИК  124	УИК  125	УИК  126	УИК  127	УИК  128	УИК  129	УИК  130	УИК  131	УИК  132	УИК  133	УИК  134	УИК  135	УИК  136	УИК  137	УИК  138	УИК  139	УИК  140	УИК  141	УИК  142	УИК  143	УИК  144	УИК  145	УИК  146	УИК  147	УИК  148	УИК  149	УИК  150	УИК  151	УИК  152	УИК  153	УИК  154	УИК  155	УИК  156	УИК  157	УИК  158	УИК  159	УИК  160	УИК  161	УИК  162	УИК  163	УИК  164	УИК  165	УИК  166	УИК  167	УИК  168	УИК  169	УИК  170	УИК  171	УИК  172	УИК  173	УИК  174	УИК  175	УИК  176	УИК  177	УИК  178	УИК  179	УИК  180	УИК  181	УИК  182	УИК  183	УИК  184					
1	"Число избирателей, внесенных в список"	126167	1927	2683	1623	2026	1726	1797	1720	2561	2617	2053	2409	2178	1561	2604	1698	1613	1826	2179	1639	1747	1900	1966	2409	2597	2077	2547	2700	1556	1491	1603	1450	1730	1487	1768	1536	2591	1813	2231	2083	1298	1834	1797	1716	2365	1727	2541	1653	2733	477	297	2225	2594	2797	2541	2554	1490	1822	2094	473	2209	2615	2674	845	580	1067	266	406	415	340					
2	Число полученных избирательных бюллетеней	125170	1950	2650	1750	2150	2000	1900	1650	2550	2650	1950	2550	2200	1550	2550	1600	1550	1800	2150	1550	1600	1850	1900	2500	2500	2100	2500	2650	1600	1500	1550	1650	1700	1450	1750	1500	2550	1750	2150	2000	1200	1850	1750	1600	2400	1650	2600	1700	2700	470	280	2000	2600	2750	2550	2650	1540	1750	2300	450	2050	2550	2500	800	550	1050	250	420	450	310					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	76029	1224	1272	1111	1169	1264	1064	1060	1963	1723	1454	1471	1697	945	1634	966	1042	1061	1202	989	1127	1165	1142	1395	1513	1261	1439	1278	766	884	765	857	844	818	916	728	1483	1018	1177	1148	744	1079	1022	852	1557	1018	1761	971	1734	378	168	1304	2195	1781	1651	1931	1201	880	1285	315	1133	1213	1332	498	403	602	172	344	318	152					
5	"Число избирательных бюллетеней, выданных вне помещения"	7323	84	448	188	154	52	141	161	89	116	96	119	69	55	80	128	162	128	75	34	73	43	107	31	32	80	53	82	83	53	47	86	102	79	62	198	90	92	98	106	101	66	65	89	89	54	147	66	50	39	2	231	59	47	30	51	221	94	132	88	391	297	398	103	55	48	18	61	97	158					
6	Число погашенных избирательных бюллетеней	41818	642	930	451	827	684	695	429	498	811	400	960	434	550	836	506	346	611	873	527	400	642	651	1074	955	759	1008	1290	751	563	738	707	754	553	772	574	977	640	875	746	355	705	663	659	754	578	692	663	916	53	110	465	346	922	869	668	118	776	883	47	526	1040	770	199	92	400	60	15	35	0					
7	Число избирательных бюллетеней в переносных ящиках	7323	84	448	188	154	52	141	161	89	116	96	119	69	55	80	128	162	128	75	34	73	43	107	31	32	80	53	82	83	53	47	86	102	79	62	198	90	92	98	106	101	66	65	89	89	54	147	66	50	39	2	231	59	47	30	51	221	94	132	88	391	297	398	103	55	48	18	61	97	158					
8	Число бюллетеней в стационарных ящиках для голосования	75871	1224	1272	1111	1169	1260	1064	1060	1963	1723	1454	1471	1697	945	1554	966	1042	1061	1202	989	1126	1165	1142	1364	1513	1261	1437	1278	766	884	763	857	844	818	916	728	1483	1018	1177	1148	744	1079	1022	852	1557	1018	1761	971	1732	378	168	1287	2195	1781	1651	1931	1201	880	1277	315	1133	1206	1332	498	399	602	172	344	318	152					
9	Число недействительных избирательных бюллетеней	643	16	13	13	15	16	11	10	3	15	20	5	22	9	5	7	14	7	7	8	10	4	9	10	2	4	16	4	6	2	4	5	5	3	0	0	13	7	10	19	4	10	0	8	12	12	0	6	10	4	2	10	61	15	12	31	3	10	25	2	7	15	12	3	0	7	2	3	7	1					
10	Число действительных избирательных бюллетеней	82551	1292	1707	1286	1308	1296	1194	1211	2049	1824	1530	1585	1744	991	1629	1087	1190	1182	1270	1015	1189	1204	1240	1385	1543	1337	1474	1356	843	935	806	938	941	894	978	926	1560	1103	1265	1235	841	1135	1087	933	1634	1060	1908	1031	1772	413	168	1508	2193	1813	1669	1951	1419	964	1384	401	1517	1488	1718	598	454	643	188	402	408	309					
11	Число полученных открепительных  удостоверений	845	15	15	10	15	15	15	10	15	15	15	15	15	10	15	10	10	10	15	10	10	10	10	15	15	15	15	15	10	10	10	10	20	10	10	10	15	10	15	15	10	15	10	10	15	10	15	10	15	5	5	14	20	20	20	41	10	10	15	5	15	15	15	5	5	10	5	0	0	0					
12	Число выданных открепительных удостоверений	338	3	3	7	5	5	1	5	11	6	6	10	6	2	5	2	4	1	2	2	10	3	6	8	6	5	6	6	4	3	3	1	3	5	1	1	7	2	2	2	1	11	9	3	6	5	3	5	14	0	0	6	12	17	11	41	0	7	1	0	2	3	1	4	4	2	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	322	4	1	2	2	5	0	6	5	3	1	3	3	3	7	4	4	5	5	1	3	4	2	1	2	2	4	0	5	3	1	4	16	9	1	0	3	0	3	3	0	4	42	6	3	2	2	41	2	0	0	41	2	3	4	7	11	4	1	0	3	1	1	2	3	1	0	0	6	0					
14	Число неиспользованных открепительных удостоверений	507	12	12	3	10	10	14	5	4	9	9	5	9	8	10	8	6	9	13	8	0	7	4	7	9	10	9	9	6	7	7	9	17	5	9	9	8	8	13	13	9	4	1	7	9	5	12	5	1	5	5	8	8	3	9	0	10	3	14	5	13	12	14	1	1	8	5	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	60	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	10	34	0	1	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																												
18	. Глазьев Сергей Юрьевич	4616	59	88	58	66	72	59	59	103	79	104	106	54	69	99	66	62	65	70	69	111	107	84	119	120	80	121	90	48	60	65	56	51	46	64	38	95	53	75	68	43	68	56	75	98	45	91	70	121	15	6	85	137	138	83	78	12	50	45	14	53	41	68	28	40	36	5	14	20	23					
		5.55%	4.51%	5.12%	4.46%	4.99%	5.49%	4.90%	4.83%	5.02%	4.30%	6.71%	6.67%	3.06%	6.90%	6.06%	6.03%	5.15%	5.47%	5.48%	6.74%	9.26%	8.86%	6.73%	8.53%	7.77%	5.97%	8.12%	6.62%	5.65%	6.40%	8.02%	5.94%	5.39%	5.13%	6.54%	4.10%	6.04%	4.77%	5.88%	5.42%	5.09%	5.94%	5.15%	7.97%	5.95%	4.20%	4.77%	6.75%	6.79%	3.60%	3.53%	5.60%	6.08%	7.55%	4.94%	3.94%	0.84%	5.13%	3.19%	3.47%	3.48%	2.73%	3.93%	4.66%	8.81%	5.54%	2.63%	3.46%	4.82%	7.42%					
19	. Малышкин Олег Александрович	1922	26	45	33	28	39	28	26	39	40	33	26	30	16	36	30	24	39	29	26	14	15	19	32	28	32	31	23	19	13	14	18	18	19	13	40	38	26	42	38	15	19	12	21	40	15	60	35	51	7	3	35	102	39	33	64	33	20	41	6	42	42	38	9	13	16	6	8	7	5					
		2.31%	1.99%	2.62%	2.54%	2.12%	2.97%	2.32%	2.13%	1.90%	2.18%	2.13%	1.64%	1.70%	1.60%	2.20%	2.74%	1.99%	3.28%	2.27%	2.54%	1.17%	1.24%	1.52%	2.29%	1.81%	2.39%	2.08%	1.69%	2.24%	1.39%	1.73%	1.91%	1.90%	2.12%	1.33%	4.32%	2.42%	2.34%	3.29%	3.03%	1.78%	1.66%	1.10%	2.23%	2.43%	1.40%	3.14%	3.38%	2.86%	1.68%	1.76%	2.31%	4.53%	2.13%	1.96%	3.23%	2.32%	2.05%	2.91%	1.49%	2.76%	2.79%	2.20%	1.50%	2.86%	2.46%	3.16%	1.98%	1.69%	1.61%					
20	. Миронов Сергей Михайлович	599	10	11	9	6	11	8	6	7	9	13	14	14	6	11	9	7	10	8	4	7	8	6	8	8	6	8	8	4	6	2	7	5	3	1	2	9	3	11	5	4	7	10	1	10	5	25	6	11	13	0	17	68	9	14	22	5	8	8	4	5	8	25	2	1	3	4	6	6	2					
		0.72%	0.76%	0.64%	0.69%	0.45%	0.84%	0.66%	0.49%	0.34%	0.49%	0.84%	0.88%	0.79%	0.60%	0.67%	0.82%	0.58%	0.84%	0.63%	0.39%	0.58%	0.66%	0.48%	0.57%	0.52%	0.45%	0.54%	0.59%	0.47%	0.64%	0.25%	0.74%	0.53%	0.33%	0.10%	0.22%	0.57%	0.27%	0.86%	0.40%	0.47%	0.61%	0.92%	0.11%	0.61%	0.47%	1.31%	0.58%	0.62%	3.12%	0.00%	1.12%	3.02%	0.49%	0.83%	1.11%	0.35%	0.82%	0.57%	0.99%	0.33%	0.53%	1.45%	0.33%	0.22%	0.46%	2.11%	1.48%	1.45%	0.65%					
21	. Путин Владимир Владимирович	53436	877	1140	705	864	794	804	821	1500	1201	999	1004	837	610	984	695	831	757	850	613	724	750	780	898	952	892	888	865	529	533	491	587	618	611	637	595	939	680	796	781	583	675	722	570	1005	662	1259	667	1016	273	122	1026	1378	1121	1159	1378	1272	623	878	327	1098	1076	1166	395	293	403	123	242	294	198					
		64.23%	67.05%	66.28%	54.27%	65.31%	60.52%	66.72%	67.24%	73.10%	65.31%	64.45%	63.14%	47.40%	61.00%	60.22%	63.53%	69.02%	63.67%	66.56%	59.92%	60.38%	62.09%	62.45%	64.37%	61.62%	66.52%	59.60%	63.60%	62.31%	56.88%	60.62%	62.25%	65.33%	68.12%	65.13%	64.25%	59.69%	61.26%	62.43%	62.28%	68.99%	58.95%	66.42%	60.57%	61.06%	61.75%	65.99%	64.32%	57.01%	65.47%	71.76%	67.59%	61.14%	61.32%	68.95%	69.53%	89.45%	63.96%	62.31%	81.14%	72.05%	71.59%	67.40%	65.72%	64.54%	62.00%	64.74%	59.75%	70.84%	63.87%					
22	. Хакамада Ирина Муцуовна	2300	31	41	35	41	49	18	46	52	73	43	75	55	27	65	26	29	23	30	29	47	37	30	34	46	41	48	72	34	31	30	37	27	12	21	24	42	22	37	37	26	38	51	31	34	24	53	22	53	7	5	27	103	37	49	54	14	17	18	1	19	28	27	10	11	15	4	4	9	12					
		2.76%	2.37%	2.38%	2.69%	3.10%	3.73%	1.49%	3.77%	2.53%	3.97%	2.77%	4.72%	3.11%	2.70%	3.98%	2.38%	2.41%	1.93%	2.35%	2.83%	3.92%	3.06%	2.40%	2.44%	2.98%	3.06%	3.22%	5.29%	4.00%	3.31%	3.70%	3.92%	2.85%	1.34%	2.15%	2.59%	2.67%	1.98%	2.90%	2.95%	3.08%	3.32%	4.69%	3.29%	2.07%	2.24%	2.78%	2.12%	2.97%	1.68%	2.94%	1.78%	4.57%	2.02%	2.91%	2.72%	0.98%	1.75%	1.28%	0.25%	1.25%	1.86%	1.56%	1.66%	2.42%	2.31%	2.11%	0.99%	2.17%	3.87%					
23	. Харитонов Николай Михайлович	15439	235	318	382	255	273	224	171	249	312	254	289	342	228	347	214	195	239	220	228	225	243	280	208	307	215	299	239	174	249	164	181	181	166	196	186	270	265	250	257	130	275	170	197	353	263	344	179	428	83	12	268	322	390	216	183	38	188	354	45	265	246	354	129	84	143	38	110	54	48					
		18.56%	17.97%	18.49%	29.41%	19.27%	20.81%	18.59%	14.00%	12.13%	16.97%	16.39%	18.18%	19.37%	22.80%	21.24%	19.56%	16.20%	20.10%	17.23%	22.29%	18.77%	20.12%	22.42%	14.91%	19.87%	16.03%	20.07%	17.57%	20.49%	26.57%	20.25%	19.19%	19.13%	18.51%	20.04%	20.09%	17.16%	23.87%	19.61%	20.49%	15.38%	24.02%	15.64%	20.94%	21.45%	24.53%	18.03%	17.26%	24.02%	19.90%	7.06%	17.65%	14.29%	21.33%	12.85%	9.23%	2.67%	19.30%	25.12%	11.17%	17.39%	16.37%	20.46%	21.46%	18.50%	22.00%	20.00%	27.16%	13.01%	15.48%					
																																																																												
24	Против всех	4239	54	64	64	48	58	53	82	99	110	84	71	412	35	87	47	42	49	63	46	61	44	41	86	82	71	79	59	35	43	40	52	41	37	46	41	167	54	54	49	40	53	66	38	94	46	76	52	92	15	20	50	83	79	115	172	45	58	40	4	35	47	40	25	12	27	8	18	18	21					
		5.10%	4.13%	3.72%	4.93%	3.63%	4.42%	4.40%	6.72%	4.82%	5.98%	5.42%	4.47%	23.33%	3.50%	5.32%	4.30%	3.49%	4.12%	4.93%	4.50%	5.09%	3.64%	3.28%	6.16%	5.31%	5.29%	5.30%	4.34%	4.12%	4.59%	4.94%	5.51%	4.33%	4.12%	4.70%	4.43%	10.62%	4.86%	4.24%	3.91%	4.73%	4.63%	6.07%	4.04%	5.71%	4.29%	3.98%	5.01%	5.16%	3.60%	11.76%	3.29%	3.68%	4.32%	6.84%	8.68%	3.16%	5.95%	2.84%	0.99%	2.30%	3.13%	2.31%	4.16%	2.64%	4.15%	4.21%	4.44%	4.34%	6.77%					
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
