Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва									
Дата голосования: 04.12.2011									
									
Наименование Избирательной комиссии:    Пелымская поселковая									
									
Сводная таблица результатов выборов									
									
		Сумма	УИК №2588	УИК №2589					
1	"Число избирателей, внесенных в список избирателей"	3240	2571	669					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	3100	2400	700					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	1922	1586	336					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	117	80	37					
6	Число погашенных избирательных бюллетеней	1061	734	327					
7	Число избирательных бюллетеней в переносных ящиках для голосования	117	80	37					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	1922	1586	336					
9	Число недействительных избирательных бюллетеней	37	33	4					
10	Число действительных избирательных бюллетеней	2002	1633	369					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	137	107	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	82	71	11					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	20	19	1					
14	Число погашенных неиспользованных открепительных удостоверений	55	36	19					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	13	12	1					
16	Число утраченных открепительных удостоверений	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0					
									
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	345	274	71					
		16.92%	16.45%	19.03%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	413	354	59					
		20.26%	21.25%	15.82%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	17	12	5					
		0.83%	0.72%	1.34%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	275	224	51					
		13.49%	13.45%	13.67%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	22	20	2					
		1.08%	1.20%	0.54%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	902	722	180					
		44.24%	43.34%	48.26%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	28	27	1					
		1.37%	1.62%	0.27%					
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
