Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва									
Дата голосования: 02.12.2007									
									
Наименование Избирательной комиссии:    Пелымская поселковая									
									
Сводная таблица результатов выборов									
									
		Сумма	УИК №2588	УИК №2589					
1	"Число избирателей, внесенных в списки избирателей"	3261	2579	682					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	3200	2550	650					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	2066	1669	397					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	87	49	38					
6	Число погашенных избирательных бюллетеней	1047	832	215					
7	Число избирательных бюллетеней в переносных ящиках для голосования	87	49	38					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	2066	1669	397					
9	Число недействительных избирательных бюллетеней	21	15	6					
10	Число действительных избирательных бюллетеней	2132	1703	429					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	94	76	18					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	94	76	18					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	24	23	1					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	31	29	2					
16	Число утраченных избирательных бюллетеней	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0					
									
18	1.Политическая партия «Аграрная партия России»	17	16	1					
		0.79%	0.93%	0.23%					
19	2.Всероссийская политическая партия «Гражданская Сила»	27	25	2					
		1.25%	1.46%	0.46%					
20	3.Политическая партия «Демократическая партия России»	1	1	0					
		0.05%	0.06%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	104	74	30					
		4.83%	4.31%	6.90%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	1	1	0					
		0.05%	0.06%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	3	2	1					
		0.14%	0.12%	0.23%					
24	7.Политическая партия «Либерально-демократическая партия России»	243	207	36					
		11.29%	12.05%	8.28%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	96	73	23					
		4.46%	4.25%	5.29%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	9	8	1					
		0.42%	0.47%	0.23%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	1624	1292	332					
		75.43%	75.20%	76.32%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	7	4	3					
		0.33%	0.23%	0.69%					
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
