Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																														
Дата голосования: 18.09.2016																																														
																																														
Наименование Избирательной комиссии:    Скопинская																																														
																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																														
																																														
		Сумма	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	22154	184	121	283	1612	1378	516	1212	1249	1539	539	228	220	849	301	505	421	583	385	309	1832	379	447	190	513	638	801	838	686	368	481	998	294	553	205	497									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	22460	190	240	270	1600	1380	530	1230	1400	1550	540	230	230	860	300	510	420	590	380	310	1830	400	440	190	520	640	800	770	680	370	480	1020	300	560	200	500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11499	125	66	92	743	898	312	612	1024	715	313	103	51	291	88	179	81	372	190	133	1244	241	77	79	344	367	185	462	354	116	215	741	169	267	128	122									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	4682	44	55	123	136	157	22	282	225	287	67	62	96	270	145	151	221	107	85	77	185	126	248	45	36	88	295	35	138	110	91	229	75	126	44	199									
6	Число погашенных избирательных бюллетеней	6279	21	119	55	721	325	196	336	151	548	160	65	83	299	67	180	118	111	105	100	401	33	115	66	140	185	320	273	188	144	174	50	56	167	28	179									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	4682	44	55	123	136	157	22	282	225	287	67	62	96	270	145	151	221	107	85	77	185	126	248	45	36	88	295	35	138	110	91	229	75	126	44	199									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	11499	125	66	92	743	898	312	612	1024	715	313	103	51	291	88	179	81	372	190	133	1244	241	77	79	344	367	185	462	354	116	215	741	169	267	128	122									
9	Число недействительных избирательных бюллетеней	164	0	3	0	24	4	0	7	0	27	5	5	0	2	0	4	0	2	2	0	9	1	1	0	6	12	6	6	5	3	7	8	2	10	2	1									
10	Число действительных избирательных бюллетеней	16017	169	118	215	855	1051	334	887	1249	975	375	160	147	559	233	326	302	477	273	210	1420	366	324	124	374	443	474	491	487	223	299	962	242	383	170	320									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	285	5	10	0	10	8	10	10	15	12	5	3	6	7	8	8	5	9	3	3	19	13	3	6	10	5	10	15	5	5	8	18	3	15	8	5									
