Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																											
Дата голосования: 18.09.2016																																																											
																																																											
Наименование Избирательной комиссии:    Караидельская																																																											
																																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																																											
																																																											
		Сумма	УИК №2222	УИК №2223	УИК №2224	УИК №2225	УИК №2226	УИК №2227	УИК №2228	УИК №2229	УИК №2230	УИК №2231	УИК №2232	УИК №2233	УИК №2234	УИК №2235	УИК №2236	УИК №2237	УИК №2238	УИК №2239	УИК №2240	УИК №2241	УИК №2242	УИК №2243	УИК №2244	УИК №2245	УИК №2246	УИК №2247	УИК №2248	УИК №2249	УИК №2250	УИК №2251	УИК №2252	УИК №2253	УИК №2254	УИК №2255	УИК №2256	УИК №2257	УИК №2258	УИК №2259	УИК №2260	УИК №2261	УИК №2262	УИК №2263	УИК №2264	УИК №2265	УИК №2266	УИК №2267	УИК №2268	УИК №3471									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	19601	349	177	288	1059	380	780	118	221	273	1462	2392	692	138	361	208	499	393	356	396	160	292	141	98	1215	450	225	412	439	323	217	98	352	98	207	290	419	356	264	509	164	202	148	271	440	224	328	357	360									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	20244	340	185	299	1050	389	796	124	224	283	1483	2385	764	140	369	218	603	417	368	399	162	307	148	104	1181	451	226	406	467	348	235	110	364	103	212	312	443	374	282	591	167	208	153	284	450	229	331	384	376									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	16297	304	147	255	870	332	590	84	165	218	1259	1853	568	111	273	188	430	334	275	373	121	254	118	93	952	386	195	349	377	297	194	86	254	83	191	261	370	317	232	438	133	186	90	239	379	166	295	298	314									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	889	10	17	10	25	14	75	12	18	30	9	94	26	14	27	6	15	0	40	0	26	0	10	0	57	25	20	8	23	7	5	9	55	10	7	10	14	7	8	15	9	0	40	7	6	36	4	24	5									
6	Число погашенных избирательных бюллетеней	3058	26	21	34	155	43	131	28	41	35	215	438	170	15	69	24	158	83	53	26	15	53	20	11	172	40	11	49	67	44	36	15	55	10	14	41	59	50	42	138	25	22	23	38	65	27	32	62	57									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	889	10	17	10	25	14	75	12	18	30	9	94	26	14	27	6	15	0	40	0	26	0	10	0	57	25	20	8	23	7	5	9	55	10	7	10	14	7	8	15	9	0	40	7	6	36	4	24	5									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	16297	304	147	255	870	332	590	84	165	218	1259	1853	568	111	273	188	430	334	275	373	121	254	118	93	952	386	195	349	377	297	194	86	254	83	191	261	370	317	232	438	133	186	90	239	379	166	295	298	314									
9	Число недействительных избирательных бюллетеней	105	0	0	4	11	0	2	0	2	3	0	1	9	0	2	0	10	0	0	0	1	5	0	0	11	7	6	0	5	4	2	0	0	0	0	1	0	2	0	8	0	0	0	3	0	0	0	6	0									
10	Число действительных избирательных бюллетеней	17081	314	164	261	884	346	663	96	181	245	1268	1946	585	125	298	194	435	334	315	373	146	249	128	93	998	404	209	357	395	300	197	95	309	93	198	270	384	322	240	445	142	186	130	243	385	202	299	316	319									
