Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																									
Дата голосования: 04.12.2011																									
																									
Наименование Избирательной комиссии:    Шимская																									
																									
Сводная таблица результатов выборов																									
																									
		Сумма	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545					
1	"Число избирателей, внесенных в список избирателей"	9125	430	109	164	461	276	384	1862	1324	242	252	1119	241	305	261	1081	174	147	293					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9275	445	105	170	490	280	400	1835	1365	245	260	1150	245	300	265	1120	175	145	280					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	4921	209	75	84	288	136	190	1024	721	125	121	596	123	172	159	525	117	93	163					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	658	23	7	15	36	28	55	38	55	41	32	57	23	31	31	108	18	19	41					
6	Число погашенных избирательных бюллетеней	3696	213	23	71	166	116	155	773	589	79	107	497	99	97	75	487	40	33	76					
7	Число избирательных бюллетеней в переносных ящиках для голосования	658	23	7	15	36	28	55	38	55	41	32	57	23	31	31	108	18	19	41					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4921	209	75	84	288	136	190	1024	721	125	121	596	123	172	159	525	117	93	163					
9	Число недействительных избирательных бюллетеней	115	6	0	3	7	2	3	22	21	0	4	25	0	2	4	9	3	1	3					
10	Число действительных избирательных бюллетеней	5464	226	82	96	317	162	242	1040	755	166	149	628	146	201	186	624	132	111	201					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	227	12	4	5	28	13	16	28	20	8	7	15	9	10	12	30	5	3	2					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	192	5	1	2	27	12	16	26	20	7	4	14	2	5	12	30	5	2	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	109	5	3	2	7	2	4	28	8	3	6	11	6	3	2	10	2	4	3					
14	Число погашенных неиспользованных открепительных удостоверений	35	7	3	3	1	1	0	2	0	1	3	1	7	5	0	0	0	1	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	23	3	0	0	1	0	2	9	6	0	0	1	0	0	1	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																									
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1333	64	20	18	82	39	36	307	223	38	30	119	18	50	57	154	31	17	30					
		23.89%	27.59%	24.39%	18.18%	25.31%	23.78%	14.69%	28.91%	28.74%	22.89%	19.61%	18.22%	12.33%	24.63%	30.00%	24.33%	22.96%	15.18%	14.71%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	704	19	12	16	44	17	32	140	92	14	24	58	23	23	13	110	35	13	19					
		12.62%	8.19%	14.63%	16.16%	13.58%	10.37%	13.06%	13.18%	11.86%	8.43%	15.69%	8.88%	15.75%	11.33%	6.84%	17.38%	25.93%	11.61%	9.31%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	39	1	2	1	2	1	3	8	5	4	0	2	0	3	0	3	1	2	1					
		0.70%	0.43%	2.44%	1.01%	0.62%	0.61%	1.22%	0.75%	0.64%	2.41%	0.00%	0.31%	0.00%	1.48%	0.00%	0.47%	0.74%	1.79%	0.49%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	728	39	12	14	35	23	20	135	106	24	18	82	12	26	26	102	19	10	25					
		13.05%	16.81%	14.63%	14.14%	10.80%	14.02%	8.16%	12.71%	13.66%	14.46%	11.76%	12.56%	8.22%	12.81%	13.68%	16.11%	14.07%	8.93%	12.25%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	85	2	2	0	0	2	2	35	11	3	1	13	4	2	1	4	0	1	2					
		1.52%	0.86%	2.44%	0.00%	0.00%	1.22%	0.82%	3.30%	1.42%	1.81%	0.65%	1.99%	2.74%	0.99%	0.53%	0.63%	0.00%	0.89%	0.98%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2539	101	34	47	153	78	148	407	314	80	74	348	89	94	88	248	45	68	123					
		45.51%	43.53%	41.46%	47.47%	47.22%	47.56%	60.41%	38.32%	40.46%	48.19%	48.37%	53.29%	60.96%	46.31%	46.32%	39.18%	33.33%	60.71%	60.29%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	36	0	0	0	1	2	1	8	4	3	2	6	0	3	1	3	1	0	1					
		0.65%	0.00%	0.00%	0.00%	0.31%	1.22%	0.41%	0.75%	0.52%	1.81%	1.31%	0.92%	0.00%	1.48%	0.53%	0.47%	0.74%	0.00%	0.49%					
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
