Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																
Дата голосования: 18.09.2016																																																																
																																																																
Наименование Избирательной комиссии:    Cемилукская																																																																
																																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																																
																																																																
		Сумма	УИК №3501	УИК №3502	УИК №3503	УИК №3504	УИК №3505	УИК №3506	УИК №3507	УИК №3508	УИК №3509	УИК №3510	УИК №3511	УИК №3512	УИК №3513	УИК №3514	УИК №3515	УИК №3516	УИК №3517	УИК №3518	УИК №3519	УИК №3520	УИК №3521	УИК №3522	УИК №3523	УИК №3524	УИК №3525	УИК №3526	УИК №3527	УИК №3528	УИК №3529	УИК №3530	УИК №3531	УИК №3532	УИК №3533	УИК №3534	УИК №3535	УИК №3536	УИК №3537	УИК №3538	УИК №3539	УИК №3540	УИК №3541	УИК №3542	УИК №3543	УИК №3544	УИК №3545	УИК №3546	УИК №3547	УИК №3548	УИК №3549	УИК №3550	УИК №3551	УИК №3552	УИК №3553									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	51892	1913	1718	730	1825	2064	2133	1921	2207	2147	140	1758	372	313	751	413	270	1115	1738	757	1269	1317	428	1931	366	1146	1525	692	646	410	255	174	114	445	260	608	688	787	435	523	2212	1234	208	305	1611	550	340	361	248	202	1929	2048	2001	339									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	50000	1900	1500	700	1700	2000	2000	1800	2000	2000	150	1500	380	310	750	420	260	1000	2000	750	1260	1320	420	1800	380	1100	1400	690	650	400	250	190	110	440	260	620	700	800	430	510	2000	1200	210	300	1500	550	340	360	250	200	1900	2000	2000	340									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	20799	500	495	229	563	638	760	620	667	751	64	652	251	121	446	205	176	483	770	169	965	850	287	774	127	706	480	489	287	208	164	119	46	275	182	206	400	472	157	251	1062	405	103	210	479	199	116	133	149	73	468	951	348	98									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	5211	123	26	93	69	22	20	27	56	20	76	22	88	71	85	71	40	271	312	268	55	181	79	18	168	214	102	70	246	149	56	33	48	88	45	185	106	140	73	81	132	217	44	37	104	186	107	129	50	50	35	72	91	60									
6	Число погашенных избирательных бюллетеней	23990	1277	979	378	1068	1340	1220	1153	1277	1229	10	826	41	118	219	144	44	246	918	313	240	289	54	1008	85	180	818	131	117	43	30	38	16	77	33	229	194	188	200	178	806	578	63	53	917	165	117	98	51	77	1397	977	1561	182									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	5211	123	26	93	69	22	20	27	56	20	76	22	88	71	85	71	40	271	312	268	55	181	79	18	168	214	102	70	246	149	56	33	48	88	45	185	106	140	73	81	132	217	44	37	104	186	107	129	50	50	35	72	91	60									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	20799	500	495	229	563	638	760	620	667	751	64	652	251	121	446	205	176	483	770	169	965	850	287	774	127	706	480	489	287	208	164	119	46	275	182	206	400	472	157	251	1062	405	103	210	479	199	116	133	149	73	468	951	348	98									
9	Число недействительных избирательных бюллетеней	316	13	7	7	16	15	32	24	16	28	4	8	0	0	8	0	1	0	14	5	6	8	0	7	1	0	10	2	0	2	1	1	0	4	0	0	1	0	3	4	11	2	3	0	7	1	0	1	2	4	10	13	8	6									
10	Число действительных избирательных бюллетеней	25694	610	514	315	616	645	748	623	707	743	136	666	339	192	523	276	215	754	1068	432	1014	1023	366	785	294	920	572	557	533	355	219	151	94	359	227	391	505	612	227	328	1183	620	144	247	576	384	223	261	197	119	493	1010	431	152									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	462	10	20	4	20	23	20	8	20	15	0	10	3	5	10	5	7	8	20	4	6	10	5	20	10	5	15	5	8	3	5	10	1	5	3	5	10	6	6	5	15	10	1	5	15	5	5	7	2	2	8	10	15	7									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	367	7	12	2	15	21	19	8	13	15	0	5	3	0	10	5	7	8	20	4	6	5	1	20	10	3	8	2	2	0	5	10	0	3	0	5	10	6	4	2	15	7	1	1	15	5	5	7	0	0	8	10	10	7									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	218	2	2	2	13	1	7	8	4	2	73	3	4	1	3	0	5	3	6	4	1	4	1	2	2	2	8	4	2	2	4	2	2	5	2	0	0	4	0	2	2	4	1	3	4	0	2	4	0	1	1	3	1	0									
14	Число погашенных неиспользованных открепительных удостоверений	95	3	8	2	5	2	1	0	7	0	0	5	0	5	0	0	0	0	0	0	0	5	4	0	0	2	7	3	6	3	0	0	1	2	3	0	0	0	2	3	0	3	0	4	0	0	0	0	2	2	0	0	5	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	68	7	1	1	3	3	7	9	1	2	0	2	0	0	2	0	0	0	1	1	0	1	0	3	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	4	1	0	2	0	0	0	0	1	0	3	6	3	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	368	10	16	9	13	10	15	12	13	15	2	15	3	0	7	2	3	11	14	3	11	6	7	19	0	5	7	3	9	0	0	0	2	8	0	4	4	4	3	13	22	6	1	3	9	5	5	1	2	0	10	16	7	3									
		1.41%	1.61%	3.07%	2.80%	2.06%	1.52%	1.92%	1.85%	1.80%	1.95%	1.43%	2.23%	0.88%	0.00%	1.32%	0.72%	1.39%	1.46%	1.29%	0.69%	1.08%	0.58%	1.91%	2.40%	0.00%	0.54%	1.20%	0.54%	1.69%	0.00%	0.00%	0.00%	2.13%	2.20%	0.00%	1.02%	0.79%	0.65%	1.30%	3.92%	1.84%	0.96%	0.68%	1.21%	1.54%	1.30%	2.24%	0.38%	1.01%	0.00%	1.99%	1.56%	1.59%	1.90%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	682	18	23	5	15	24	33	23	31	23	5	25	3	2	15	6	12	26	28	9	26	24	9	27	5	11	24	6	8	4	3	1	0	3	4	8	6	12	4	8	20	11	4	4	21	18	12	7	5	2	22	18	13	6									
		2.62%	2.89%	4.41%	1.55%	2.37%	3.64%	4.23%	3.55%	4.29%	2.98%	3.57%	3.71%	0.88%	1.04%	2.82%	2.17%	5.56%	3.45%	2.59%	2.06%	2.55%	2.33%	2.46%	3.41%	1.69%	1.20%	4.12%	1.07%	1.50%	1.12%	1.36%	0.66%	0.00%	0.83%	1.76%	2.05%	1.19%	1.96%	1.74%	2.41%	1.68%	1.77%	2.72%	1.62%	3.60%	4.68%	5.38%	2.67%	2.51%	1.63%	4.37%	1.76%	2.96%	3.80%									
