Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																
Дата голосования: 18.09.2016																																																
																																																
"Наименование Избирательной комиссии:    Ульяновск, Заволжская N2"																																																
																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																
																																																
		Сумма	УИК №3601	УИК №3602	УИК №3603	УИК №3604	УИК №3605	УИК №3606	УИК №3607	УИК №3608	УИК №3609	УИК №3610	УИК №3611	УИК №3612	УИК №3613	УИК №3614	УИК №3615	УИК №3616	УИК №3617	УИК №3618	УИК №3619	УИК №3620	УИК №3621	УИК №3622	УИК №3623	УИК №3624	УИК №3625	УИК №3626	УИК №3627	УИК №3628	УИК №3629	УИК №3630	УИК №3631	УИК №3632	УИК №3633	УИК №3634	УИК №3635	УИК №3636	УИК №3637									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	85298	1545	2368	2292	2043	2096	2115	2001	2382	2285	2103	2321	2543	2006	2014	2137	1667	2276	1860	2295	2222	2136	2653	2789	2510	2377	2267	2872	2750	2821	2783	2694	2231	2589	2119	2437	2109	2590									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	78000	1300	2100	2100	2000	2000	2000	1800	2100	2100	2000	2100	2200	2000	2000	2000	1500	2100	1700	2000	2000	2000	2400	2500	2200	2100	2100	2500	2500	2600	2500	2500	2000	2400	2000	2200	2000	2400									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	37903	703	1036	1044	978	1066	1041	901	1055	916	936	1066	1144	926	925	977	809	919	755	1005	955	938	1093	1264	1141	947	928	1328	1200	1222	1119	1243	1043	1179	1031	1056	901	1113									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	255	1	5	4	5	10	6	5	6	3	8	4	7	4	2	4	0	6	6	45	6	5	5	4	9	5	4	12	7	9	8	10	3	8	7	8	7	7									
6	Число погашенных избирательных бюллетеней	39842	596	1059	1052	1017	924	953	894	1039	1181	1056	1030	1049	1070	1073	1019	691	1175	939	950	1039	1057	1302	1232	1050	1148	1168	1160	1293	1369	1373	1247	954	1213	962	1136	1092	1280									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	255	1	5	4	5	10	6	5	6	3	8	4	7	4	2	4	0	6	6	45	6	5	5	4	9	5	4	12	7	9	8	10	3	8	7	8	7	7									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	37813	700	1035	1044	977	1063	1037	901	1055	914	935	1066	1137	922	925	975	802	902	755	1005	955	935	1089	1264	1133	947	928	1324	1199	1221	1117	1243	1042	1174	1024	1056	901	1111									
9	Число недействительных избирательных бюллетеней	631	10	15	17	15	17	11	15	16	12	20	22	19	14	10	23	21	14	11	26	10	19	10	30	35	15	16	20	12	13	21	32	10	13	16	9	18	24									
10	Число действительных избирательных бюллетеней	37437	691	1025	1031	967	1056	1032	891	1045	905	923	1048	1125	912	917	956	781	894	750	1024	951	921	1084	1238	1107	937	916	1316	1194	1217	1104	1221	1035	1169	1015	1055	890	1094									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1177	20	35	40	35	30	25	35	30	30	30	35	35	30	35	40	30	35	25	30	25	35	30	35	32	30	40	25	25	25	25	35	30	35	40	40	35	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	754	15	24	28	29	26	13	28	15	21	21	26	23	22	18	21	14	16	10	19	19	13	18	30	24	15	17	20	20	10	25	35	18	32	16	12	17	24									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	436	7	14	14	40	24	16	10	15	17	11	6	13	10	13	19	4	7	7	8	6	7	8	21	7	7	5	17	14	8	18	7	5	9	12	7	10	13									
14	Число погашенных неиспользованных открепительных удостоверений	423	5	11	12	6	4	12	7	15	9	9	9	12	8	17	19	16	19	15	11	6	22	12	5	8	15	23	5	5	15	0	0	12	3	24	28	18	6									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	133	1	1	6	8	2	5	2	3	5	4	2	4	2	8	6	0	1	2	7	1	2	6	3	2	0	4	6	0	3	4	2	7	3	2	9	4	6									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	608	18	17	18	9	14	14	12	18	11	11	10	24	18	18	12	24	11	9	12	17	8	17	29	17	26	15	26	23	21	22	15	15	18	22	18	8	11									
		1.60%	2.57%	1.63%	1.72%	0.92%	1.30%	1.34%	1.32%	1.70%	1.20%	1.17%	0.93%	2.10%	1.94%	1.94%	1.23%	2.99%	1.21%	1.18%	1.14%	1.77%	0.85%	1.55%	2.29%	1.49%	2.73%	1.61%	1.95%	1.91%	1.71%	1.96%	1.20%	1.44%	1.52%	2.13%	1.69%	0.88%	0.98%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1172	21	32	44	39	28	33	25	26	19	30	37	21	31	20	46	20	30	24	41	32	30	28	28	34	20	19	40	45	42	31	57	33	48	27	28	34	29									
		3.08%	2.99%	3.08%	4.20%	3.97%	2.61%	3.16%	2.76%	2.45%	2.07%	3.18%	3.46%	1.84%	3.35%	2.16%	4.70%	2.49%	3.30%	3.15%	3.90%	3.33%	3.19%	2.56%	2.21%	2.98%	2.10%	2.04%	2.99%	3.73%	3.41%	2.76%	4.55%	3.16%	4.06%	2.62%	2.63%	3.74%	2.59%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	1008	18	32	33	26	32	26	20	23	19	29	27	31	29	13	32	26	25	22	34	18	27	23	27	29	17	23	31	41	45	31	27	29	33	33	26	26	25									
		2.65%	2.57%	3.08%	3.15%	2.65%	2.98%	2.49%	2.21%	2.17%	2.07%	3.08%	2.52%	2.71%	3.13%	1.40%	3.27%	3.24%	2.75%	2.89%	3.24%	1.87%	2.87%	2.10%	2.13%	2.54%	1.79%	2.47%	2.32%	3.40%	3.66%	2.76%	2.15%	2.78%	2.79%	3.20%	2.44%	2.86%	2.24%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	13725	280	400	360	349	375	392	352	389	342	363	377	370	328	360	329	279	322	281	391	350	327	402	468	388	361	363	449	396	459	402	447	375	396	389	401	307	406									
		36.05%	39.94%	38.46%	34.35%	35.54%	34.95%	37.58%	38.85%	36.66%	37.30%	38.49%	35.23%	32.34%	35.42%	38.83%	33.61%	34.79%	35.46%	36.93%	37.24%	36.42%	34.79%	36.75%	36.91%	33.98%	37.92%	38.95%	33.61%	32.84%	37.32%	35.73%	35.67%	35.89%	33.50%	37.73%	37.69%	33.81%	36.31%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	287	8	7	6	11	5	8	11	11	5	3	10	9	6	11	6	5	4	3	6	4	10	15	10	0	7	8	18	17	5	4	11	4	7	5	9	9	9									
		0.75%	1.14%	0.67%	0.57%	1.12%	0.47%	0.77%	1.21%	1.04%	0.55%	0.32%	0.93%	0.79%	0.65%	1.19%	0.61%	0.62%	0.44%	0.39%	0.57%	0.42%	1.06%	1.37%	0.79%	0.00%	0.74%	0.86%	1.35%	1.41%	0.41%	0.36%	0.88%	0.38%	0.59%	0.48%	0.85%	0.99%	0.81%									
24	"6. Политическая партия ""Гражданская Платформа"""	67	1	1	3	1	4	0	0	3	2	3	1	2	0	2	2	2	2	1	1	1	1	3	0	3	2	2	0	3	2	2	1	3	2	1	3	7	0									
		0.18%	0.14%	0.10%	0.29%	0.10%	0.37%	0.00%	0.00%	0.28%	0.22%	0.32%	0.09%	0.17%	0.00%	0.22%	0.20%	0.25%	0.22%	0.13%	0.10%	0.10%	0.11%	0.27%	0.00%	0.26%	0.21%	0.21%	0.00%	0.25%	0.16%	0.18%	0.08%	0.29%	0.17%	0.10%	0.28%	0.77%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	6996	112	176	176	154	180	166	144	189	189	170	200	240	169	193	187	136	192	146	190	193	166	199	226	214	166	159	257	228	196	223	242	190	209	212	218	174	215									
		18.38%	15.98%	16.92%	16.79%	15.68%	16.78%	15.92%	15.89%	17.81%	20.61%	18.03%	18.69%	20.98%	18.25%	20.82%	19.10%	16.96%	21.15%	19.19%	18.10%	20.08%	17.66%	18.19%	17.82%	18.74%	17.44%	17.06%	19.24%	18.91%	15.93%	19.82%	19.31%	18.18%	17.68%	20.56%	20.49%	19.16%	19.23%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	383	6	7	16	11	18	16	8	8	12	11	6	5	18	8	9	4	18	9	9	8	10	9	18	12	8	10	10	11	14	15	6	9	8	7	9	7	13									
		1.01%	0.86%	0.67%	1.53%	1.12%	1.68%	1.53%	0.88%	0.75%	1.31%	1.17%	0.56%	0.44%	1.94%	0.86%	0.92%	0.50%	1.98%	1.18%	0.86%	0.83%	1.06%	0.82%	1.42%	1.05%	0.84%	1.07%	0.75%	0.91%	1.14%	1.33%	0.48%	0.86%	0.68%	0.68%	0.85%	0.77%	1.16%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	1259	16	40	32	32	37	40	43	25	22	29	40	50	32	31	33	23	21	26	33	30	32	47	39	37	44	37	67	32	38	30	34	34	38	26	35	25	29									
		3.31%	2.28%	3.85%	3.05%	3.26%	3.45%	3.84%	4.75%	2.36%	2.40%	3.08%	3.74%	4.37%	3.46%	3.34%	3.37%	2.87%	2.31%	3.42%	3.14%	3.12%	3.40%	4.30%	3.08%	3.24%	4.62%	3.97%	5.01%	2.65%	3.09%	2.67%	2.71%	3.25%	3.21%	2.52%	3.29%	2.75%	2.59%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	51	0	0	0	2	3	1	1	1	0	1	1	2	1	2	2	3	0	0	1	0	0	1	2	0	2	2	4	0	2	1	0	1	1	1	3	7	3									
		0.13%	0.00%	0.00%	0.00%	0.20%	0.28%	0.10%	0.11%	0.09%	0.00%	0.11%	0.09%	0.17%	0.11%	0.22%	0.20%	0.37%	0.00%	0.00%	0.10%	0.00%	0.00%	0.09%	0.16%	0.00%	0.21%	0.21%	0.30%	0.00%	0.16%	0.09%	0.00%	0.10%	0.08%	0.10%	0.28%	0.77%	0.27%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	648	7	8	17	25	20	12	11	6	10	16	16	24	18	16	16	12	11	7	18	21	24	17	28	24	12	12	24	21	17	13	28	24	23	32	23	14	21									
		1.70%	0.99%	0.77%	1.62%	2.55%	1.86%	1.15%	1.21%	0.57%	1.09%	1.70%	1.50%	2.10%	1.94%	1.73%	1.63%	1.50%	1.21%	0.92%	1.71%	2.19%	2.55%	1.55%	2.21%	2.10%	1.26%	1.29%	1.80%	1.74%	1.38%	1.16%	2.23%	2.30%	1.95%	3.10%	2.16%	1.54%	1.88%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	8354	148	232	252	222	262	249	185	245	212	204	228	259	199	181	222	169	196	157	212	208	179	239	260	257	202	193	289	287	275	275	266	235	282	205	232	203	233									
		21.94%	21.11%	22.31%	24.05%	22.61%	24.42%	23.87%	20.42%	23.09%	23.12%	21.63%	21.31%	22.64%	21.49%	19.53%	22.68%	21.07%	21.59%	20.63%	20.19%	21.64%	19.04%	21.85%	20.50%	22.50%	21.22%	20.71%	21.63%	23.80%	22.36%	24.44%	21.23%	22.49%	23.86%	19.88%	21.80%	22.36%	20.84%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	209	9	5	5	3	7	4	5	5	3	7	5	7	3	6	1	6	3	3	11	7	8	9	6	1	7	14	10	6	7	4	6	3	7	0	4	7	5									
		0.55%	1.28%	0.48%	0.48%	0.31%	0.65%	0.38%	0.55%	0.47%	0.33%	0.74%	0.47%	0.61%	0.32%	0.65%	0.10%	0.75%	0.33%	0.39%	1.05%	0.73%	0.85%	0.82%	0.47%	0.09%	0.74%	1.50%	0.75%	0.50%	0.57%	0.36%	0.48%	0.29%	0.59%	0.00%	0.38%	0.77%	0.45%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2670	47	68	69	83	71	71	74	96	59	46	90	81	60	56	59	72	59	62	65	62	99	75	97	91	63	59	91	84	94	51	81	80	97	55	46	62	95									
		7.01%	6.70%	6.54%	6.58%	8.45%	6.62%	6.81%	8.17%	9.05%	6.43%	4.88%	8.41%	7.08%	6.48%	6.04%	6.03%	8.98%	6.50%	8.15%	6.19%	6.45%	10.53%	6.86%	7.65%	7.97%	6.62%	6.33%	6.81%	6.97%	7.64%	4.53%	6.46%	7.66%	8.21%	5.33%	4.32%	6.83%	8.50%									
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
