Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																				
Дата голосования: 18.09.2016																																																																				
																																																																				
"Наименование Избирательной комиссии:    Калининград, Центральная"																																																																				
																																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																																				
																																																																				
		Сумма	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №8204	УИК №8215	УИК №8217	УИК №8221	УИК №8225									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	112846	2305	1995	1237	2341	2030	2202	2250	2298	2390	2806	2489	2432	1832	2623	2067	2173	2082	934	2530	2238	1731	2318	2260	2326	1213	1985	1618	1922	1663	2474	2216	1438	2115	2050	2067	2011	1266	1949	1470	2258	2213	2698	1917	2612	1937	2033	1275	2198	2717	2563	2802	276	2044	1783	485	426	1263									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	113381	1700	1400	850	1650	1450	1550	1600	1650	1700	1950	1750	1700	1250	1800	1450	1500	1450	700	1750	1500	1250	1650	1650	1650	850	1400	1150	1300	1200	1750	1550	950	1500	1450	1500	1450	850	1400	1000	1600	1550	1900	1400	1850	1400	1550	900	1550	1900	1800	1950	281	8400	8100	7500	7200	6700									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	46897	891	800	522	874	680	792	836	854	874	1004	897	793	560	978	880	901	762	318	807	884	640	963	905	935	520	837	750	809	705	1046	940	635	914	891	709	773	658	736	589	781	667	870	727	1070	627	771	318	939	1185	1083	882	276	2034	1743	476	348	1238									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	959	25	8	23	11	10	14	9	15	9	10	14	36	6	21	6	36	6	2	12	115	12	13	8	20	5	14	12	34	18	10	23	8	6	15	9	10	2	12	89	9	3	5	8	5	9	9	6	20	6	9	2	0	10	40	7	78	25									
6	Число погашенных избирательных бюллетеней	65521	784	592	305	765	760	744	755	781	815	936	839	871	684	801	564	563	682	380	931	501	598	674	737	695	325	549	388	457	477	694	587	307	580	544	782	667	190	652	322	810	880	1025	665	775	764	770	576	591	709	708	1066	5	6356	6317	7015	6774	5437									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	960	25	8	23	11	10	14	9	15	9	10	14	36	6	21	6	36	6	2	12	115	11	13	8	20	5	14	12	34	18	10	23	8	6	15	9	10	2	12	89	9	3	5	8	5	9	9	6	20	6	9	2	0	10	40	9	78	25									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	46776	890	800	521	874	679	790	834	854	865	1002	894	790	554	977	880	901	762	317	807	883	639	956	905	930	519	833	750	808	689	1036	939	633	913	891	709	771	656	725	589	781	666	868	727	1070	626	767	318	933	1179	1081	881	276	2033	1743	476	348	1238									
9	Число недействительных избирательных бюллетеней	1188	15	20	15	29	25	27	20	31	27	20	26	15	23	37	38	21	24	11	23	24	29	28	22	18	18	16	16	18	12	28	31	10	26	23	24	20	21	12	25	28	23	30	24	16	20	24	4	28	29	20	22	12	9	19	1	2	9									
10	Число действительных избирательных бюллетеней	46548	900	788	529	856	664	777	823	838	847	992	882	811	537	961	848	916	744	308	796	974	621	941	891	932	506	831	746	824	695	1018	931	631	893	883	694	761	637	725	653	762	646	843	711	1059	615	752	320	925	1156	1070	861	264	2034	1764	484	424	1254									
