Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																			
Дата голосования: 07.12.2003 0:00:00																																																			
																																																			
Наименование Избирательной комиссии:    Cacовская																																																			
																																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																			
																																																			
		Сумма	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835									
1	Число избирателей, внесенных в списки	16570	611	627	206	138	628	235	129	636	77	110	332	408	415	381	295	251	973	361	542	90	163	699	803	309	157	468	288	135	474	601	524	108	1209	1150	581	232	315	169	524	216									
2	Число бюллетеней, полученных участковыми комиссиями	16980	629	637	213	147	634	239	137	641	82	112	334	407	419	388	294	256	983	351	541	91	162	718	807	314	159	468	294	150	490	607	570	253	1224	1171	584	237	314	176	530	217									
3	Число бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число бюллетеней, выданных избирателям на избирательном участке	7695	268	319	71	41	222	94	46	241	50	56	182	243	268	183	107	138	542	208	302	58	93	335	323	156	65	177	132	80	224	321	178	104	482	407	291	145	162	65	201	115									
5	Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования	1271	7	39	50	42	72	39	36	55	4	18	21	25	27	38	53	15	58	23	0	1	9	6	51	41	35	91	14	21	47	100	105	4	0	27	6	2	21	19	23	26									
6	Число погашенных бюллетеней	8014	354	279	92	64	340	106	55	345	28	38	131	139	124	167	134	103	383	120	239	32	60	377	433	117	59	200	148	49	219	186	287	145	742	737	287	90	131	92	306	76									
7	Число бюллетеней в переносных ящиках для голосования	1271	7	39	50	42	72	39	36	55	4	18	21	25	27	38	53	15	58	23	0	1	9	6	51	41	35	91	14	21	47	100	105	4	0	27	6	2	21	19	23	26									
8	Число бюллетеней в стационарных ящиках для голосования	7695	268	319	71	41	222	94	46	241	50	56	182	243	268	183	107	138	542	208	302	58	93	335	323	156	65	177	132	80	224	321	178	104	482	407	291	145	162	65	201	115									
9	Число недействительных бюллетеней	157	4	0	3	1	8	5	1	0	2	0	3	7	5	2	5	4	11	11	8	0	0	10	10	5	4	1	3	0	0	0	3	7	7	6	4	1	8	2	1	5									
10	Число действительных бюллетеней	8809	271	358	118	82	286	128	81	296	52	74	200	261	290	219	155	149	589	220	294	59	102	331	364	192	96	267	143	101	271	421	280	101	475	428	293	146	175	82	223	136									
11	Число открепительных удостоверений, полученных участковыми комиссиями	380	15	15	5	5	15	5	5	15	5	5	10	10	10	10	5	5	20	10	10	5	5	15	15	10	5	10	5	5	10	10	5	5	25	25	15	5	5	5	10	5									
12	Число открепительных удостоверений, выданных участковыми комиссиями	31	0	4	0	0	0	0	0	0	0	0	0	5	1	1	0	1	0	0	4	0	0	4	0	2	0	1	2	0	2	2	0	0	0	1	1	0	0	0	0	0									
13	Число избирателей, проголосовавших по открепительным удостоверениям	37	1	0	1	0	2	0	0	2	0	1	0	2	3	1	1	1	0	1	1	0	4	0	0	2	0	1	1	0	0	3	0	0	1	0	2	0	1	1	2	2									
14	Число погашенных открепительных удостоверений	349	15	11	5	5	15	5	5	15	5	5	10	5	9	9	5	4	20	10	6	5	5	11	15	8	5	9	3	5	8	8	5	5	25	24	14	5	5	5	10	5									
15	Число открепительных удостоверений выданных ТИК	11	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	2	1	1	0	0	0	0	0									
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																			
18	"1. ""ЕДИНЕНИЕ"""	93	5	6	0	1	1	1	0	5	0	0	1	7	0	3	3	1	4	5	3	0	0	0	2	3	1	3	0	1	1	6	0	1	6	4	2	1	10	0	4	2									
		1.03%	1.81%	1.67%	0.0%	1.20%	0.34%	0.75%	0.0%	1.68%	0.0%	0.0%	0.49%	2.61%	0.0%	1.35%	1.87%	0.65%	0.66%	2.16%	0.99%	0.0%	0.0%	0.0%	0.53%	1.52%	1.0%	1.11%	0.0%	0.99%	0.36%	1.42%	0.0%	0.92%	1.24%	0.92%	0.67%	0.68%	5.46%	0.0%	1.78%	1.41%									
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	117	3	4	9	1	0	0	1	2	1	0	5	3	1	0	9	1	4	10	8	2	0	1	9	1	0	1	8	4	4	1	2	4	4	3	3	2	0	3	0	3									
		1.30%	1.09%	1.11%	7.43%	1.20%	0.0%	0.0%	1.21%	0.67%	1.85%	0.0%	2.46%	1.11%	0.33%	0.0%	5.62%	0.65%	0.66%	4.32%	2.64%	3.38%	0.0%	0.29%	2.40%	0.50%	0.0%	0.37%	5.47%	3.96%	1.47%	0.23%	0.70%	3.70%	0.82%	0.69%	1.01%	1.36%	0.0%	3.57%	0.0%	2.12%									
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1010	42	24	29	6	43	13	11	18	0	17	3	29	34	37	21	30	115	7	13	0	10	75	51	20	9	54	9	9	16	68	24	1	14	18	30	19	44	7	25	15									
		11.26%	15.27%	6.70%	23.96%	7.22%	14.62%	9.77%	13.41%	6.08%	0.0%	22.97%	1.47%	10.82%	11.52%	16.74%	13.12%	19.60%	19.16%	3.03%	4.30%	0.0%	9.80%	21.99%	13.63%	10.15%	9.0%	20.14%	6.16%	8.91%	5.90%	16.15%	8.48%	0.92%	2.90%	4.14%	10.10%	12.92%	24.04%	8.33%	11.16%	10.63%									
