Выборы Президента Российской Федерации																																																																					
																																																																					
Наименование Избирательной комиссии:    Красногвардейская №25																																																																					
																																																																					
Итоги голосования 																																																																					
																																																																					
		Сумма	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826					
1	"Число избирателей, внесенных в список"	138127	2618	2315	2579	2397	2459	2672	2366	2550	2456	2618	2725	2201	2731	2406	1788	2408	2179	2102	1734	2801	2238	2275	2425	2546	2285	2044	1992	2114	2101	2817	2905	2826	2844	2061	2015	1966	2066	2216	2108	2090	2419	2610	2368	2883	1940	2534	1937	2273	2290	2012	2000	1779	2062	2195	1554	1590	1775	2192	1677	769	2334	895					
2	Число полученных избирательных бюллетеней	132400	2500	2200	2450	2300	2350	2600	2200	2500	2350	2500	2600	2100	2600	2300	1700	2350	2300	2050	1600	2700	2200	2200	2350	2500	2200	1900	1800	2000	2050	2700	2400	2750	2750	1900	2000	1900	2000	2100	2100	2000	2350	2500	2300	2800	1900	2500	1900	2200	2200	1950	1900	1700	2000	2100	1500	1550	1700	2200	1600	700	2000	800					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	79525	1537	1349	1482	1427	1397	1554	1280	1494	1309	1548	1536	1298	1601	1419	1114	1388	1317	1250	991	1523	1257	1307	1412	1397	1271	1064	1171	1209	1172	1584	1714	1669	1697	1235	1208	1237	1352	1333	1190	1178	1506	1628	1387	1614	1129	1429	1040	1394	1235	1135	1139	1081	1165	1204	1001	973	992	1081	819	267	1383	452					
5	"Число избирательных бюллетеней, выданных вне помещения"	999	19	22	17	9	12	10	23	16	16	34	19	14	17	25	16	7	10	18	24	12	19	18	10	16	17	13	21	15	13	12	14	13	21	14	27	21	12	9	15	12	8	23	9	12	23	14	5	12	19	16	17	18	7	12	13	8	16	35	27	10	31	12					
6	Число погашенных избирательных бюллетеней	51876	944	829	951	864	941	1036	897	990	1025	918	1045	788	982	856	570	955	973	782	585	1165	924	875	928	1087	912	823	608	776	865	1104	672	1068	1032	651	765	642	636	758	895	810	836	849	904	1174	748	1057	855	794	946	799	744	601	828	884	486	569	692	1084	754	423	586	336					
7	Число избирательных бюллетеней в переносных ящиках	998	19	22	17	9	12	10	23	16	16	34	19	14	17	25	16	7	10	18	23	12	19	18	10	16	17	13	21	15	13	12	14	13	21	14	27	21	12	9	15	12	8	23	9	12	23	14	5	12	19	16	17	18	7	12	13	8	16	35	27	10	31	12					
8	Число бюллетеней в стационарных ящиках для голосования	79443	1534	1349	1465	1427	1397	1553	1280	1493	1309	1548	1525	1294	1601	1418	1111	1386	1317	1248	991	1522	1257	1302	1412	1395	1271	1064	1171	1209	1172	1584	1714	1669	1696	1233	1208	1233	1352	1328	1186	1178	1506	1628	1387	1614	1129	1426	1040	1394	1233	1135	1138	1079	1162	1204	1001	973	992	1081	819	267	1381	452					
9	Число недействительных избирательных бюллетеней	384	12	6	14	7	9	4	14	9	3	3	10	4	4	9	2	6	6	6	3	10	5	9	12	4	14	0	8	5	8	12	12	15	8	6	5	6	7	9	4	3	2	2	5	4	4	5	4	13	6	1	2	1	5	8	0	7	3	10	3	0	2	4					
10	Число действительных избирательных бюллетеней	80057	1541	1365	1468	1429	1400	1559	1289	1500	1322	1579	1534	1304	1614	1434	1125	1387	1321	1260	1011	1524	1271	1311	1410	1407	1274	1077	1184	1219	1177	1584	1716	1667	1709	1241	1230	1248	1357	1328	1197	1187	1512	1649	1391	1622	1148	1435	1041	1393	1246	1150	1153	1096	1164	1208	1014	974	1005	1106	843	277	1410	460					
