Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																		
Дата голосования: 04.12.2011																																																		
																																																		
Наименование Избирательной комиссии:    Тихорецкая районная																																																		
																																																		
Сводная таблица результатов выборов																																																		
																																																		
		Сумма	УИК №5101	УИК №5102	УИК №5103	УИК №5104	УИК №5105	УИК №5106	УИК №5107	УИК №5108	УИК №5109	УИК №5110	УИК №5111	УИК №5112	УИК №5113	УИК №5114	УИК №5115	УИК №5116	УИК №5117	УИК №5118	УИК №5119	УИК №5120	УИК №5121	УИК №5122	УИК №5123	УИК №5124	УИК №5125	УИК №5126	УИК №5127	УИК №5128	УИК №5129	УИК №5130	УИК №5131	УИК №5132	УИК №5133	УИК №5134	УИК №5135	УИК №5136	УИК №5137	УИК №5138	УИК №5139	УИК №5140	УИК №5141	УИК №5142	УИК №5143					
1	"Число избирателей, внесенных в список избирателей"	43814	1298	1282	831	1070	1102	1504	1291	1242	1242	1242	1230	1039	411	1357	1168	1305	1094	1269	1196	957	1579	1415	1020	412	1114	477	278	214	1036	1138	1105	1118	1649	386	1273	1753	2040	191	885	257	176	146	1022					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	45331	1363	1370	823	1095	1080	1586	1330	1250	1248	1259	1230	1070	423	1410	1250	1366	1150	1310	1220	970	1600	1500	1067	400	1130	500	289	217	1075	1218	1177	1172	1708	379	1350	1829	2180	189	900	256	177	145	1070					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	31820	848	876	484	661	803	937	987	867	840	960	773	833	300	1041	813	857	622	659	1016	833	1335	1211	559	337	940	453	210	138	646	888	901	721	1230	326	868	1403	1576	143	680	159	139	134	813					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	4724	173	140	150	194	80	88	124	150	185	134	214	42	32	172	199	168	200	165	149	6	87	84	244	35	78	0	50	34	179	87	90	173	130	0	240	81	65	25	80	77	23	8	89					
6	Число погашенных избирательных бюллетеней	8787	342	354	189	240	197	561	219	233	223	165	243	195	91	197	238	341	328	486	55	131	178	205	264	28	112	47	29	45	250	243	186	278	348	53	242	345	539	21	140	20	15	3	168					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4724	173	140	150	194	80	88	124	150	185	134	214	42	32	172	199	168	200	165	149	6	87	84	244	35	78	0	50	34	179	87	90	173	130	0	240	81	65	25	80	77	23	8	89					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	31820	848	876	484	661	803	937	987	867	840	960	773	833	300	1041	813	857	622	659	1016	833	1335	1211	559	337	940	453	210	138	646	888	901	721	1230	326	868	1403	1576	143	680	159	139	134	813					
9	Число недействительных избирательных бюллетеней	243	16	1	0	16	15	9	8	9	5	8	10	1	0	4	14	0	3	8	17	0	0	6	5	0	13	0	2	2	4	0	19	14	0	0	0	8	5	1	13	0	0	0	7					
10	Число действительных избирательных бюллетеней	36301	1005	1015	634	839	868	1016	1103	1008	1020	1086	977	874	332	1209	998	1025	819	816	1148	839	1422	1289	798	372	1005	453	258	170	821	975	972	880	1360	326	1108	1476	1636	167	747	236	162	142	895					
