Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																														
Дата голосования: 18.09.2016																																																														
																																																														
Наименование Избирательной комиссии:    Павловская																																																														
																																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																																														
																																																														
		Сумма	УИК №1442	УИК №1444	УИК №1446	УИК №1447	УИК №1448	УИК №1449	УИК №1450	УИК №1452	УИК №1454	УИК №1455	УИК №1457	УИК №1458	УИК №1459	УИК №1460	УИК №1462	УИК №1463	УИК №1464	УИК №1465	УИК №1466	УИК №1467	УИК №1471	УИК №1472	УИК №1473	УИК №1474	УИК №1475	УИК №1476	УИК №1477	УИК №1479	УИК №1480	УИК №1482	УИК №1483	УИК №1484	УИК №1485	УИК №1486	УИК №1487	УИК №1489	УИК №1490	УИК №1491	УИК №1492	УИК №1494	УИК №1495	УИК №1496	УИК №1498	УИК №1499	УИК №1500	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	80232	2849	2919	2223	2333	2229	2603	2787	2728	2409	2688	2594	2089	2526	2280	2297	2041	2087	2205	2512	2646	1466	1296	1382	1356	1118	1747	1235	1612	214	265	220	2657	1425	1541	699	620	1204	430	532	170	223	1241	1059	241	662	1548	1359	531	1308	1268	558									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	69350	2400	2600	2000	1950	2000	2200	2400	2300	2100	2400	2300	1800	2200	2000	2000	1800	1800	1900	2200	2200	1200	1100	1200	1200	950	1500	1100	1400	150	250	200	2300	1200	1300	600	500	1000	350	450	150	150	1100	950	200	600	1350	1200	450	1150	1100	450									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	30642	1157	1395	991	934	913	997	1173	1111	1004	919	1065	851	1266	913	820	952	836	892	990	1052	460	444	436	404	401	693	364	781	66	89	79	898	356	544	92	52	452	150	190	61	62	404	519	64	246	472	439	194	536	307	156									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3759	43	10	13	160	23	35	35	28	26	28	119	46	37	66	25	8	15	83	53	18	124	108	46	78	113	33	50	181	52	45	74	30	73	125	219	192	85	70	140	29	46	173	142	60	54	97	98	72	38	165	76									
6	Число погашенных избирательных бюллетеней	34949	1200	1195	996	856	1064	1168	1192	1161	1070	1453	1116	903	897	1021	1155	840	949	925	1157	1130	616	548	718	718	436	774	686	438	32	116	47	1372	771	631	289	256	463	130	120	60	42	523	289	76	300	781	663	184	576	628	218									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	3758	43	10	13	160	23	35	35	28	26	28	119	46	37	65	25	8	15	83	53	18	124	108	46	78	113	33	50	181	52	45	74	30	73	125	219	192	85	70	140	29	46	173	142	60	54	97	98	72	38	165	76									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	30637	1157	1395	991	934	913	997	1173	1111	1004	919	1065	851	1266	913	820	952	836	892	989	1052	460	444	436	404	401	693	364	781	66	89	79	896	356	544	92	52	452	150	190	60	62	404	518	64	246	472	439	194	536	307	156									
9	Число недействительных избирательных бюллетеней	799	27	32	30	20	24	23	46	2	27	5	163	0	15	19	17	2	17	13	22	118	0	2	3	1	4	4	1	5	0	3	0	18	1	7	0	5	19	4	10	2	3	5	9	6	8	10	15	0	12	11	9									
10	Число действительных избирательных бюллетеней	33596	1173	1373	974	1074	912	1009	1162	1137	1003	942	1021	897	1288	959	828	958	834	962	1020	952	584	550	479	481	510	722	413	957	118	131	153	908	428	662	311	239	518	216	320	87	105	572	651	118	292	559	522	266	562	461	223									
