Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																
Дата голосования: 07.12.2003 0:00:00																																																																																
																																																																																
Наименование Избирательной комиссии:    Называевская																																																																																
																																																																																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																
																																																																																
		Сумма	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642					
1	"Число избирателей, внесенных в списки"	22534	1254	1257	1913	1010	815	1302	1474	1055	547	102	134	90	101	668	41	68	95	47	476	244	472	94	155	117	362	32	90	207	346	96	38	61	47	586	124	174	170	457	82	60	311	85	979	37	88	155	64	60	326	49	77	63	30	529	103	81	44	74	200	130	363	64	97	41	40	449	187	150	176	455	353	95	116					
2	"Число бюллетеней, полученных участковыми комиссиями"	21850	1200	1200	1800	1000	800	1200	1400	1000	520	101	133	105	95	650	41	70	95	49	460	238	460	96	154	119	350	34	89	202	345	97	38	62	48	580	125	176	168	440	82	62	300	86	950	38	85	152	65	60	310	50	77	63	33	510	102	80	46	67	198	128	360	66	92	43	38	440	191	154	180	450	340	95	117					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	13598	491	647	883	524	396	519	520	400	232	94	116	90	84	479	38	62	72	45	298	196	351	84	113	102	281	30	79	159	264	73	24	50	41	404	90	136	134	320	67	50	222	64	697	37	67	120	64	60	278	45	73	54	30	310	78	59	34	57	120	111	359	59	89	38	37	324	154	107	138	290	242	63	80					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	666	49	22	84	29	18	32	78	23	12	0	0	0	0	32	0	0	0	0	26	0	20	1	7	0	7	0	0	0	0	0	0	0	0	14	0	0	0	0	0	1	7	0	9	0	0	0	0	0	0	0	0	0	0	28	3	0	1	0	7	3	0	0	0	0	0	32	7	9	16	57	16	7	9					
6	Число погашенных бюллетеней	7586	660	531	833	447	386	649	802	577	276	7	17	15	11	139	3	8	23	4	136	42	89	11	34	17	62	4	10	43	81	24	14	12	7	162	35	40	34	120	15	11	71	22	244	1	18	32	1	0	32	5	4	9	3	172	21	21	11	10	71	14	1	7	3	5	1	84	30	38	26	103	82	25	28					
7	Число бюллетеней в переносных ящиках для голосования	666	49	22	84	29	18	32	78	23	12	0	0	0	0	32	0	0	0	0	26	0	20	1	7	0	7	0	0	0	0	0	0	0	0	14	0	0	0	0	0	1	7	0	9	0	0	0	0	0	0	0	0	0	0	28	3	0	1	0	7	3	0	0	0	0	0	32	7	9	16	57	16	7	9					
8	Число бюллетеней в стационарных ящиках для голосования	13598	491	647	883	524	396	519	520	400	232	94	116	90	84	479	38	62	72	45	298	196	351	84	113	102	281	30	79	159	264	73	24	50	41	404	90	136	134	320	67	50	222	64	697	37	67	120	64	60	278	45	73	54	30	310	78	59	34	57	120	111	359	59	89	38	37	324	154	107	138	290	242	63	80					
9	Число недействительных бюллетеней	154	0	13	9	5	4	8	9	5	2	0	0	0	0	1	0	0	0	0	9	3	8	0	1	0	4	0	0	1	4	0	0	0	1	11	2	0	0	6	0	1	4	0	9	0	0	1	6	0	0	0	0	0	0	10	0	0	0	0	1	0	0	1	0	0	0	10	0	3	0	0	2	0	0					
10	Число действительных бюллетеней	14110	540	656	958	548	410	543	589	418	242	94	116	90	84	510	38	62	72	45	315	193	363	85	119	102	284	30	79	158	260	73	24	50	40	407	88	136	134	314	67	50	225	64	697	37	67	119	58	60	278	45	73	54	30	328	81	59	35	57	126	114	359	58	89	38	37	346	161	113	154	347	256	70	89					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	299	6	9	10	7	6	6	6	6	6	6	3	3	3	6	3	3	3	3	6	3	6	3	3	3	6	3	3	3	6	3	3	3	3	7	3	3	3	6	3	3	5	3	6	3	3	3	3	3	6	3	3	3	3	6	3	3	3	3	3	3	6	3	3	3	3	6	3	3	3	6	3	3	3					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	77	6	9	10	7	2	5	6	6	3	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	2	2	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	3	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	68	2	5	3	1	0	3	2	1	0	1	1	0	1	1	0	0	0	0	2	0	0	0	1	0	1	1	0	0	0	1	1	1	1	4	1	2	2	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	2	1	0	1	0	1	0	0	2	2	1	1	0	1	0	1	1	0	0					
14	Число погашенных открепительных удостоверений	222	0	0	0	0	4	1	0	0	3	6	3	3	3	5	3	3	3	3	6	3	5	3	3	3	6	3	3	3	6	3	3	2	3	2	3	3	3	6	3	3	5	3	5	3	3	3	3	1	4	2	3	3	3	4	3	3	3	3	3	3	6	3	3	3	3	5	2	3	2	6	2	0	3					
15	Число открепительных удостоверений выданных ТИК	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																
18	"1. ""ЕДИНЕНИЕ"""	353	13	3	21	4	4	8	11	9	2	1	3	0	3	16	0	0	0	1	19	9	13	0	5	1	12	0	1	1	7	3	0	1	0	8	0	6	5	14	8	0	8	1	21	0	0	4	0	8	6	1	6	1	0	12	1	3	0	2	5	0	12	0	2	0	4	8	9	5	3	10	3	3	3					
		2.47%	2.40%	0.44%	2.17%	0.72%	0.96%	1.45%	1.83%	2.12%	0.81%	1.06%	2.58%	0.0%	3.57%	3.13%	0.0%	0.0%	0.0%	2.22%	5.86%	4.59%	3.50%	0.0%	4.16%	0.98%	4.16%	0.0%	1.26%	0.62%	2.65%	4.10%	0.0%	2.0%	0.0%	1.91%	0.0%	4.41%	3.73%	4.37%	11.94%	0.0%	3.49%	1.56%	2.97%	0.0%	0.0%	3.33%	0.0%	13.33%	2.15%	2.22%	8.21%	1.85%	0.0%	3.55%	1.23%	5.08%	0.0%	3.50%	3.93%	0.0%	3.34%	0.0%	2.24%	0.0%	10.81%	2.24%	5.59%	4.31%	1.94%	2.88%	1.16%	4.28%	3.37%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	273	23	18	37	17	22	15	16	1	15	0	0	1	0	1	0	2	0	0	5	4	5	0	0	2	3	0	0	1	2	0	0	0	0	5	0	5	2	7	1	2	3	5	9	0	0	4	0	0	6	0	0	0	0	0	2	0	0	0	5	1	1	0	1	2	0	5	0	0	4	6	6	1	0					
		1.91%	4.25%	2.69%	3.82%	3.07%	5.31%	2.72%	2.67%	0.23%	6.14%	0.0%	0.0%	1.11%	0.0%	0.19%	0.0%	3.22%	0.0%	0.0%	1.54%	2.04%	1.34%	0.0%	0.0%	1.96%	1.04%	0.0%	0.0%	0.62%	0.75%	0.0%	0.0%	0.0%	0.0%	1.19%	0.0%	3.67%	1.49%	2.18%	1.49%	3.92%	1.31%	7.81%	1.27%	0.0%	0.0%	3.33%	0.0%	0.0%	2.15%	0.0%	0.0%	0.0%	0.0%	0.0%	2.46%	0.0%	0.0%	0.0%	3.93%	0.87%	0.27%	0.0%	1.12%	5.26%	0.0%	1.40%	0.0%	0.0%	2.59%	1.72%	2.32%	1.42%	0.0%					
