Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																															
Дата голосования: 04.12.2011																																																															
																																																															
Наименование Избирательной комиссии:    Исилькульская																																																															
																																																															
Сводная таблица результатов выборов																																																															
																																																															
		Сумма	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710					
1	"Число избирателей, внесенных в список избирателей"	33445	1025	1478	1093	1359	1189	1167	1040	1177	1142	1046	1647	1337	1076	853	899	704	932	662	118	46	96	172	38	1119	54	283	253	136	272	239	317	285	739	326	977	218	172	312	297	737	192	80	78	561	183	572	526	92	1444	410	218	240	224	191	221	1181					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	32985	1075	1385	1055	1370	990	1150	1085	1180	1115	1030	1650	1340	1045	855	815	720	860	700	115	52	110	190	50	1140	56	260	240	130	280	232	300	285	725	300	1030	210	160	305	300	760	190	85	80	565	195	565	585	100	1410	410	215	230	210	195	195	1105					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	19816	486	669	523	725	608	570	648	539	586	581	744	562	516	333	463	369	473	401	97	44	96	113	34	747	52	255	223	129	245	224	274	230	558	261	562	147	139	249	214	573	158	60	73	429	124	326	429	90	964	360	167	162	163	148	137	764					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1543	33	70	39	38	59	27	50	45	60	35	62	65	26	50	71	38	41	20	2	2	0	11	0	97	0	5	0	0	5	0	3	0	36	0	78	13	3	4	8	71	14	6	1	31	15	26	49	0	76	4	18	16	0	17	20	83					
6	Число погашенных избирательных бюллетеней	11626	556	646	493	607	323	553	387	596	469	414	844	713	503	472	281	313	346	279	16	6	14	66	16	296	4	0	17	1	30	8	23	55	131	39	390	50	18	52	78	116	18	19	6	105	56	213	107	10	370	46	30	52	47	30	38	258					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1543	33	70	39	38	59	27	50	45	60	35	62	65	26	50	71	38	41	20	2	2	0	11	0	97	0	5	0	0	5	0	3	0	36	0	78	13	3	4	8	71	14	6	1	31	15	26	49	0	76	4	18	16	0	17	20	83					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	19815	486	668	523	725	608	570	648	539	586	581	744	562	516	333	463	369	473	401	97	44	96	113	34	747	52	255	223	129	245	224	274	230	558	261	562	147	139	249	214	573	158	60	73	429	124	326	429	90	964	360	167	162	163	148	137	764					
9	Число недействительных избирательных бюллетеней	377	8	19	17	16	20	11	11	6	13	9	14	15	9	5	4	3	4	16	0	0	0	2	0	18	0	11	6	0	0	8	1	3	12	8	12	1	0	6	1	4	3	0	0	3	5	7	3	1	24	3	0	18	1	0	0	16					
10	Число действительных избирательных бюллетеней	20981	511	719	545	747	647	586	687	578	633	607	792	612	533	378	530	404	510	405	99	46	96	122	34	826	52	249	217	129	250	216	276	227	582	253	628	159	142	247	221	640	169	66	74	457	134	345	475	89	1016	361	185	160	162	165	157	831					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	677	15	15	15	20	15	15	20	15	15	18	20	15	15	15	15	15	10	35	3	3	3	5	3	30	3	5	5	3	15	5	5	5	15	5	37	5	3	5	5	17	3	8	3	20	3	10	60	3	25	5	6	5	5	5	3	25					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	507	7	10	11	20	6	13	18	14	14	15	19	15	10	9	11	5	10	35	0	3	3	5	0	24	0	0	0	0	12	0	2	1	5	0	35	0	0	0	0	17	1	8	0	20	0	10	60	3	22	4	6	5	1	4	0	14					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	220	4	8	15	6	10	10	2	1	15	4	4	5	15	2	8	4	10	7	1	0	3	2	1	5	1	2	1	1	0	7	0	1	6	1	6	3	2	3	1	5	3	1	1	1	1	3	5	2	9	2	0	1	1	1	2	5					
14	Число погашенных неиспользованных открепительных удостоверений	170	8	5	4	0	9	2	2	1	1	3	1	0	5	6	4	10	0	0	3	0	0	0	3	6	3	5	5	3	3	5	3	4	10	5	2	5	3	5	5	0	2	0	3	0	3	0	0	0	3	1	0	0	4	1	3	11					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	23	0	3	2	0	0	1	0	1	1	0	3	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	1	0	0	0	0	0	0	1					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																															
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2062	67	71	50	85	84	82	77	70	99	74	79	93	59	43	46	35	55	47	7	7	4	13	3	99	3	11	11	3	6	14	7	13	45	11	103	17	13	11	13	39	14	4	4	33	11	22	39	8	101	33	13	15	13	11	5	67					
		9.65%	12.91%	9.62%	8.90%	11.14%	12.59%	13.74%	11.03%	11.99%	15.33%	12.01%	9.80%	14.83%	10.89%	11.23%	8.61%	8.60%	10.70%	11.16%	7.07%	15.22%	4.17%	10.48%	8.82%	11.73%	5.77%	4.23%	4.93%	2.33%	2.40%	6.25%	2.53%	5.65%	7.58%	4.21%	16.09%	10.63%	9.15%	4.35%	5.86%	6.06%	8.14%	6.06%	5.41%	7.17%	7.91%	6.25%	8.16%	8.89%	9.71%	9.07%	7.03%	8.43%	7.98%	6.67%	3.18%	7.91%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	2173	68	108	71	99	68	60	96	61	76	64	120	89	78	61	70	35	98	56	3	6	3	14	0	91	2	9	2	10	2	7	18	29	74	21	61	21	20	12	24	22	4	0	1	30	6	14	40	10	63	15	22	12	19	15	12	81					
		10.17%	13.10%	14.63%	12.63%	12.98%	10.19%	10.05%	13.75%	10.45%	11.76%	10.39%	14.89%	14.19%	14.39%	15.93%	13.11%	8.60%	19.07%	13.30%	3.03%	13.04%	3.13%	11.29%	0.00%	10.78%	3.85%	3.46%	0.90%	7.75%	0.80%	3.13%	6.50%	12.61%	12.46%	8.05%	9.53%	13.13%	14.08%	4.74%	10.81%	3.42%	2.33%	0.00%	1.35%	6.52%	4.32%	3.98%	8.37%	11.11%	6.06%	4.12%	11.89%	6.74%	11.66%	9.09%	7.64%	9.56%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	192	6	5	3	6	8	7	9	5	6	4	4	3	3	0	6	10	7	3	0	0	0	2	0	5	0	4	4	0	34	0	1	0	2	1	10	1	0	2	4	5	1	0	0	3	3	3	1	0	6	1	0	2	0	0	1	1					
		0.90%	1.16%	0.68%	0.53%	0.79%	1.20%	1.17%	1.29%	0.86%	0.93%	0.65%	0.50%	0.48%	0.55%	0.00%	1.12%	2.46%	1.36%	0.71%	0.00%	0.00%	0.00%	1.61%	0.00%	0.59%	0.00%	1.54%	1.79%	0.00%	13.60%	0.00%	0.36%	0.00%	0.34%	0.38%	1.56%	0.63%	0.00%	0.79%	1.80%	0.78%	0.58%	0.00%	0.00%	0.65%	2.16%	0.85%	0.21%	0.00%	0.58%	0.27%	0.00%	1.12%	0.00%	0.00%	0.64%	0.12%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	3508	94	118	128	134	139	159	202	104	168	142	154	120	113	51	129	79	79	83	25	7	7	11	1	165	0	37	37	18	19	14	17	34	73	30	91	10	16	25	22	77	22	11	6	117	42	20	77	3	77	23	14	19	14	18	16	97					
		16.42%	18.11%	15.99%	22.78%	17.56%	20.84%	26.63%	28.94%	17.81%	26.01%	23.05%	19.11%	19.14%	20.85%	13.32%	24.16%	19.41%	15.37%	19.71%	25.25%	15.22%	7.29%	8.87%	2.94%	19.55%	0.00%	14.23%	16.59%	13.95%	7.60%	6.25%	6.14%	14.78%	12.29%	11.49%	14.22%	6.25%	11.27%	9.88%	9.91%	11.96%	12.79%	16.67%	8.11%	25.43%	30.22%	5.68%	16.11%	3.33%	7.40%	6.32%	7.57%	10.67%	8.59%	10.91%	10.19%	11.45%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	262	7	13	11	10	10	15	7	11	13	11	7	18	4	5	11	5	7	3	0	0	1	1	0	6	0	2	0	1	0	0	1	1	1	3	23	0	0	1	4	4	0	0	0	3	2	2	0	1	29	4	0	0	0	0	0	4					
		1.23%	1.35%	1.76%	1.96%	1.31%	1.50%	2.51%	1.00%	1.88%	2.01%	1.79%	0.87%	2.87%	0.74%	1.31%	2.06%	1.23%	1.36%	0.71%	0.00%	0.00%	1.04%	0.81%	0.00%	0.71%	0.00%	0.77%	0.00%	0.78%	0.00%	0.00%	0.36%	0.43%	0.17%	1.15%	3.59%	0.00%	0.00%	0.40%	1.80%	0.62%	0.00%	0.00%	0.00%	0.65%	1.44%	0.57%	0.00%	1.11%	2.79%	1.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.47%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	12669	268	399	272	408	332	260	294	324	267	307	425	286	273	217	259	238	262	212	60	26	81	81	30	457	47	186	163	97	189	181	231	150	387	187	337	110	93	193	154	487	128	51	63	270	70	284	317	67	731	282	136	107	113	119	122	579					
		59.32%	51.64%	54.07%	48.40%	53.47%	49.78%	43.55%	42.12%	55.48%	41.33%	49.84%	52.73%	45.61%	50.37%	56.66%	48.50%	58.48%	50.97%	50.36%	60.61%	56.52%	84.38%	65.32%	88.24%	54.15%	90.38%	71.54%	73.09%	75.19%	75.60%	80.80%	83.39%	65.22%	65.15%	71.65%	52.66%	68.75%	65.49%	76.28%	69.37%	75.62%	74.42%	77.27%	85.14%	58.70%	50.36%	80.68%	66.32%	74.44%	70.29%	77.47%	73.51%	60.11%	69.33%	72.12%	77.71%	68.36%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	115	1	5	10	5	6	3	2	3	4	5	3	3	3	1	9	2	2	1	4	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	3	0	0	3	0	6	0	0	0	1	0	0	1	0	9	3	0	5	3	2	1	2					
		0.54%	0.19%	0.68%	1.78%	0.66%	0.90%	0.50%	0.29%	0.51%	0.62%	0.81%	0.37%	0.48%	0.55%	0.26%	1.69%	0.49%	0.39%	0.24%	4.04%	0.00%	0.00%	0.00%	0.00%	0.36%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.36%	0.00%	0.00%	0.00%	0.47%	0.00%	0.00%	1.19%	0.00%	0.93%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.21%	0.00%	0.87%	0.82%	0.00%	2.81%	1.84%	1.21%	0.64%	0.24%					
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
