Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																	
Дата голосования: 02.12.2007																																																																	
																																																																	
Наименование Избирательной комиссии:    Исилькульская																																																																	
																																																																	
Сводная таблица результатов выборов																																																																	
																																																																	
		Сумма	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705					
1	"Число избирателей, внесенных в списки избирателей"	32350	1048	1203	1024	1228	1015	1111	1125	1140	1179	1079	1581	1482	1056	828	781	697	719	715	112	62	108	205	53	1163	59	284	252	131	283	232	301	271	596	306	117	966	208	63	159	310	255	735	213	90	83	566	204	560	549	102	1262	409	175	225	221	203	195	1051					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	31755	1000	1140	940	1190	930	1050	1020	1110	1110	1000	1550	1420	1000	800	720	670	650	760	120	65	115	210	60	1210	60	315	260	145	300	240	300	255	610	295	120	990	210	65	155	315	250	780	220	105	90	595	210	570	570	105	1290	410	190	215	210	195	190	1085					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	22194	596	673	604	760	566	628	695	626	714	633	862	811	574	406	455	426	417	579	106	61	107	182	53	915	57	276	244	128	273	232	264	220	504	287	95	740	184	57	148	291	231	576	180	72	77	433	144	384	435	100	1045	387	157	188	203	184	173	776					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1717	56	103	60	26	107	41	43	80	57	35	115	72	62	58	63	40	51	35	3	0	0	12	0	79	1	0	0	0	5	0	0	5	19	0	11	62	8	0	0	0	4	68	18	8	3	36	16	21	32	2	65	2	18	20	0	5	7	83					
6	Число погашенных избирательных бюллетеней	7844	348	364	276	404	257	381	282	404	339	332	573	537	364	336	202	204	182	146	11	4	8	16	7	216	2	39	16	17	22	8	36	30	87	8	14	188	18	8	7	24	15	136	22	25	10	126	50	165	103	3	180	21	15	7	7	6	10	226					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1717	56	103	60	26	107	41	43	80	57	35	115	72	62	58	63	40	51	35	3	0	0	12	0	79	1	0	0	0	5	0	0	5	19	0	11	62	8	0	0	0	4	68	18	8	3	36	16	21	32	2	65	2	18	20	0	5	7	83					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	22194	596	673	604	760	566	628	695	626	714	633	862	811	574	406	455	426	417	579	106	61	107	182	53	915	57	276	244	128	273	232	264	220	504	287	95	740	184	57	148	291	231	576	180	72	77	433	144	384	435	100	1045	387	157	188	203	184	173	776					
9	Число недействительных избирательных бюллетеней	343	9	9	12	10	4	8	10	5	17	7	10	7	5	10	5	4	2	6	0	0	0	3	3	16	0	6	1	0	0	0	2	1	10	3	0	11	5	0	3	0	2	11	4	1	0	2	3	7	10	2	13	0	0	24	3	6	1	50					
10	Число действительных избирательных бюллетеней	23568	643	767	652	776	669	661	728	701	754	661	967	876	631	454	513	462	466	608	109	61	107	191	50	978	58	270	243	128	278	232	262	224	513	284	106	791	187	57	145	291	233	633	194	79	80	467	157	398	457	100	1097	389	175	184	200	183	179	809					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	678	10	10	11	14	10	10	17	6	11	15	20	29	10	12	7	15	10	30	5	0	5	5	5	40	5	5	0	5	10	5	5	5	20	5	5	40	5	5	5	7	11	20	7	15	5	25	5	5	35	5	50	15	1	5	5	5	5	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	618	10	10	11	14	7	10	17	6	11	14	20	27	10	9	5	14	10	30	5	0	5	5	0	40	0	5	0	4	10	2	5	2	18	5	2	40	3	3	1	7	9	20	7	15	3	25	4	5	35	5	48	13	1	4	1	4	2	20					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	297	6	4	16	3	20	8	13	6	20	10	9	9	12	3	8	3	19	1	1	3	2	1	2	10	1	2	1	0	0	3	1	6	4	4	3	7	1	0	1	1	3	5	1	2	1	1	2	9	2	1	11	9	2	1	5	0	4	14					
14	Число погашенных неиспользованных открепительных удостоверений	60	0	0	0	0	3	0	0	0	0	1	0	2	0	3	2	1	0	0	0	0	0	0	5	0	5	0	0	1	0	3	0	3	2	0	3	0	2	2	4	0	2	0	0	0	2	0	1	0	0	0	2	2	0	1	4	1	3	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	21	0	2	0	0	0	3	1	0	2	0	2	5	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																	
18	1.Политическая партия «Аграрная партия России»	535	3	12	1	5	8	7	12	10	16	9	13	13	7	6	5	6	4	50	4	17	2	2	0	39	4	2	0	0	5	1	3	4	26	4	2	32	9	0	0	0	5	16	1	0	2	14	11	11	22	0	59	7	2	3	6	5	1	27					
		2.24%	0.46%	1.55%	0.15%	0.64%	1.19%	1.05%	1.63%	1.42%	2.08%	1.35%	1.33%	1.47%	1.10%	1.29%	0.97%	1.29%	0.85%	8.14%	3.67%	27.87%	1.87%	1.03%	0.00%	3.92%	6.90%	0.72%	0.00%	0.00%	1.80%	0.43%	1.14%	1.78%	4.97%	1.39%	1.89%	3.99%	4.69%	0.00%	0.00%	0.00%	2.13%	2.48%	0.51%	0.00%	2.50%	2.99%	6.88%	2.72%	4.71%	0.00%	5.32%	1.80%	1.14%	1.44%	2.96%	2.65%	0.56%	3.14%					
19	2.Всероссийская политическая партия «Гражданская Сила»	109	6	6	2	3	2	4	9	5	2	6	7	5	2	5	1	7	0	0	1	0	0	3	0	1	0	1	0	0	0	0	2	2	1	0	0	4	1	0	0	0	1	1	0	0	0	2	2	1	1	0	4	4	2	1	0	0	0	2					
		0.46%	0.92%	0.77%	0.30%	0.38%	0.30%	0.60%	1.22%	0.71%	0.26%	0.90%	0.72%	0.57%	0.31%	1.08%	0.19%	1.50%	0.00%	0.00%	0.92%	0.00%	0.00%	1.55%	0.00%	0.10%	0.00%	0.36%	0.00%	0.00%	0.00%	0.00%	0.76%	0.89%	0.19%	0.00%	0.00%	0.50%	0.52%	0.00%	0.00%	0.00%	0.43%	0.16%	0.00%	0.00%	0.00%	0.43%	1.25%	0.25%	0.21%	0.00%	0.36%	1.03%	1.14%	0.48%	0.00%	0.00%	0.00%	0.23%					
20	3.Политическая партия «Демократическая партия России»	32	0	1	0	2	1	2	0	0	3	0	3	1	1	1	1	1	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	3					
		0.13%	0.00%	0.13%	0.00%	0.25%	0.15%	0.30%	0.00%	0.00%	0.39%	0.00%	0.31%	0.11%	0.16%	0.22%	0.19%	0.21%	0.21%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.89%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.85%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.43%	0.00%	0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.35%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	2440	69	79	106	105	76	141	147	75	149	106	93	102	76	47	62	64	55	85	10	1	1	15	1	94	2	10	25	3	20	10	9	13	40	6	1	76	15	0	11	11	11	66	11	4	4	89	34	14	73	2	43	9	6	7	6	5	5	40					
