Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																
Дата голосования: 07.12.2003 0:00:00																																																
																																																
Наименование Избирательной комиссии:    Юргинская городская																																																
																																																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																
																																																
		Сумма	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095					
1	"Число избирателей, внесенных в списки"	65708	1738	1865	1168	1045	1404	959	1165	1698	1559	1518	1975	1155	1133	1450	1511	2940	2611	2333	1839	2576	531	1633	2196	2100	1221	1776	1833	1787	1446	1893	1448	1613	1445	1679	2145	1184	1456	2264	1373	959	84					
2	"Число бюллетеней, полученных участковыми комиссиями"	62144	1620	1700	1150	950	1500	880	1100	1610	1500	1500	1900	1050	1050	1400	1500	2700	2500	2100	1900	2300	500	1500	2000	2000	1200	1700	1700	1700	1400	1800	1400	1500	1300	1600	2000	1100	1400	2200	1300	850	84					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	36263	696	767	513	442	551	512	699	815	924	864	1083	734	654	859	688	1637	1591	1246	1732	1435	248	928	1309	1142	683	929	920	1015	737	1130	809	963	924	1048	1268	692	801	1204	627	444	0					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1378	36	62	22	20	40	49	11	32	32	24	30	36	9	8	32	57	46	17	107	14	4	18	29	21	21	11	38	7	14	34	23	35	54	43	48	20	53	68	35	34	84					
6	Число погашенных бюллетеней	24503	888	871	615	488	909	319	390	763	544	612	787	280	387	533	780	1006	863	837	61	851	248	554	662	837	496	760	742	678	649	636	568	502	322	509	684	388	546	928	638	372	0					
7	Число бюллетеней в переносных ящиках для голосования	1378	36	62	22	20	40	49	11	32	32	24	30	36	9	8	32	57	46	17	107	14	4	18	29	21	21	11	38	7	14	34	23	35	54	43	48	20	53	68	35	34	84					
8	Число бюллетеней в стационарных ящиках для голосования	36252	696	767	513	442	551	512	699	815	920	864	1083	733	653	859	688	1636	1590	1245	1732	1435	248	927	1308	1142	683	929	920	1015	737	1130	809	963	924	1048	1268	692	801	1204	627	444	0					
9	Число недействительных бюллетеней	404	14	4	9	8	9	6	3	13	15	11	17	5	6	4	11	15	9	3	6	11	5	7	20	12	5	3	8	6	12	13	7	13	11	18	26	4	17	20	9	9	0					
10	Число действительных бюллетеней	37226	718	825	526	454	582	555	707	834	937	877	1096	764	656	863	709	1678	1627	1259	1833	1438	247	938	1317	1151	699	937	950	1016	739	1151	825	985	967	1073	1290	708	837	1252	653	469	84					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	732	5	5	5	5	38	19	12	5	5	5	10	5	10	15	5	25	16	15	325	10	0	5	15	13	15	10	10	15	7	15	10	10	5	10	10	10	5	12	5	10	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	621	1	1	2	1	25	16	10	3	3	4	5	5	6	10	4	19	16	15	325	5	0	3	15	11	8	6	8	9	5	15	6	10	5	7	10	5	3	12	3	4	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	150	0	6	0	2	0	1	2	10	7	1	3	4	0	3	0	4	3	4	0	8	1	4	8	0	2	3	1	3	1	3	4	4	6	6	5	1	3	5	1	3	28					
14	Число погашенных открепительных удостоверений	111	4	4	3	4	13	3	2	2	2	1	5	0	4	5	1	6	0	0	0	5	0	2	0	2	7	4	2	6	2	0	4	0	0	3	0	5	2	0	2	6	0					
15	Число открепительных удостоверений выданных ТИК	5	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																
18	"1. ""ЕДИНЕНИЕ"""	893	12	25	8	9	15	10	17	31	34	24	35	25	14	38	25	29	46	24	50	27	8	29	32	17	22	15	23	23	16	26	22	30	12	16	23	17	24	20	11	8	1					
		2.37%	1.63%	3.01%	1.49%	1.94%	2.53%	1.78%	2.39%	3.65%	3.57%	2.70%	3.14%	3.25%	2.11%	4.38%	3.47%	1.71%	2.81%	1.90%	2.71%	1.86%	3.17%	3.06%	2.39%	1.46%	3.12%	1.59%	2.40%	2.25%	2.13%	2.23%	2.64%	3.00%	1.22%	1.46%	1.74%	2.38%	2.81%	1.57%	1.66%	1.67%	1.19%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	377	2	4	2	3	6	11	11	14	2	7	4	11	7	10	5	16	17	8	24	26	3	6	19	15	6	9	9	12	5	7	5	5	24	14	12	5	7	9	12	3	0					
		1.00%	0.27%	0.48%	0.37%	0.64%	1.01%	1.96%	1.54%	1.65%	0.21%	0.78%	0.35%	1.43%	1.05%	1.15%	0.69%	0.94%	1.03%	0.63%	1.30%	1.79%	1.19%	0.63%	1.42%	1.28%	0.85%	0.95%	0.93%	1.17%	0.66%	0.60%	0.60%	0.50%	2.45%	1.28%	0.91%	0.70%	0.81%	0.70%	1.81%	0.62%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	670	13	16	6	8	14	9	20	24	18	25	20	12	13	9	20	27	37	8	22	13	4	15	25	15	13	7	21	14	18	28	10	27	14	24	24	20	10	28	11	5	3					
		1.78%	1.77%	1.93%	1.12%	1.73%	2.36%	1.60%	2.81%	2.83%	1.89%	2.81%	1.79%	1.56%	1.96%	1.03%	2.77%	1.59%	2.26%	0.63%	1.19%	0.89%	1.58%	1.58%	1.86%	1.28%	1.84%	0.74%	2.19%	1.36%	2.39%	2.40%	1.20%	2.70%	1.43%	2.19%	1.82%	2.80%	1.17%	2.20%	1.66%	1.04%	3.57%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	1308	14	14	8	12	18	15	23	18	37	22	42	40	29	39	11	84	76	10	34	54	4	39	54	45	31	34	30	31	30	36	29	35	43	63	35	35	33	64	21	14	2					
		3.47%	1.91%	1.68%	1.49%	2.59%	3.04%	2.67%	3.23%	2.12%	3.88%	2.47%	3.77%	5.20%	4.38%	4.49%	1.52%	4.96%	4.64%	0.79%	1.84%	3.72%	1.58%	4.12%	4.03%	3.86%	4.40%	3.61%	3.13%	3.03%	3.99%	3.09%	3.48%	3.50%	4.39%	5.77%	2.65%	4.91%	3.86%	5.03%	3.17%	2.92%	2.38%					
22	"5. ""За Русь Святую"""	128	3	4	2	2	1	1	3	3	6	6	5	2	1	3	3	4	6	1	5	2	2	4	8	5	3	2	2	5	2	3	4	3	3	3	4	1	4	2	2	2	1					
		0.34%	0.40%	0.48%	0.37%	0.43%	0.16%	0.17%	0.42%	0.35%	0.63%	0.67%	0.44%	0.26%	0.15%	0.34%	0.41%	0.23%	0.36%	0.07%	0.27%	0.13%	0.79%	0.42%	0.59%	0.42%	0.42%	0.21%	0.20%	0.48%	0.26%	0.25%	0.48%	0.30%	0.30%	0.27%	0.30%	0.14%	0.46%	0.15%	0.30%	0.41%	1.19%					
23	"6. ""Объединенная Российская партия ""Русь"""	106	4	1	0	3	10	1	2	1	0	4	0	1	3	2	3	2	2	6	7	5	2	2	8	4	1	1	1	3	4	2	1	1	2	3	7	0	1	3	1	1	1					
