Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																														
Дата голосования: 18.09.2016																																																														
																																																														
"Наименование Избирательной комиссии:    Рязань, Железнодорожная"																																																														
																																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																																														
																																																														
		Сумма	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №8126	УИК №8130									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	108173	1877	2046	1816	1386	1995	2175	2076	2249	1950	2565	2504	2517	2449	2398	2275	2222	2300	2217	2106	2401	2730	2360	2034	2253	2391	2289	2078	1832	2384	2000	2337	2155	2338	2259	3197	2410	1188	2453	2226	2668	2071	1993	2142	2202	2757	2417	2391	2046	840	57	151									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	105300	1550	1650	1450	1150	1600	1800	1650	1850	1600	2100	2050	2050	2000	1950	1850	1800	1850	1650	1700	1950	2200	1950	1650	1850	1850	1850	1700	1500	1950	1600	1900	1750	1950	1850	2400	1850	950	1650	1800	2200	1700	1650	1750	1800	2250	1950	1750	1650	650	8500	10000									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	34666	631	626	621	360	627	579	744	782	538	591	659	771	651	685	648	575	744	655	703	734	947	804	769	679	725	831	696	570	721	636	719	579	643	763	1279	827	414	1578	662	551	709	628	778	731	797	719	771	694	315	57	150									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1163	10	19	2	2	24	5	7	8	4	30	16	13	3	20	8	9	9	199	6	9	6	22	8	6	102	12	4	17	22	2	58	14	9	10	7	6	16	39	64	11	5	8	16	11	8	7	247	11	11	0	1									
6	Число погашенных избирательных бюллетеней	69470	909	1005	827	788	949	1216	899	1060	1058	1479	1375	1266	1346	1245	1194	1216	1097	796	991	1207	1247	1124	873	1165	1023	1007	1000	913	1207	962	1123	1157	1298	1077	1114	1017	520	33	1074	1638	986	1014	956	1058	1445	1224	732	945	324	8443	9848									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1163	10	19	2	2	24	5	7	8	4	30	16	13	3	20	8	9	9	199	6	9	6	22	8	6	102	12	4	17	22	2	58	14	9	10	7	6	16	39	64	11	5	8	16	11	8	7	247	11	11	0	1									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	34621	619	626	621	360	627	578	744	780	537	591	659	771	651	685	640	575	744	655	703	734	947	803	769	679	725	831	696	569	721	635	718	578	641	763	1279	824	414	1578	662	551	700	628	777	730	797	719	771	694	315	57	150									
9	Число недействительных избирательных бюллетеней	484	11	6	5	10	14	10	13	11	7	5	9	11	12	14	14	8	13	13	6	7	9	7	17	10	8	9	7	6	15	11	13	9	10	6	28	13	5	20	5	5	0	7	9	10	7	6	20	8	5	0	0									
10	Число действительных избирательных бюллетеней	35300	618	639	618	352	637	573	738	777	534	616	666	773	642	691	634	576	740	841	703	736	944	818	760	675	819	834	693	580	728	626	763	583	640	767	1258	817	425	1597	721	557	705	629	784	731	798	720	998	697	321	57	151									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1355	25	25	25	25	25	25	25	25	25	25	25	25	25	35	25	25	25	25	25	25	35	25	25	25	25	25	25	25	25	25	25	25	35	35	40	25	35	50	45	25	25	25	35	25	25	25	25	25	25	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	953	10	22	13	8	10	21	12	22	14	13	15	14	15	27	17	6	18	21	12	17	25	23	15	23	22	24	21	11	14	14	21	20	31	30	39	16	33	32	42	14	20	24	27	14	23	21	15	23	9	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1001	12	19	42	7	15	11	38	24	12	12	12	11	10	6	29	15	25	10	14	11	39	17	18	9	8	4	19	15	16	16	9	20	2	12	10	141	22	108	9	0	26	13	41	6	27	6	25	8	19	0	1									
14	Число погашенных неиспользованных открепительных удостоверений	402	15	3	12	17	15	4	13	3	11	12	10	11	10	8	8	19	7	4	13	8	10	2	10	2	3	1	4	14	11	11	4	5	4	5	1	9	2	18	3	11	5	1	8	11	2	4	10	2	16	5	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	205	1	5	2	1	9	8	2	2	0	10	7	2	6	7	2	4	1	0	3	3	11	2	7	4	6	1	0	5	5	3	2	1	9	3	7	4	2	28	0	9	3	1	5	1	1	2	2	3	3	0	0									
