Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																					
Дата голосования: 18.09.2016																																					
																																					
Наименование Избирательной комиссии:    Илекская																																					
																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																					
																																					
		Сумма	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	21251	1615	2029	2230	2066	165	664	436	2121	1335	1136	69	952	1035	77	38	43	576	493	963	120	142	196	771	689	729	561									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	18495	1500	2000	2000	2000	115	500	400	2000	1000	1000	50	800	900	70	30	30	500	400	800	100	100	150	550	500	500	500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9514	757	898	986	980	95	280	215	764	522	557	28	444	635	51	20	27	246	224	421	62	67	71	301	316	247	300									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1214	50	65	80	94	11	52	19	141	53	33	0	61	78	1	0	0	51	45	109	7	33	32	72	22	68	37									
6	Число погашенных избирательных бюллетеней	7767	693	1037	934	926	9	168	166	1095	425	410	22	295	187	18	10	3	203	131	270	31	0	47	177	162	185	163									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1214	50	65	80	94	11	52	19	141	53	33	0	61	78	1	0	0	51	45	109	7	33	32	72	22	68	37									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9514	757	898	986	980	95	280	215	764	522	557	28	444	635	51	20	27	246	224	421	62	67	71	301	316	247	300									
9	Число недействительных избирательных бюллетеней	253	25	17	34	8	2	10	8	25	14	21	0	12	13	4	0	1	6	6	7	2	3	2	5	3	8	17									
10	Число действительных избирательных бюллетеней	10475	782	946	1032	1066	104	322	226	880	561	569	28	493	700	48	20	26	291	263	523	67	97	101	368	335	307	320									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	286	18	20	22	22	5	10	10	20	20	7	0	15	15	5	0	0	10	12	15	5	11	0	12	10	10	12									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	257	18	19	22	22	5	8	9	4	20	7	0	7	15	5	0	0	9	12	15	5	11	0	12	10	10	12									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	108	17	6	4	3	4	0	2	3	5	5	7	7	0	4	3	6	2	4	2	7	3	3	3	3	3	2									
14	Число погашенных неиспользованных открепительных удостоверений	29	0	1	0	0	0	2	1	16	0	0	0	8	0	0	0	0	1	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	64	12	6	13	18	0	7	0	4	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0									
