Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																						
Дата голосования: 04.12.2011																																																																						
																																																																						
Наименование Избирательной комиссии:    Вязниковская																																																																						
																																																																						
Сводная таблица результатов выборов																																																																						
																																																																						
		Сумма	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821					
1	"Число избирателей, внесенных в список избирателей"	71193	2063	2065	1976	1502	2091	1962	1565	2117	1855	2188	1484	433	1806	2227	2108	2033	1991	599	227	1308	1298	942	1358	1166	583	302	955	185	522	500	536	1526	1612	1644	737	1085	482	489	475	1931	365	601	647	293	522	333	679	2460	1397	1581	1800	509	435	950	1917	672	1095	969	492	443	926	80	99					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	65041	1900	1900	1800	1300	1800	1800	1400	1900	1700	2000	1300	400	1600	2000	1900	1900	1800	550	200	1200	1200	900	1200	1100	550	300	900	180	500	450	500	1400	1400	1500	700	1000	450	450	400	1800	350	600	600	300	500	300	650	2200	1300	1400	1600	500	400	850	1750	600	1000	900	450	400	850	161	150					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	26795	783	816	757	499	711	681	554	820	824	1015	590	244	666	877	845	966	822	275	61	472	422	381	440	500	227	66	294	52	142	178	148	486	636	764	307	449	219	168	147	610	105	261	302	109	155	90	259	879	543	562	587	196	118	366	575	235	383	401	100	126	390	80	59					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	5412	68	73	114	56	73	60	137	46	58	39	62	8	46	57	48	45	61	83	61	92	152	90	84	41	122	113	117	75	145	61	93	107	88	77	48	145	76	83	124	211	106	108	94	40	62	69	55	224	95	152	155	40	123	98	198	135	79	43	107	53	37	0	0					
6	Число погашенных избирательных бюллетеней	32834	1049	1011	929	745	1016	1059	709	1034	818	946	648	148	888	1066	1007	889	917	192	78	636	626	429	676	559	201	121	489	53	213	211	259	807	676	659	345	406	155	199	129	979	139	231	204	151	283	141	336	1097	662	686	858	264	159	386	977	230	538	456	243	221	423	81	91					
7	Число избирательных бюллетеней в переносных ящиках для голосования	5412	68	73	114	56	73	60	137	46	58	39	62	8	46	57	48	45	61	83	61	92	152	90	84	41	122	113	117	75	145	61	93	107	88	77	48	145	76	83	124	211	106	108	94	40	62	69	55	224	95	152	155	40	123	98	198	135	79	43	107	53	37	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	26794	783	816	757	499	711	681	554	820	823	1015	590	244	666	877	845	966	822	275	61	472	422	381	440	500	227	66	294	52	142	178	148	486	636	764	307	449	219	168	147	610	105	261	302	109	155	90	259	879	543	562	587	196	118	366	575	235	383	401	100	126	390	80	59					
9	Число недействительных избирательных бюллетеней	605	16	15	17	13	6	12	18	14	16	16	107	9	6	11	12	14	22	5	2	6	4	11	6	8	4	1	10	3	3	3	1	11	3	6	11	8	7	2	3	8	4	6	11	2	4	1	7	12	14	6	9	1	9	11	9	12	8	12	3	1	9	1	3					
10	Число действительных избирательных бюллетеней	31601	835	874	854	542	778	729	673	852	865	1038	545	243	706	923	881	997	861	353	120	558	570	460	518	533	345	178	401	124	284	236	240	582	721	835	344	586	288	249	268	813	207	363	385	147	213	158	307	1091	624	708	733	235	232	453	764	358	454	432	204	178	418	79	56					
