Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																															
Дата голосования: 02.12.2007																															
																															
Наименование Избирательной комиссии:    Виноградовская																															
																															
Сводная таблица результатов выборов																															
																															
		Сумма	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301					
1	"Число избирателей, внесенных в списки избирателей"	15279	425	910	452	1770	329	436	433	150	251	993	91	551	399	290	252	507	1461	2168	1563	161	426	95	639	527					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	13170	350	810	350	1500	300	400	350	120	200	900	90	470	300	250	200	450	1300	1800	1300	140	400	90	600	500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	90	0	41	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	7524	157	439	181	796	139	200	240	85	141	465	50	253	215	176	134	240	680	1190	800	75	227	61	305	275					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1076	80	7	102	85	32	88	70	13	7	90	0	37	12	10	36	66	72	68	32	15	32	11	59	52					
6	Число погашенных избирательных бюллетеней	4480	113	323	67	619	129	112	40	22	52	345	40	131	73	64	30	144	548	542	468	50	141	18	236	173					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1166	80	48	102	85	32	88	70	13	7	90	0	86	12	10	36	66	72	68	32	15	32	11	59	52					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7523	157	439	181	795	139	200	240	85	141	465	50	253	215	176	134	240	680	1190	800	75	227	61	305	275					
9	Число недействительных избирательных бюллетеней	40	1	2	0	6	1	1	1	0	1	2	0	1	3	2	1	3	1	7	2	0	0	2	0	3					
10	Число действительных избирательных бюллетеней	8649	236	485	283	874	170	287	309	98	147	553	50	338	224	184	169	303	751	1251	830	90	259	70	364	324					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	220	10	20	10	15	5	10	10	5	5	10	5	10	5	10	10	5	10	20	10	5	5	5	10	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	79	3	6	3	10	1	7	5	0	2	5	0	2	2	2	2	1	6	12	4	0	1	0	3	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	56	3	1	3	6	5	2	3	2	1	6	0	1	0	0	0	2	6	8	3	2	0	0	1	1					
14	Число погашенных неиспользованных открепительных удостоверений	141	7	14	7	5	4	3	5	5	3	5	5	8	3	8	8	4	4	8	6	5	4	5	7	8					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	12	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	5	1	0	1	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
