Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																								
Дата голосования: 04.12.2011																																								
																																								
Наименование Избирательной комиссии:    Уярская																																								
																																								
Сводная таблица результатов выборов																																								
																																								
		Сумма	УИК №2045	УИК №2046	УИК №2047	УИК №2048	УИК №2049	УИК №2050	УИК №2051	УИК №2052	УИК №2053	УИК №2054	УИК №2055	УИК №2056	УИК №2057	УИК №2058	УИК №2059	УИК №2060	УИК №2061	УИК №2062	УИК №2063	УИК №2064	УИК №2065	УИК №2066	УИК №2067	УИК №2068	УИК №2069	УИК №2070	УИК №2071	УИК №2072	УИК №2073	УИК №2074	УИК №2075	УИК №2076	УИК №2077					
1	"Число избирателей, внесенных в список избирателей"	18058	937	1018	933	1094	1120	1084	1055	956	551	704	779	908	888	627	84	150	83	124	711	89	231	541	82	157	287	141	627	117	210	916	362	134	358					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	17627	895	965	900	1076	1110	1075	1030	940	541	683	737	895	875	615	74	143	84	130	700	87	228	548	79	154	287	140	596	114	200	885	351	131	359					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	16	0	0	0	0	0	0	0	0	0	0	0	0	2	10	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	8048	413	404	392	429	461	422	474	374	155	244	286	457	449	356	67	69	43	64	342	37	110	247	47	88	142	107	333	69	95	409	201	80	182					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	669	40	42	16	14	11	15	10	26	24	23	72	21	50	26	4	14	9	14	28	14	12	25	0	5	7	0	26	8	8	66	16	0	23					
6	Число погашенных избирательных бюллетеней	8894	442	519	492	633	638	638	546	540	362	416	379	417	374	223	3	60	28	52	330	36	106	276	32	61	138	33	237	37	97	410	134	51	154					
7	Число избирательных бюллетеней в переносных ящиках для голосования	685	40	42	16	14	11	15	10	26	24	23	72	21	52	36	4	14	13	14	28	14	12	25	0	5	7	0	26	8	8	66	16	0	23					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	8012	413	404	392	429	461	422	474	374	155	244	286	457	449	320	67	69	43	64	342	37	110	247	47	88	142	107	333	69	95	409	201	80	182					
9	Число недействительных избирательных бюллетеней	147	13	3	6	9	6	7	10	4	1	7	2	10	11	7	2	1	0	1	7	0	6	6	1	6	5	0	3	0	0	5	3	0	5					
10	Число действительных избирательных бюллетеней	8550	440	443	402	434	466	430	474	396	178	260	356	468	490	349	69	82	56	77	363	51	116	266	46	87	144	107	356	77	103	470	214	80	200					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	330	10	20	10	20	20	10	10	10	10	10	10	10	10	10	10	10	5	5	10	5	5	10	10	8	8	8	10	10	10	10	10	7	9					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	109	2	15	4	2	9	6	6	5	3	5	4	7	9	9	0	0	0	1	4	0	0	3	0	4	1	1	1	0	1	5	1	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	98	1	8	3	1	3	1	2	2	2	5	8	2	5	4	7	1	1	0	1	0	0	2	2	2	0	0	4	0	1	20	9	0	1					
14	Число погашенных неиспользованных открепительных удостоверений	221	8	5	6	18	11	4	4	5	7	5	6	3	1	1	10	10	5	4	6	5	5	7	10	4	7	7	9	10	9	5	9	7	8					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	13	0	1	0	1	0	2	0	3	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																								
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1133	62	70	52	74	75	54	98	82	21	40	46	73	46	29	4	8	3	14	1	15	14	34	2	1	27	2	44	1	12	63	33	10	23					
		13.03%	13.69%	15.70%	12.75%	16.70%	15.89%	12.36%	20.25%	20.50%	11.73%	14.98%	12.85%	15.27%	9.18%	8.15%	5.63%	9.64%	5.36%	17.95%	0.27%	29.41%	11.48%	12.50%	4.26%	1.08%	18.12%	1.87%	12.26%	1.30%	11.65%	13.26%	15.21%	12.50%	11.22%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1315	58	66	90	89	63	94	78	64	36	51	69	84	68	50	1	12	5	7	47	7	10	24	3	8	18	15	36	9	12	61	40	9	31					
		15.12%	12.80%	14.80%	22.06%	20.09%	13.35%	21.51%	16.12%	16.00%	20.11%	19.10%	19.27%	17.57%	13.57%	14.04%	1.41%	14.46%	8.93%	8.97%	12.70%	13.73%	8.20%	8.82%	6.38%	8.60%	12.08%	14.02%	10.03%	11.69%	11.65%	12.84%	18.43%	11.25%	15.12%					
