Выборы Президента Российской Федерации																																				
																																				
Наименование Избирательной комиссии:    Приволжская																																				
																																				
Итоги голосования 																																				
																																				
		Сумма	УИК  645	УИК  646	УИК  647	УИК  648	УИК  649	УИК  650	УИК  651	УИК  652	УИК  653	УИК  654	УИК  655	УИК  656	УИК  657	УИК  658	УИК  659	УИК  660	УИК  661	УИК  662	УИК  663	УИК  664	УИК  665	УИК  666	УИК  667	УИК  668	УИК  669	УИК  670	УИК  671	УИК  672	УИК  673					
1	"Число избирателей, внесенных в список"	22511	547	311	99	489	296	296	325	1107	443	561	187	134	653	240	421	735	1373	1416	1523	1324	993	800	823	1109	1217	1156	1045	1398	1490					
2	Число полученных избирательных бюллетеней	21610	550	320	100	500	300	300	300	1050	470	570	200	200	650	240	450	720	1290	1320	1410	1250	950	770	780	1040	1150	1090	980	1290	1370					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	10717	203	258	65	291	149	153	235	560	292	277	89	80	289	116	206	299	617	678	790	586	543	337	369	484	582	453	375	654	687					
5	"Число избирательных бюллетеней, выданных вне помещения"	1860	151	20	32	69	59	58	25	68	43	43	45	7	117	85	105	143	79	38	26	58	63	72	45	80	44	50	57	111	67					
6	Число погашенных избирательных бюллетеней	9033	196	42	3	140	92	89	40	422	135	250	66	113	244	39	139	278	594	604	594	606	344	361	366	476	524	587	548	525	616					
7	Число избирательных бюллетеней в переносных ящиках	1860	151	20	32	69	59	58	25	68	43	43	45	7	117	85	105	143	79	38	26	58	63	72	45	80	44	50	57	111	67					
8	Число бюллетеней в стационарных ящиках для голосования	10717	203	258	65	291	149	153	235	560	292	277	89	80	289	116	206	299	617	678	790	586	543	337	369	484	582	453	375	654	687					
9	Число недействительных избирательных бюллетеней	58	1	1	0	1	0	1	2	7	2	3	0	0	2	0	4	2	1	2	1	0	9	0	2	4	2	0	0	7	4					
10	Число действительных избирательных бюллетеней	12519	353	277	97	359	208	210	258	621	333	317	134	87	404	201	307	440	695	714	815	644	597	409	412	560	624	503	432	758	750					
11	Число полученных открепительных  удостоверений	301	10	10	10	10	10	10	10	10	10	11	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	20					
12	Число выданных открепительных удостоверений	84	5	6	1	5	6	0	0	3	0	11	1	10	4	0	4	4	3	0	4	1	3	1	0	3	2	3	0	2	2					
