Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																								
Дата голосования: 18.09.2016																								
																								
Наименование Избирательной комиссии:    Гаринская																								
																								
Сводная таблица итогов голосования по федеральному избирательному округу																								
																								
		Сумма	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	2955	1210	380	528	88	207	39	20	34	90	256	17	42	44									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	3050	1200	380	540	90	220	40	20	50	80	310	20	50	50									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	1417	642	159	237	46	124	24	5	12	49	74	10	21	14									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	175	44	28	32	7	15	7	6	3	4	7	0	5	17									
6	Число погашенных избирательных бюллетеней	1458	514	193	271	37	81	9	9	35	27	229	10	24	19									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	175	44	28	32	7	15	7	6	3	4	7	0	5	17									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	1417	642	159	237	46	124	24	5	12	49	74	10	21	14									
9	Число недействительных избирательных бюллетеней	48	12	10	14	1	5	0	0	0	5	1	0	0	0									
10	Число действительных избирательных бюллетеней	1544	674	177	255	52	134	31	11	15	48	80	10	26	31									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	205	30	20	20	10	10	10	10	15	10	30	10	10	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	109	22	0	3	10	10	1	4	14	3	30	6	3	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	62	36	2	8	4	4	1	4	0	1	0	1	1	0									
14	Число погашенных неиспользованных открепительных удостоверений	96	8	20	17	0	0	9	6	1	7	0	4	7	17									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	45	23	4	10	0	1	0	1	0	0	5	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
