Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																											
Дата голосования: 07.12.2003 0:00:00																																																											
																																																											
Наименование Избирательной комиссии:    Марксовская																																																											
																																																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																											
																																																											
		Сумма	УИК №1434	УИК №1435	УИК №1436	УИК №1437	УИК №1438	УИК №1439	УИК №1440	УИК №1441	УИК №1442	УИК №1443	УИК №1444	УИК №1445	УИК №1446	УИК №1447	УИК №1448	УИК №1449	УИК №1450	УИК №1451	УИК №1452	УИК №1453	УИК №1454	УИК №1455	УИК №1456	УИК №1457	УИК №1458	УИК №1459	УИК №1460	УИК №1461	УИК №1462	УИК №1463	УИК №1464	УИК №1465	УИК №1466	УИК №1467	УИК №1468	УИК №1469	УИК №1470	УИК №1471	УИК №1472	УИК №1473	УИК №1474	УИК №1475	УИК №1476	УИК №1477	УИК №1478	УИК №1479	УИК №1480	УИК №1481	УИК №1482	УИК №1483	УИК №1484	УИК №1485					
1	"Число избирателей, внесенных в списки"	48164	781	690	773	313	306	632	263	565	591	824	103	912	228	499	682	331	859	618	522	725	365	1412	1232	524	760	210	41	280	216	91	184	476	991	252	140	205	767	815	1289	1170	678	1786	946	1352	1324	2771	2598	2834	3113	2340	2577	3208					
2	"Число бюллетеней, полученных участковыми комиссиями"	47330	823	752	785	321	325	650	277	588	572	881	103	879	221	553	653	321	827	630	517	690	376	1450	1252	546	762	215	43	278	212	93	239	482	972	240	129	197	869	846	1261	1182	669	1692	897	1313	1240	2631	2435	2677	2956	2252	2540	3016					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	27230	734	509	650	277	221	435	145	330	461	572	103	496	135	419	427	215	550	395	296	459	216	757	648	295	560	163	41	222	178	91	184	266	594	154	83	119	589	449	1107	673	449	738	388	705	680	1498	1289	1271	1415	1060	1070	1449					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1342	20	31	23	16	13	18	3	11	19	16	0	24	13	23	13	7	77	22	14	67	20	47	45	22	53	14	0	17	0	0	0	10	24	6	8	3	29	56	28	34	21	45	24	39	23	60	53	40	60	31	84	16					
6	Число погашенных бюллетеней	18758	69	212	112	28	91	197	129	247	92	293	0	359	73	111	213	99	200	213	207	164	140	646	559	229	149	38	2	39	34	2	55	206	354	80	38	75	251	341	126	475	199	909	485	569	537	1073	1093	1366	1481	1161	1386	1551					
7	Число бюллетеней в переносных ящиках для голосования	1342	20	31	23	16	13	18	3	11	19	16	0	24	13	23	13	7	77	22	14	67	20	47	45	22	53	14	0	17	0	0	0	10	24	6	8	3	29	56	28	34	21	45	24	39	23	60	53	40	60	31	84	16					
8	Число бюллетеней в стационарных ящиках для голосования	27222	734	509	650	278	221	435	145	330	461	572	103	496	135	419	427	215	550	395	296	459	216	758	648	295	560	163	41	222	178	91	184	266	594	154	83	119	589	449	1107	673	449	738	388	705	680	1492	1289	1270	1414	1060	1068	1449					
9	Число недействительных бюллетеней	897	22	19	3	17	25	32	4	7	19	65	0	24	7	54	7	12	49	10	15	27	1	14	14	12	9	0	0	22	4	0	19	10	22	6	1	4	29	15	40	11	12	20	8	19	12	37	43	15	28	16	17	19					
10	Число действительных бюллетеней	27667	732	521	670	277	209	421	144	334	461	523	103	496	141	388	433	210	578	407	295	499	235	791	679	305	604	177	41	217	174	91	165	266	596	154	90	118	589	490	1095	696	458	763	404	725	691	1515	1299	1295	1446	1075	1135	1446					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	983	20	50	20	20	20	10	10	15	30	15	20	10	5	30	45	25	20	10	10	30	10	20	20	20	16	10	5	10	10	5	5	15	10	15	5	5	30	15	20	20	10	30	20	20	20	22	20	20	30	30	30	50					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	621	4	47	8	12	20	5	7	9	30	12	9	2	0	30	22	12	4	7	2	3	4	20	20	20	6	0	0	4	0	0	0	14	6	0	0	0	23	11	20	18	7	20	4	15	10	20	19	18	30	16	16	35					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	241	3	2	3	3	0	1	5	3	3	1	13	2	1	5	4	2	5	6	1	4	1	4	2	1	5	2	3	2	0	2	1	1	6	2	4	2	6	3	50	0	2	5	5	6	8	8	16	5	5	5	7	5					
14	Число погашенных открепительных удостоверений	358	16	3	12	8	0	5	3	6	0	3	11	8	5	0	23	13	16	3	8	27	6	0	0	0	10	10	5	6	10	5	5	1	4	15	5	5	7	0	0	2	3	10	16	5	10	2	1	2	0	14	14	15					
15	Число открепительных удостоверений выданных ТИК	55	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	10	0	0	0	0	0	5	0	2	0	0	0	0	0	1	0	1	4	0	0	0	19	3	0	2	1	2					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																											
18	"1. ""ЕДИНЕНИЕ"""	448	4	8	10	22	10	14	5	10	13	14	2	14	6	21	8	5	15	9	9	4	4	13	7	3	12	1	0	4	3	1	12	10	15	2	0	5	15	10	16	6	6	6	7	7	9	20	9	6	10	6	7	13					
		1.56%	0.53%	1.48%	1.48%	7.48%	4.27%	3.09%	3.37%	2.93%	2.70%	2.38%	1.94%	2.69%	4.05%	4.75%	1.81%	2.25%	2.39%	2.15%	2.90%	0.76%	1.69%	1.61%	1.01%	0.94%	1.95%	0.56%	0.0%	1.67%	1.68%	1.09%	6.52%	3.62%	2.42%	1.25%	0.0%	4.09%	2.42%	1.98%	1.40%	0.84%	1.27%	0.76%	1.69%	0.94%	1.28%	1.28%	0.67%	0.45%	0.67%	0.54%	0.60%	0.88%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	678	8	15	8	4	1	16	13	14	18	5	0	10	6	18	14	3	8	6	2	6	3	14	11	10	7	0	0	3	2	0	0	30	12	11	2	3	7	9	10	13	8	25	8	23	19	55	34	41	47	16	30	50					
		2.37%	1.06%	2.77%	1.18%	1.36%	0.42%	3.53%	8.78%	4.10%	3.75%	0.85%	0.0%	1.92%	4.05%	4.07%	3.18%	1.35%	1.27%	1.43%	0.64%	1.14%	1.27%	1.73%	1.58%	3.15%	1.14%	0.0%	0.0%	1.25%	1.12%	0.0%	0.0%	10.86%	1.94%	6.87%	2.19%	2.45%	1.13%	1.78%	0.88%	1.83%	1.70%	3.19%	1.94%	3.09%	2.70%	3.54%	2.53%	3.12%	3.18%	1.46%	2.60%	3.41%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	619	6	8	5	5	7	7	2	7	4	10	0	16	3	7	12	2	3	5	1	6	9	11	17	2	11	3	0	6	0	0	5	10	17	6	4	5	12	12	13	8	8	34	14	13	17	41	28	34	42	44	43	34					
		2.16%	0.79%	1.48%	0.74%	1.70%	2.99%	1.54%	1.35%	2.05%	0.83%	1.70%	0.0%	3.07%	2.02%	1.58%	2.72%	0.90%	0.47%	1.19%	0.32%	1.14%	3.81%	1.36%	2.45%	0.63%	1.79%	1.69%	0.0%	2.51%	0.0%	0.0%	2.71%	3.62%	2.75%	3.75%	4.39%	4.09%	1.94%	2.37%	1.14%	1.13%	1.70%	4.34%	3.39%	1.74%	2.41%	2.64%	2.08%	2.59%	2.84%	4.03%	3.73%	2.32%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	503	4	3	2	5	2	5	4	4	1	3	1	8	0	9	5	1	7	11	2	1	3	19	6	5	5	0	0	2	0	0	1	4	10	0	3	1	9	8	12	10	6	24	10	17	18	50	33	28	43	31	31	36					
		1.76%	0.53%	0.55%	0.29%	1.70%	0.85%	1.10%	2.70%	1.17%	0.20%	0.51%	0.97%	1.53%	0.0%	2.03%	1.13%	0.45%	1.11%	2.63%	0.64%	0.19%	1.27%	2.36%	0.86%	1.57%	0.81%	0.0%	0.0%	0.83%	0.0%	0.0%	0.54%	1.44%	1.61%	0.0%	3.29%	0.81%	1.45%	1.58%	1.05%	1.41%	1.27%	3.06%	2.42%	2.28%	2.56%	3.22%	2.45%	2.13%	2.91%	2.84%	2.69%	2.45%					
22	"5. ""За Русь Святую"""	103	0	1	1	0	1	1	1	0	0	5	0	2	3	1	5	1	6	1	2	1	2	6	5	1	1	2	0	1	0	0	0	2	0	0	1	0	1	0	3	4	1	2	3	1	3	2	4	1	7	5	5	8					
		0.36%	0.0%	0.18%	0.14%	0.0%	0.42%	0.22%	0.67%	0.0%	0.0%	0.85%	0.0%	0.38%	2.02%	0.22%	1.13%	0.45%	0.95%	0.23%	0.64%	0.19%	0.84%	0.74%	0.72%	0.31%	0.16%	1.12%	0.0%	0.41%	0.0%	0.0%	0.0%	0.72%	0.0%	0.0%	1.09%	0.0%	0.16%	0.0%	0.26%	0.56%	0.21%	0.25%	0.72%	0.13%	0.42%	0.12%	0.29%	0.07%	0.47%	0.45%	0.43%	0.54%					
