Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																				
Дата голосования: 04.12.2011																																																				
																																																				
Наименование Избирательной комиссии:    Гусь-Хрустальная																																																				
																																																				
Сводная таблица результатов выборов																																																				
																																																				
		Сумма	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547					
1	"Число избирателей, внесенных в список избирателей"	39489	771	194	457	741	639	312	527	578	591	708	485	543	422	352	529	238	1684	736	392	1702	1482	693	1283	1075	449	732	471	1585	335	1949	631	170	1716	1725	1723	1638	737	399	1686	1877	396	524	567	1902	1143					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	36819	700	201	420	680	580	270	480	530	540	650	450	500	380	300	500	210	1500	680	350	1600	1380	650	1200	1000	400	680	450	1500	290	1800	550	173	1700	1650	1700	1500	680	350	1500	1700	350	480	567	1902	1146					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	14445	278	62	172	296	176	104	186	155	275	253	149	215	88	124	206	69	672	278	131	617	497	152	439	320	130	208	137	572	105	859	173	62	771	629	562	458	229	142	368	589	130	154	415	857	981					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	3413	36	20	28	8	102	35	121	94	32	52	138	58	56	63	106	62	112	68	68	114	203	181	78	67	48	140	103	73	36	110	152	40	55	50	46	156	66	92	38	58	76	172	0	0	0					
6	Число погашенных избирательных бюллетеней	18961	386	119	220	376	302	131	173	281	233	345	163	227	236	113	188	79	716	334	151	869	680	317	683	613	222	332	210	855	149	831	225	71	874	971	1092	886	385	116	1094	1053	144	154	152	1045	165					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3413	36	20	28	8	102	35	121	94	32	52	138	58	56	63	106	62	112	68	68	114	203	181	78	67	48	140	103	73	36	110	152	40	55	50	46	156	66	92	38	58	76	172	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	14422	278	62	172	296	176	104	186	155	275	253	149	215	88	124	206	69	672	278	131	617	497	152	439	320	130	208	137	572	105	859	173	62	771	629	562	458	229	142	368	589	130	154	414	857	959					
9	Число недействительных избирательных бюллетеней	277	3	2	3	2	5	0	6	3	7	7	5	8	4	2	4	0	21	2	0	22	12	1	7	1	7	3	3	14	1	17	4	0	22	12	11	9	0	4	11	9	0	1	8	4	10					
10	Число действительных избирательных бюллетеней	17558	311	80	197	302	273	139	301	246	300	298	282	265	140	185	308	131	763	344	199	709	688	332	510	386	171	345	237	631	140	952	321	102	804	667	597	605	295	230	395	638	206	325	406	853	949					
