Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																															
Дата голосования: 18.09.2016																																															
																																															
Наименование Избирательной комиссии:    Верещагинская																																															
																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																															
																																															
		Сумма	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	32631	1262	1286	1306	1171	1357	1128	1091	474	931	1336	1224	1335	1218	1249	1167	640	414	684	823	1160	712	776	768	1138	577	850	479	644	416	1418	886	1331	409	192	662	117									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	32735	1280	1270	1305	1170	1365	1155	1070	460	945	1320	1230	1340	1225	1270	1165	645	415	680	825	1165	710	780	770	1135	590	850	485	645	420	1425	900	1330	410	190	670	125									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8704	341	294	326	279	346	387	400	120	334	444	298	289	420	461	384	211	93	144	112	327	119	176	123	278	189	222	126	149	102	278	244	316	115	75	144	38									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1462	49	23	14	64	27	22	19	16	6	49	14	19	32	12	6	14	13	95	110	15	22	23	14	20	12	11	22	92	40	217	57	154	38	11	98	12									
6	Число погашенных избирательных бюллетеней	22569	890	953	965	827	992	746	651	324	605	827	918	1032	773	797	775	420	309	441	603	823	569	581	633	837	389	617	337	404	278	930	599	860	257	104	428	75									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1461	49	23	14	64	27	22	19	16	6	49	14	19	32	12	6	14	13	95	110	15	22	23	14	20	12	11	22	92	40	216	57	154	38	11	98	12									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8703	341	294	325	279	346	387	400	120	334	444	298	289	420	461	384	211	93	144	112	327	119	176	123	278	189	222	126	149	102	278	244	316	115	75	144	38									
9	Число недействительных избирательных бюллетеней	384	9	18	8	7	16	12	17	6	19	18	11	10	22	18	24	14	3	7	6	13	3	3	2	7	11	9	6	7	10	12	12	14	7	2	18	3									
10	Число действительных избирательных бюллетеней	9780	381	299	331	336	357	397	402	130	321	475	301	298	430	455	366	211	103	232	216	329	138	196	135	291	190	224	142	234	132	482	289	456	146	84	224	47									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	800	30	30	30	20	30	20	25	10	20	30	30	30	30	35	25	15	10	20	25	30	20	15	20	25	15	20	10	15	10	40	30	40	15	5	20	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	123	5	0	6	4	3	17	13	1	2	7	3	2	7	9	5	1	0	1	3	2	0	0	1	3	2	1	1	0	4	4	7	5	3	0	1	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	84	0	4	4	4	3	1	9	0	1	2	6	1	2	1	4	0	3	1	1	0	3	2	3	2	7	3	1	0	1	9	4	0	2	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	677	25	30	24	16	27	3	12	9	18	23	27	28	23	26	20	14	10	19	22	28	20	15	19	22	13	19	9	15	6	36	23	35	12	5	19	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	22	0	0	2	2	1	3	3	0	0	1	3	3	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	116	4	4	4	2	4	1	10	1	0	9	3	5	7	4	3	1	0	2	4	5	0	1	0	8	1	6	2	2	3	3	7	3	4	0	3	0									
		1.14%	1.03%	1.26%	1.18%	0.58%	1.07%	0.24%	2.39%	0.74%	0.00%	1.83%	0.96%	1.62%	1.55%	0.85%	0.77%	0.44%	0.00%	0.84%	1.80%	1.46%	0.00%	0.50%	0.00%	2.68%	0.50%	2.58%	1.35%	0.83%	2.11%	0.61%	2.33%	0.64%	2.61%	0.00%	1.24%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	392	12	6	11	11	15	20	19	4	13	21	12	11	24	11	9	16	3	8	6	19	6	12	4	19	6	10	3	15	1	23	5	21	6	2	6	2									
		3.86%	3.08%	1.89%	3.24%	3.21%	4.02%	4.89%	4.53%	2.94%	3.82%	4.26%	3.85%	3.57%	5.31%	2.33%	2.31%	7.11%	2.83%	3.35%	2.70%	5.56%	4.26%	6.03%	2.92%	6.38%	2.99%	4.29%	2.03%	6.22%	0.70%	4.66%	1.66%	4.47%	3.92%	2.33%	2.48%	4.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	251	14	16	6	9	12	15	8	4	9	10	7	8	14	13	16	6	4	3	5	6	0	4	4	8	6	5	2	4	1	7	5	9	1	0	9	1									
		2.47%	3.59%	5.05%	1.77%	2.62%	3.22%	3.67%	1.91%	2.94%	2.65%	2.03%	2.24%	2.60%	3.10%	2.75%	4.10%	2.67%	3.77%	1.26%	2.25%	1.75%	0.00%	2.01%	2.92%	2.68%	2.99%	2.15%	1.35%	1.66%	0.70%	1.42%	1.66%	1.91%	0.65%	0.00%	3.72%	2.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4325	160	108	142	143	132	146	140	59	128	170	111	110	174	179	151	89	55	104	109	155	75	101	49	93	62	99	68	123	89	307	160	228	81	57	134	34									
		42.55%	41.03%	34.07%	41.89%	41.69%	35.39%	35.70%	33.41%	43.38%	37.65%	34.48%	35.58%	35.71%	38.50%	37.84%	38.72%	39.56%	51.89%	43.51%	49.10%	45.32%	53.19%	50.75%	35.77%	31.21%	30.85%	42.49%	45.95%	51.04%	62.68%	62.15%	53.16%	48.51%	52.94%	66.28%	55.37%	68.00%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	65	1	3	2	1	2	5	4	3	1	3	1	2	0	5	1	0	2	2	1	2	3	0	1	2	0	0	1	2	0	2	4	5	1	1	2	0									
		0.64%	0.26%	0.95%	0.59%	0.29%	0.54%	1.22%	0.95%	2.21%	0.29%	0.61%	0.32%	0.65%	0.00%	1.06%	0.26%	0.00%	1.89%	0.84%	0.45%	0.58%	2.13%	0.00%	0.73%	0.67%	0.00%	0.00%	0.68%	0.83%	0.00%	0.40%	1.33%	1.06%	0.65%	1.16%	0.83%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	16	0	1	1	0	0	1	1	1	0	0	1	0	0	0	0	0	0	2	1	1	0	0	1	1	0	0	0	0	0	1	2	0	0	1	0	0									
		0.16%	0.00%	0.32%	0.29%	0.00%	0.00%	0.24%	0.24%	0.74%	0.00%	0.00%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.84%	0.45%	0.29%	0.00%	0.00%	0.73%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.66%	0.00%	0.00%	1.16%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1882	88	85	82	77	80	86	71	28	69	98	68	67	86	94	73	36	17	67	40	51	21	30	26	42	31	37	30	50	16	56	62	57	15	7	32	7									
		18.52%	22.56%	26.81%	24.19%	22.45%	21.45%	21.03%	16.95%	20.59%	20.29%	19.88%	21.79%	21.75%	19.03%	19.87%	18.72%	16.00%	16.04%	28.03%	18.02%	14.91%	14.89%	15.08%	18.98%	14.09%	15.42%	15.88%	20.27%	20.75%	11.27%	11.34%	20.60%	12.13%	9.80%	8.14%	13.22%	14.00%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	51	4	2	2	1	3	3	4	0	1	3	1	2	2	4	0	2	2	1	2	0	1	0	2	0	1	0	1	0	0	3	2	1	0	0	1	0									
		0.50%	1.03%	0.63%	0.59%	0.29%	0.80%	0.73%	0.95%	0.00%	0.29%	0.61%	0.32%	0.65%	0.44%	0.85%	0.00%	0.89%	1.89%	0.42%	0.90%	0.00%	0.71%	0.00%	1.46%	0.00%	0.50%	0.00%	0.68%	0.00%	0.00%	0.61%	0.66%	0.21%	0.00%	0.00%	0.41%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	109	1	5	1	4	8	6	10	1	2	1	8	4	4	6	7	0	1	2	2	4	2	0	2	8	3	3	1	0	0	4	1	3	3	1	1	0									
		1.07%	0.26%	1.58%	0.29%	1.17%	2.14%	1.47%	2.39%	0.74%	0.59%	0.20%	2.56%	1.30%	0.88%	1.27%	1.79%	0.00%	0.94%	0.84%	0.90%	1.17%	1.42%	0.00%	1.46%	2.68%	1.49%	1.29%	0.68%	0.00%	0.00%	0.81%	0.33%	0.64%	1.96%	1.16%	0.41%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	20	0	1	0	0	1	1	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	1	0	2	1	1	4	0	0	1	0	0	1									
		0.20%	0.00%	0.32%	0.00%	0.00%	0.27%	0.24%	0.00%	0.00%	0.59%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.44%	0.00%	0.42%	0.00%	0.00%	0.00%	0.00%	0.00%	0.67%	0.50%	0.00%	1.35%	0.41%	0.70%	0.81%	0.00%	0.00%	0.65%	0.00%	0.00%	2.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	128	5	2	4	12	3	10	3	0	4	8	6	5	8	4	9	2	0	0	1	5	2	2	7	8	2	1	0	6	1	2	3	2	1	0	0	0									
		1.26%	1.28%	0.63%	1.18%	3.50%	0.80%	2.44%	0.72%	0.00%	1.18%	1.62%	1.92%	1.62%	1.77%	0.85%	2.31%	0.89%	0.00%	0.00%	0.45%	1.46%	1.42%	1.01%	5.11%	2.68%	0.99%	0.43%	0.00%	2.49%	0.70%	0.40%	0.99%	0.43%	0.65%	0.00%	0.00%	0.00%									
