Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																			
Дата голосования: 18.09.2016																																			
																																			
Наименование Избирательной комиссии:    Туринская																																			
																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																			
																																			
		Сумма	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	23598	960	968	2270	1417	1766	1650	2700	1326	1854	530	798	723	828	243	871	369	691	473	227	666	441	410	725	692									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	23000	950	950	2300	1400	1700	1600	2600	1300	1800	500	800	700	850	200	850	350	700	450	200	600	400	400	700	700									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	525	0	0	0	0	0	0	0	0	0	22	41	47	98	0	0	11	51	77	39	45	16	12	52	14									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8195	309	267	911	635	666	577	903	420	705	146	268	204	308	96	302	107	192	124	52	251	145	153	228	226									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	511	16	21	29	21	41	36	23	18	15	22	33	28	26	11	39	11	23	14	0	9	6	14	21	34									
6	Число погашенных избирательных бюллетеней	13769	625	662	1360	744	993	987	1674	862	1080	310	458	421	418	93	509	221	434	235	109	295	233	221	399	426									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1036	16	21	29	21	41	36	23	18	15	44	74	75	124	11	39	22	74	91	39	54	22	26	73	48									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8194	309	267	911	635	666	577	903	419	705	146	268	204	308	96	302	107	192	124	52	251	145	153	228	226									
9	Число недействительных избирательных бюллетеней	231	4	6	29	22	26	17	17	12	14	1	6	8	8	2	7	2	7	4	5	10	2	3	13	6									
10	Число действительных избирательных бюллетеней	8999	321	282	911	634	681	596	909	425	706	189	336	271	424	105	334	127	259	211	86	295	165	176	288	268									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	600	30	30	30	30	30	30	30	30	30	20	30	30	30	10	30	10	30	20	10	20	20	10	30	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	218	5	4	19	11	8	8	5	10	14	3	5	5	30	6	17	1	9	6	0	13	2	9	8	20									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	88	5	3	7	3	1	3	4	3	2	4	4	6	6	1	4	3	1	3	3	5	5	2	4	6									
14	Число погашенных неиспользованных открепительных удостоверений	382	25	26	11	19	22	22	25	20	16	17	25	25	0	4	13	9	21	14	10	7	18	1	22	10									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	22	1	0	4	1	3	3	2	2	2	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																			
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	96	8	2	11	15	4	8	8	1	6	0	1	2	1	1	3	0	7	3	0	4	4	2	3	2									
