Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																		
Дата голосования: 02.12.2007																																		
																																		
Наименование Избирательной комиссии:    Красноуфимская городская																																		
																																		
Сводная таблица результатов выборов																																		
																																		
		Сумма	УИК №2051	УИК №2052	УИК №2053	УИК №2054	УИК №2055	УИК №2056	УИК №2057	УИК №2058	УИК №2059	УИК №2060	УИК №2061	УИК №2062	УИК №2063	УИК №2064	УИК №2065	УИК №2066	УИК №2067	УИК №2068	УИК №2069	УИК №2070	УИК №2071	УИК №2072	УИК №2073	УИК №2074	УИК №2075	УИК №2076	УИК №2077					
1	"Число избирателей, внесенных в списки избирателей"	33508	1293	1185	1244	1379	854	2186	1840	876	1789	1835	1239	1409	1856	1511	1505	826	1383	1152	830	1705	542	1146	893	1481	937	551	61					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	32350	1250	1200	1200	1300	800	1850	1750	800	1750	1800	1200	1400	1850	1500	1500	800	1350	1150	750	1700	500	1150	850	1450	900	550	50					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	16980	685	664	657	699	407	918	851	415	1040	1068	680	752	1017	709	687	384	556	556	435	829	275	596	498	707	535	321	39					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1113	47	35	19	89	19	213	27	47	45	33	32	24	38	63	53	38	67	22	16	27	17	21	32	32	13	43	1					
6	Число погашенных избирательных бюллетеней	14257	518	501	524	512	374	719	872	338	665	699	488	624	795	728	760	378	727	572	299	844	208	533	320	711	352	186	10					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1113	47	35	19	89	19	213	27	47	45	33	32	24	38	63	53	38	67	22	16	27	17	21	32	32	13	43	1					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	16980	685	664	657	699	407	918	851	415	1040	1068	680	752	1017	709	687	384	556	556	435	829	275	596	498	707	535	321	39					
9	Число недействительных избирательных бюллетеней	115	7	7	2	3	5	11	11	4	3	4	2	5	8	7	4	3	3	13	4	0	3	1	1	0	1	3	0					
10	Число действительных избирательных бюллетеней	17978	725	692	674	785	421	1120	867	458	1082	1097	710	771	1047	765	736	419	620	565	447	856	289	616	529	739	547	361	40					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	510	18	25	13	17	13	41	59	8	34	36	20	18	25	13	12	21	4	10	29	14	7	18	9	17	18	10	1					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	509	18	25	13	17	13	41	59	8	34	36	20	18	24	13	12	21	4	10	29	14	7	18	9	17	18	10	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	312	7	17	11	45	9	17	13	12	11	17	14	17	9	7	5	12	9	3	23	8	5	7	3	10	12	3	6					
14	Число погашенных неиспользованных открепительных удостоверений	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	138	7	8	6	5	2	6	5	6	12	13	6	7	9	6	5	1	1	5	0	6	0	5	4	9	4	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																		
18	1.Политическая партия «Аграрная партия России»	496	26	18	19	24	9	28	22	14	43	43	25	13	30	8	12	12	15	14	11	12	12	13	21	24	18	10	0					
		2.74%	3.55%	2.58%	2.81%	3.05%	2.11%	2.48%	2.51%	3.03%	3.96%	3.91%	3.51%	1.68%	2.84%	1.04%	1.62%	2.84%	2.41%	2.42%	2.44%	1.40%	4.11%	2.11%	3.96%	3.25%	3.28%	2.75%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	480	19	26	15	24	11	40	9	10	33	41	18	28	31	16	19	11	11	8	15	17	7	15	12	22	22	0	0					
		2.65%	2.60%	3.72%	2.22%	3.05%	2.58%	3.54%	1.03%	2.16%	3.04%	3.72%	2.53%	3.61%	2.94%	2.07%	2.57%	2.61%	1.77%	1.38%	3.33%	1.99%	2.40%	2.43%	2.26%	2.98%	4.01%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	25	0	1	0	1	0	2	1	2	1	4	2	0	1	0	1	1	2	1	0	0	1	1	1	1	0	1	0					
		0.14%	0.00%	0.14%	0.00%	0.13%	0.00%	0.18%	0.11%	0.43%	0.09%	0.36%	0.28%	0.00%	0.09%	0.00%	0.14%	0.24%	0.32%	0.17%	0.00%	0.00%	0.34%	0.16%	0.19%	0.14%	0.00%	0.27%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1300	37	34	38	36	33	55	59	17	123	85	54	62	96	60	41	29	39	41	54	34	16	67	48	50	69	22	1					
		7.19%	5.05%	4.86%	5.62%	4.57%	7.75%	4.86%	6.72%	3.68%	11.34%	7.72%	7.58%	7.99%	9.10%	7.77%	5.54%	6.87%	6.26%	7.09%	11.97%	3.97%	5.48%	10.86%	9.06%	6.77%	12.59%	6.04%	2.50%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	179	6	6	3	2	0	11	15	4	14	15	19	10	19	2	4	2	2	4	2	13	5	6	7	2	2	4	0					
		0.99%	0.82%	0.86%	0.44%	0.25%	0.00%	0.97%	1.71%	0.87%	1.29%	1.36%	2.67%	1.29%	1.80%	0.26%	0.54%	0.47%	0.32%	0.69%	0.44%	1.52%	1.71%	0.97%	1.32%	0.27%	0.36%	1.10%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	38	2	3	2	0	1	1	0	1	3	0	2	2	1	0	1	0	1	2	1	7	1	1	2	2	2	0	0					
		0.21%	0.27%	0.43%	0.30%	0.00%	0.23%	0.09%	0.00%	0.22%	0.28%	0.00%	0.28%	0.26%	0.09%	0.00%	0.14%	0.00%	0.16%	0.35%	0.22%	0.82%	0.34%	0.16%	0.38%	0.27%	0.36%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	2335	80	101	93	131	59	148	125	74	111	129	103	97	116	88	99	49	93	76	61	117	21	79	68	100	67	45	5					
		12.91%	10.93%	14.45%	13.76%	16.62%	13.85%	13.09%	14.24%	16.02%	10.23%	11.72%	14.47%	12.50%	10.99%	11.40%	13.38%	11.61%	14.93%	13.15%	13.53%	13.67%	7.19%	12.80%	12.83%	13.53%	12.23%	12.36%	12.50%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	1555	61	48	50	46	33	84	53	32	90	106	68	74	104	59	49	43	59	54	56	82	25	66	42	81	61	26	3					
		8.59%	8.33%	6.87%	7.40%	5.84%	7.75%	7.43%	6.04%	6.93%	8.29%	9.63%	9.55%	9.54%	9.86%	7.64%	6.62%	10.19%	9.47%	9.34%	12.42%	9.58%	8.56%	10.70%	7.92%	10.96%	11.13%	7.14%	7.50%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	262	9	8	8	5	4	11	7	7	5	11	3	9	20	19	6	3	10	5	7	21	4	33	17	11	15	4	0					
		1.45%	1.23%	1.14%	1.18%	0.63%	0.94%	0.97%	0.80%	1.52%	0.46%	0.99%	0.42%	1.16%	1.90%	2.46%	0.81%	0.71%	1.61%	0.87%	1.55%	2.45%	1.37%	5.35%	3.21%	1.49%	2.74%	1.10%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	11078	480	446	438	503	267	730	568	294	639	637	402	459	613	504	496	264	379	355	239	547	188	324	310	440	276	249	31					
		61.23%	65.57%	63.81%	64.79%	63.83%	62.68%	64.54%	64.69%	63.64%	58.89%	57.86%	56.46%	59.15%	58.10%	65.28%	67.03%	62.56%	60.83%	61.42%	52.99%	63.90%	64.38%	52.51%	58.49%	59.54%	50.36%	68.41%	77.50%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	230	5	1	8	13	4	10	8	3	20	26	14	17	16	9	8	5	9	5	1	6	9	11	1	6	15	0	0					
		1.27%	0.68%	0.14%	1.18%	1.65%	0.94%	0.88%	0.91%	0.65%	1.84%	2.36%	1.97%	2.19%	1.52%	1.17%	1.08%	1.18%	1.44%	0.87%	0.22%	0.70%	3.08%	1.78%	0.19%	0.81%	2.74%	0.00%	0.00%					
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
